epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.3512
1,2026,location,1,r2,0.5658
1,2026,location,2,r2,0.4152
1,2026,location,mean,r2,0.444
2,2026,location,0,r2,0.4626
2,2026,location,1,r2,0.6623
2,2026,location,2,r2,0.482
2,2026,location,mean,r2,0.5356
3,2026,location,0,r2,0.5675
3,2026,location,1,r2,0.72
3,2026,location,2,r2,0.5138
3,2026,location,mean,r2,0.6004
4,2026,location,0,r2,0.5258
4,2026,location,1,r2,0.7456
4,2026,location,2,r2,0.5568
4,2026,location,mean,r2,0.6094
5,2026,location,0,r2,0.5847
5,2026,location,1,r2,0.7399
5,2026,location,2,r2,0.6107
5,2026,location,mean,r2,0.6451
6,2026,location,0,r2,0.5989
6,2026,location,1,r2,0.743
6,2026,location,2,r2,0.6023
6,2026,location,mean,r2,0.6481
7,2026,location,0,r2,0.6052
7,2026,location,1,r2,0.7658
7,2026,location,2,r2,0.5675
7,2026,location,mean,r2,0.6462
8,2026,location,0,r2,0.5877
8,2026,location,1,r2,0.7204
8,2026,location,2,r2,0.5932
8,2026,location,mean,r2,0.6337
9,2026,location,0,r2,0.5777
9,2026,location,1,r2,0.7674
9,2026,location,2,r2,0.5608
9,2026,location,mean,r2,0.6353
10,2026,location,0,r2,0.6212
10,2026,location,1,r2,0.7779
10,2026,location,2,r2,0.6021
10,2026,location,mean,r2,0.6671
11,2026,location,0,r2,0.6216
11,2026,location,1,r2,0.7938
11,2026,location,2,r2,0.6091
11,2026,location,mean,r2,0.6748
12,2026,location,0,r2,0.5639
12,2026,location,1,r2,0.7811
12,2026,location,2,r2,0.604
12,2026,location,mean,r2,0.6497
13,2026,location,0,r2,0.6242
13,2026,location,1,r2,0.7799
13,2026,location,2,r2,0.5794
13,2026,location,mean,r2,0.6612
14,2026,location,0,r2,0.6454
14,2026,location,1,r2,0.7694
14,2026,location,2,r2,0.5633
14,2026,location,mean,r2,0.6593
15,2026,location,0,r2,0.6563
15,2026,location,1,r2,0.7822
15,2026,location,2,r2,0.5799
15,2026,location,mean,r2,0.6728
16,2026,location,0,r2,0.5705
16,2026,location,1,r2,0.7708
16,2026,location,2,r2,0.5647
16,2026,location,mean,r2,0.6354
17,2026,location,0,r2,0.644
17,2026,location,1,r2,0.761
17,2026,location,2,r2,0.5757
17,2026,location,mean,r2,0.6602
18,2026,location,0,r2,0.633
18,2026,location,1,r2,0.7551
18,2026,location,2,r2,0.5823
18,2026,location,mean,r2,0.6568
19,2026,location,0,r2,0.6401
19,2026,location,1,r2,0.7709
19,2026,location,2,r2,0.526
19,2026,location,mean,r2,0.6457
20,2026,location,0,r2,0.6459
20,2026,location,1,r2,0.7764
20,2026,location,2,r2,0.551
20,2026,location,mean,r2,0.6578
1,2027,location,0,r2,0.4289
1,2027,location,1,r2,0.6101
1,2027,location,2,r2,0.3791
1,2027,location,mean,r2,0.4727
