epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8201
1,2026,radiomics,1,r2,0.0884
1,2026,radiomics,2,r2,0.6814
1,2026,radiomics,mean,r2,0.53
2,2026,radiomics,0,r2,0.8543
2,2026,radiomics,1,r2,0.1139
2,2026,radiomics,2,r2,0.7093
2,2026,radiomics,mean,r2,0.5592
3,2026,radiomics,0,r2,0.8192
3,2026,radiomics,1,r2,0.1259
3,2026,radiomics,2,r2,0.7226
3,2026,radiomics,mean,r2,0.5559
4,2026,radiomics,0,r2,0.8592
4,2026,radiomics,1,r2,0.1255
4,2026,radiomics,2,r2,0.6887
4,2026,radiomics,mean,r2,0.5578
5,2026,radiomics,0,r2,0.8561
5,2026,radiomics,1,r2,0.1572
5,2026,radiomics,2,r2,0.7161
5,2026,radiomics,mean,r2,0.5765
6,2026,radiomics,0,r2,0.8612
6,2026,radiomics,1,r2,0.1691
6,2026,radiomics,2,r2,0.7339
6,2026,radiomics,mean,r2,0.5881
7,2026,radiomics,0,r2,0.8406
7,2026,radiomics,1,r2,0.0884
7,2026,radiomics,2,r2,0.7446
7,2026,radiomics,mean,r2,0.5579
8,2026,radiomics,0,r2,0.8645
8,2026,radiomics,1,r2,0.1778
8,2026,radiomics,2,r2,0.7262
8,2026,radiomics,mean,r2,0.5895
9,2026,radiomics,0,r2,0.8703
9,2026,radiomics,1,r2,0.154
9,2026,radiomics,2,r2,0.6598
9,2026,radiomics,mean,r2,0.5614
10,2026,radiomics,0,r2,0.866
10,2026,radiomics,1,r2,0.1751
10,2026,radiomics,2,r2,0.7422
10,2026,radiomics,mean,r2,0.5944
11,2026,radiomics,0,r2,0.8656
11,2026,radiomics,1,r2,0.1683
11,2026,radiomics,2,r2,0.7571
11,2026,radiomics,mean,r2,0.597
12,2026,radiomics,0,r2,0.8577
12,2026,radiomics,1,r2,0.0985
12,2026,radiomics,2,r2,0.7494
12,2026,radiomics,mean,r2,0.5685
13,2026,radiomics,0,r2,0.8687
13,2026,radiomics,1,r2,0.1631
13,2026,radiomics,2,r2,0.7162
13,2026,radiomics,mean,r2,0.5827
14,2026,radiomics,0,r2,0.8608
14,2026,radiomics,1,r2,0.1494
14,2026,radiomics,2,r2,0.7261
14,2026,radiomics,mean,r2,0.5788
15,2026,radiomics,0,r2,0.8553
15,2026,radiomics,1,r2,0.078
15,2026,radiomics,2,r2,0.7143
15,2026,radiomics,mean,r2,0.5492
16,2026,radiomics,0,r2,0.8567
16,2026,radiomics,1,r2,0.1592
16,2026,radiomics,2,r2,0.7124
16,2026,radiomics,mean,r2,0.5761
17,2026,radiomics,0,r2,0.8489
17,2026,radiomics,1,r2,0.1323
17,2026,radiomics,2,r2,0.7086
17,2026,radiomics,mean,r2,0.5633
18,2026,radiomics,0,r2,0.8463
18,2026,radiomics,1,r2,0.113
18,2026,radiomics,2,r2,0.7062
18,2026,radiomics,mean,r2,0.5552
19,2026,radiomics,0,r2,0.8558
19,2026,radiomics,1,r2,0.0515
19,2026,radiomics,2,r2,0.7274
19,2026,radiomics,mean,r2,0.5449
20,2026,radiomics,0,r2,0.8643
20,2026,radiomics,1,r2,0.1509
20,2026,radiomics,2,r2,0.7039
20,2026,radiomics,mean,r2,0.5731
1,2027,radiomics,0,r2,0.8115
1,2027,radiomics,1,r2,0.061
1,2027,radiomics,2,r2,0.6856
1,2027,radiomics,mean,r2,0.5194
