epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.7997
1,2026,size,1,r2,0.4216
1,2026,size,2,r2,0.4871
1,2026,size,3,r2,0.5049
1,2026,size,4,r2,0.5832
1,2026,size,mean,r2,0.5593
2,2026,size,0,r2,0.782
2,2026,size,1,r2,0.5388
2,2026,size,2,r2,0.4894
2,2026,size,3,r2,0.5545
2,2026,size,4,r2,0.5123
2,2026,size,mean,r2,0.5754
3,2026,size,0,r2,0.8434
3,2026,size,1,r2,0.5682
3,2026,size,2,r2,0.5482
3,2026,size,3,r2,0.5855
3,2026,size,4,r2,0.622
3,2026,size,mean,r2,0.6335
4,2026,size,0,r2,0.8615
4,2026,size,1,r2,0.6117
4,2026,size,2,r2,0.5599
4,2026,size,3,r2,0.5923
4,2026,size,4,r2,0.6462
4,2026,size,mean,r2,0.6543
5,2026,size,0,r2,0.8618
5,2026,size,1,r2,0.5944
5,2026,size,2,r2,0.5501
5,2026,size,3,r2,0.5862
5,2026,size,4,r2,0.675
5,2026,size,mean,r2,0.6535
6,2026,size,0,r2,0.8439
6,2026,size,1,r2,0.6004
6,2026,size,2,r2,0.5661
6,2026,size,3,r2,0.5264
6,2026,size,4,r2,0.6499
6,2026,size,mean,r2,0.6374
7,2026,size,0,r2,0.8683
7,2026,size,1,r2,0.6147
7,2026,size,2,r2,0.5589
7,2026,size,3,r2,0.5793
7,2026,size,4,r2,0.6613
7,2026,size,mean,r2,0.6565
8,2026,size,0,r2,0.8715
8,2026,size,1,r2,0.6226
8,2026,size,2,r2,0.5691
8,2026,size,3,r2,0.5986
8,2026,size,4,r2,0.6843
8,2026,size,mean,r2,0.6692
9,2026,size,0,r2,0.8655
9,2026,size,1,r2,0.6133
9,2026,size,2,r2,0.567
9,2026,size,3,r2,0.5784
9,2026,size,4,r2,0.6804
9,2026,size,mean,r2,0.6609
10,2026,size,0,r2,0.8624
10,2026,size,1,r2,0.626
10,2026,size,2,r2,0.5795
10,2026,size,3,r2,0.6071
10,2026,size,4,r2,0.6527
10,2026,size,mean,r2,0.6655
11,2026,size,0,r2,0.8456
11,2026,size,1,r2,0.5414
11,2026,size,2,r2,0.5304
11,2026,size,3,r2,0.5785
11,2026,size,4,r2,0.6878
11,2026,size,mean,r2,0.6367
12,2026,size,0,r2,0.8493
12,2026,size,1,r2,0.603
12,2026,size,2,r2,0.5514
12,2026,size,3,r2,0.5892
12,2026,size,4,r2,0.6462
12,2026,size,mean,r2,0.6478
13,2026,size,0,r2,0.8224
13,2026,size,1,r2,0.6051
13,2026,size,2,r2,0.5368
13,2026,size,3,r2,0.4496
13,2026,size,4,r2,0.5554
13,2026,size,mean,r2,0.5939
14,2026,size,0,r2,0.8445
14,2026,size,1,r2,0.5631
14,2026,size,2,r2,0.5365
14,2026,size,3,r2,0.5852
14,2026,size,4,r2,0.6754
14,2026,size,mean,r2,0.6409
15,2026,size,0,r2,0.8439
15,2026,size,1,r2,0.6061
15,2026,size,2,r2,0.5545
15,2026,size,3,r2,0.5777
15,2026,size,4,r2,0.6668
15,2026,size,mean,r2,0.6498
16,2026,size,0,r2,0.8639
16,2026,size,1,r2,0.5859
16,2026,size,2,r2,0.5073
16,2026,size,3,r2,0.5571
16,2026,size,4,r2,0.6539
16,2026,size,mean,r2,0.6336
17,2026,size,0,r2,0.8579
17,2026,size,1,r2,0.5727
17,2026,size,2,r2,0.5101
17,2026,size,3,r2,0.5609
17,2026,size,4,r2,0.6405
17,2026,size,mean,r2,0.6284
18,2026,size,0,r2,0.8532
18,2026,size,1,r2,0.5691
18,2026,size,2,r2,0.5247
18,2026,size,3,r2,0.5397
18,2026,size,4,r2,0.6463
18,2026,size,mean,r2,0.6266
19,2026,size,0,r2,0.8589
19,2026,size,1,r2,0.5471
19,2026,size,2,r2,0.5173
19,2026,size,3,r2,0.5344
19,2026,size,4,r2,0.6536
19,2026,size,mean,r2,0.6223
20,2026,size,0,r2,0.8505
20,2026,size,1,r2,0.5609
20,2026,size,2,r2,0.5174
20,2026,size,3,r2,0.5539
20,2026,size,4,r2,0.6576
20,2026,size,mean,r2,0.628
1,2027,size,0,r2,0.6723
1,2027,size,1,r2,0.3338
1,2027,size,2,r2,0.4002
1,2027,size,3,r2,0.4607
1,2027,size,4,r2,0.5019
1,2027,size,mean,r2,0.4738
