epoch,seed,family,target,metric,score
1,2027,radiomics,0,r2,0.8115
1,2027,radiomics,1,r2,0.061
1,2027,radiomics,2,r2,0.6856
1,2027,radiomics,mean,r2,0.5194
2,2027,radiomics,0,r2,0.8372
2,2027,radiomics,1,r2,0.0443
2,2027,radiomics,2,r2,0.7071
2,2027,radiomics,mean,r2,0.5295
3,2027,radiomics,0,r2,0.857
3,2027,radiomics,1,r2,0.1034
3,2027,radiomics,2,r2,0.7194
3,2027,radiomics,mean,r2,0.5599
4,2027,radiomics,0,r2,0.846
4,2027,radiomics,1,r2,0.1535
4,2027,radiomics,2,r2,0.739
4,2027,radiomics,mean,r2,0.5795
5,2027,radiomics,0,r2,0.859
5,2027,radiomics,1,r2,0.1026
5,2027,radiomics,2,r2,0.7364
5,2027,radiomics,mean,r2,0.566
6,2027,radiomics,0,r2,0.872
6,2027,radiomics,1,r2,0.1753
6,2027,radiomics,2,r2,0.6997
6,2027,radiomics,mean,r2,0.5823
7,2027,radiomics,0,r2,0.8507
7,2027,radiomics,1,r2,0.1808
7,2027,radiomics,2,r2,0.7484
7,2027,radiomics,mean,r2,0.5933
8,2027,radiomics,0,r2,0.8622
8,2027,radiomics,1,r2,0.1782
8,2027,radiomics,2,r2,0.7392
8,2027,radiomics,mean,r2,0.5932
9,2027,radiomics,0,r2,0.8624
9,2027,radiomics,1,r2,0.1812
9,2027,radiomics,2,r2,0.7243
9,2027,radiomics,mean,r2,0.5893
10,2027,radiomics,0,r2,0.8517
10,2027,radiomics,1,r2,0.034
10,2027,radiomics,2,r2,0.7444
10,2027,radiomics,mean,r2,0.5434
11,2027,radiomics,0,r2,0.8661
11,2027,radiomics,1,r2,0.1805
11,2027,radiomics,2,r2,0.7407
11,2027,radiomics,mean,r2,0.5958
12,2027,radiomics,0,r2,0.8627
12,2027,radiomics,1,r2,0.1471
12,2027,radiomics,2,r2,0.7316
12,2027,radiomics,mean,r2,0.5805
13,2027,radiomics,0,r2,0.8639
13,2027,radiomics,1,r2,0.1394
13,2027,radiomics,2,r2,0.7088
13,2027,radiomics,mean,r2,0.5707
14,2027,radiomics,0,r2,0.8664
14,2027,radiomics,1,r2,0.165
14,2027,radiomics,2,r2,0.7302
14,2027,radiomics,mean,r2,0.5872
15,2027,radiomics,0,r2,0.8544
15,2027,radiomics,1,r2,-0.008
15,2027,radiomics,2,r2,0.7172
15,2027,radiomics,mean,r2,0.5212
16,2027,radiomics,0,r2,0.8552
16,2027,radiomics,1,r2,0.1169
16,2027,radiomics,2,r2,0.6954
16,2027,radiomics,mean,r2,0.5558
17,2027,radiomics,0,r2,0.8453
17,2027,radiomics,1,r2,0.1245
17,2027,radiomics,2,r2,0.7108
17,2027,radiomics,mean,r2,0.5602
18,2027,radiomics,0,r2,0.8592
18,2027,radiomics,1,r2,0.1319
18,2027,radiomics,2,r2,0.7243
18,2027,radiomics,mean,r2,0.5718
19,2027,radiomics,0,r2,0.8642
19,2027,radiomics,1,r2,0.1534
19,2027,radiomics,2,r2,0.7127
19,2027,radiomics,mean,r2,0.5768
20,2027,radiomics,0,r2,0.8471
20,2027,radiomics,1,r2,0.0812
20,2027,radiomics,2,r2,0.7134
20,2027,radiomics,mean,r2,0.5472
