epoch,seed,family,target,metric,score
1,2027,size,0,r2,0.6723
1,2027,size,1,r2,0.3338
1,2027,size,2,r2,0.4002
1,2027,size,3,r2,0.4607
1,2027,size,4,r2,0.5019
1,2027,size,mean,r2,0.4738
2,2027,size,0,r2,0.8279
2,2027,size,1,r2,0.4765
2,2027,size,2,r2,0.4666
2,2027,size,3,r2,0.5319
2,2027,size,4,r2,0.621
2,2027,size,mean,r2,0.5848
3,2027,size,0,r2,0.8058
3,2027,size,1,r2,0.4751
3,2027,size,2,r2,0.5016
3,2027,size,3,r2,0.5686
3,2027,size,4,r2,0.6449
3,2027,size,mean,r2,0.5992
4,2027,size,0,r2,0.8422
4,2027,size,1,r2,0.5868
4,2027,size,2,r2,0.5002
4,2027,size,3,r2,0.5493
4,2027,size,4,r2,0.645
4,2027,size,mean,r2,0.6247
5,2027,size,0,r2,0.8432
5,2027,size,1,r2,0.5888
5,2027,size,2,r2,0.5331
5,2027,size,3,r2,0.58
5,2027,size,4,r2,0.6402
5,2027,size,mean,r2,0.6371
6,2027,size,0,r2,0.8521
6,2027,size,1,r2,0.6115
6,2027,size,2,r2,0.5546
6,2027,size,3,r2,0.6074
6,2027,size,4,r2,0.6575
6,2027,size,mean,r2,0.6566
7,2027,size,0,r2,0.852
7,2027,size,1,r2,0.413
7,2027,size,2,r2,0.3803
7,2027,size,3,r2,0.4693
7,2027,size,4,r2,0.6451
7,2027,size,mean,r2,0.552
8,2027,size,0,r2,0.8701
8,2027,size,1,r2,0.6032
8,2027,size,2,r2,0.5368
8,2027,size,3,r2,0.6003
8,2027,size,4,r2,0.6638
8,2027,size,mean,r2,0.6548
9,2027,size,0,r2,0.8682
9,2027,size,1,r2,0.6048
9,2027,size,2,r2,0.5589
9,2027,size,3,r2,0.5721
9,2027,size,4,r2,0.6819
9,2027,size,mean,r2,0.6572
10,2027,size,0,r2,0.8358
10,2027,size,1,r2,0.6057
10,2027,size,2,r2,0.5487
10,2027,size,3,r2,0.6016
10,2027,size,4,r2,0.6517
10,2027,size,mean,r2,0.6487
11,2027,size,0,r2,0.8416
11,2027,size,1,r2,0.546
11,2027,size,2,r2,0.5304
11,2027,size,3,r2,0.6137
11,2027,size,4,r2,0.6159
11,2027,size,mean,r2,0.6295
12,2027,size,0,r2,0.8497
12,2027,size,1,r2,0.5889
12,2027,size,2,r2,0.5484
12,2027,size,3,r2,0.6057
12,2027,size,4,r2,0.6453
12,2027,size,mean,r2,0.6476
13,2027,size,0,r2,0.8269
13,2027,size,1,r2,0.5985
13,2027,size,2,r2,0.5322
13,2027,size,3,r2,0.589
13,2027,size,4,r2,0.6606
13,2027,size,mean,r2,0.6414
14,2027,size,0,r2,0.8557
14,2027,size,1,r2,0.5698
14,2027,size,2,r2,0.5039
14,2027,size,3,r2,0.5642
14,2027,size,4,r2,0.6498
14,2027,size,mean,r2,0.6287
15,2027,size,0,r2,0.8389
15,2027,size,1,r2,0.5831
15,2027,size,2,r2,0.5454
15,2027,size,3,r2,0.5952
15,2027,size,4,r2,0.6464
15,2027,size,mean,r2,0.6418
16,2027,size,0,r2,0.8523
16,2027,size,1,r2,0.5675
16,2027,size,2,r2,0.5351
16,2027,size,3,r2,0.5859
16,2027,size,4,r2,0.6603
16,2027,size,mean,r2,0.6402
17,2027,size,0,r2,0.8396
17,2027,size,1,r2,0.5752
17,2027,size,2,r2,0.5296
17,2027,size,3,r2,0.5739
17,2027,size,4,r2,0.6596
17,2027,size,mean,r2,0.6356
18,2027,size,0,r2,0.8487
18,2027,size,1,r2,0.5182
18,2027,size,2,r2,0.4857
18,2027,size,3,r2,0.5597
18,2027,size,4,r2,0.6561
18,2027,size,mean,r2,0.6137
19,2027,size,0,r2,0.8469
19,2027,size,1,r2,0.5804
19,2027,size,2,r2,0.5125
19,2027,size,3,r2,0.5427
19,2027,size,4,r2,0.6476
19,2027,size,mean,r2,0.626
20,2027,size,0,r2,0.8509
20,2027,size,1,r2,0.5692
20,2027,size,2,r2,0.5264
20,2027,size,3,r2,0.5499
20,2027,size,4,r2,0.651
20,2027,size,mean,r2,0.6295
