epoch,seed,family,target,metric,score
1,2028,density,0,r2,0.3665
1,2028,density,1,r2,0.1751
1,2028,density,2,r2,0.8234
1,2028,density,3,r2,0.7596
1,2028,density,mean,r2,0.5311
2,2028,density,0,r2,0.42
2,2028,density,1,r2,0.2203
2,2028,density,2,r2,0.8304
2,2028,density,3,r2,0.7987
2,2028,density,mean,r2,0.5673
3,2028,density,0,r2,0.4309
3,2028,density,1,r2,0.2384
3,2028,density,2,r2,0.8444
3,2028,density,3,r2,0.7882
3,2028,density,mean,r2,0.5755
4,2028,density,0,r2,0.3668
4,2028,density,1,r2,0.0927
4,2028,density,2,r2,0.8505
4,2028,density,3,r2,0.8032
4,2028,density,mean,r2,0.5283
5,2028,density,0,r2,0.4455
5,2028,density,1,r2,0.2556
5,2028,density,2,r2,0.8466
5,2028,density,3,r2,0.7984
5,2028,density,mean,r2,0.5865
6,2028,density,0,r2,0.493
6,2028,density,1,r2,0.2864
6,2028,density,2,r2,0.8461
6,2028,density,3,r2,0.8175
6,2028,density,mean,r2,0.6107
7,2028,density,0,r2,0.4877
7,2028,density,1,r2,0.2897
7,2028,density,2,r2,0.8349
7,2028,density,3,r2,0.8229
7,2028,density,mean,r2,0.6088
8,2028,density,0,r2,0.4865
8,2028,density,1,r2,0.2904
8,2028,density,2,r2,0.8667
8,2028,density,3,r2,0.814
8,2028,density,mean,r2,0.6144
9,2028,density,0,r2,0.4586
9,2028,density,1,r2,0.2827
9,2028,density,2,r2,0.861
9,2028,density,3,r2,0.8283
9,2028,density,mean,r2,0.6077
10,2028,density,0,r2,0.4786
10,2028,density,1,r2,0.269
10,2028,density,2,r2,0.8323
10,2028,density,3,r2,0.7711
10,2028,density,mean,r2,0.5878
11,2028,density,0,r2,0.4673
11,2028,density,1,r2,0.2901
11,2028,density,2,r2,0.8658
11,2028,density,3,r2,0.8217
11,2028,density,mean,r2,0.6112
12,2028,density,0,r2,0.4675
12,2028,density,1,r2,0.2241
12,2028,density,2,r2,0.8113
12,2028,density,3,r2,0.7573
12,2028,density,mean,r2,0.565
13,2028,density,0,r2,0.4596
13,2028,density,1,r2,0.2731
13,2028,density,2,r2,0.8616
13,2028,density,3,r2,0.8055
13,2028,density,mean,r2,0.5999
14,2028,density,0,r2,0.4576
14,2028,density,1,r2,0.2637
14,2028,density,2,r2,0.8581
14,2028,density,3,r2,0.8135
14,2028,density,mean,r2,0.5983
15,2028,density,0,r2,0.368
15,2028,density,1,r2,0.2757
15,2028,density,2,r2,0.8603
15,2028,density,3,r2,0.8124
15,2028,density,mean,r2,0.5791
16,2028,density,0,r2,0.4211
16,2028,density,1,r2,0.288
16,2028,density,2,r2,0.8455
16,2028,density,3,r2,0.8067
16,2028,density,mean,r2,0.5903
17,2028,density,0,r2,0.4013
17,2028,density,1,r2,0.2563
17,2028,density,2,r2,0.8501
17,2028,density,3,r2,0.8075
17,2028,density,mean,r2,0.5788
18,2028,density,0,r2,0.4009
18,2028,density,1,r2,0.2265
18,2028,density,2,r2,0.8415
18,2028,density,3,r2,0.812
18,2028,density,mean,r2,0.5702
19,2028,density,0,r2,0.4207
19,2028,density,1,r2,0.2672
19,2028,density,2,r2,0.8591
19,2028,density,3,r2,0.7993
19,2028,density,mean,r2,0.5866
20,2028,density,0,r2,0.3786
20,2028,density,1,r2,0.2439
20,2028,density,2,r2,0.851
20,2028,density,3,r2,0.807
20,2028,density,mean,r2,0.5701
