epoch,seed,family,target,metric,score
1,2028,disease,Medical material,auroc,0.71
1,2028,disease,Arterial wall calcification,auroc,0.8082
1,2028,disease,Cardiomegaly,auroc,0.8757
1,2028,disease,Pericardial effusion,auroc,0.7686
1,2028,disease,Coronary artery wall calcification,auroc,0.7895
1,2028,disease,Hiatal hernia,auroc,0.7004
1,2028,disease,Lymphadenopathy,auroc,0.6847
1,2028,disease,Emphysema,auroc,0.6919
1,2028,disease,Atelectasis,auroc,0.6736
1,2028,disease,Lung nodule,auroc,0.6137
1,2028,disease,Lung opacity,auroc,0.6642
1,2028,disease,Pulmonary fibrotic sequela,auroc,0.6045
1,2028,disease,Pleural effusion,auroc,0.9095
1,2028,disease,Mosaic attenuation pattern,auroc,0.784
1,2028,disease,Peribronchial thickening,auroc,0.7014
1,2028,disease,Consolidation,auroc,0.7142
1,2028,disease,Bronchiectasis,auroc,0.6496
1,2028,disease,Interlobular septal thickening,auroc,0.7764
1,2028,disease,macro,auroc,0.7289
1,2028,disease,micro,auroc,0.7263
2,2028,disease,Medical material,auroc,0.705
2,2028,disease,Arterial wall calcification,auroc,0.822
2,2028,disease,Cardiomegaly,auroc,0.8967
2,2028,disease,Pericardial effusion,auroc,0.7844
2,2028,disease,Coronary artery wall calcification,auroc,0.802
2,2028,disease,Hiatal hernia,auroc,0.7095
2,2028,disease,Lymphadenopathy,auroc,0.69
2,2028,disease,Emphysema,auroc,0.706
2,2028,disease,Atelectasis,auroc,0.682
2,2028,disease,Lung nodule,auroc,0.6058
2,2028,disease,Lung opacity,auroc,0.6642
2,2028,disease,Pulmonary fibrotic sequela,auroc,0.612
2,2028,disease,Pleural effusion,auroc,0.9207
2,2028,disease,Mosaic attenuation pattern,auroc,0.8029
2,2028,disease,Peribronchial thickening,auroc,0.7262
2,2028,disease,Consolidation,auroc,0.7307
2,2028,disease,Bronchiectasis,auroc,0.6634
2,2028,disease,Interlobular septal thickening,auroc,0.7863
2,2028,disease,macro,auroc,0.7394
2,2028,disease,micro,auroc,0.7284
3,2028,disease,Medical material,auroc,0.7124
3,2028,disease,Arterial wall calcification,auroc,0.8339
3,2028,disease,Cardiomegaly,auroc,0.9026
3,2028,disease,Pericardial effusion,auroc,0.7932
3,2028,disease,Coronary artery wall calcification,auroc,0.8177
3,2028,disease,Hiatal hernia,auroc,0.7186
3,2028,disease,Lymphadenopathy,auroc,0.6941
3,2028,disease,Emphysema,auroc,0.7297
3,2028,disease,Atelectasis,auroc,0.6873
3,2028,disease,Lung nodule,auroc,0.6101
3,2028,disease,Lung opacity,auroc,0.6765
3,2028,disease,Pulmonary fibrotic sequela,auroc,0.6336
3,2028,disease,Pleural effusion,auroc,0.9265
3,2028,disease,Mosaic attenuation pattern,auroc,0.8071
3,2028,disease,Peribronchial thickening,auroc,0.7247
3,2028,disease,Consolidation,auroc,0.7325
3,2028,disease,Bronchiectasis,auroc,0.6505
3,2028,disease,Interlobular septal thickening,auroc,0.7866
3,2028,disease,macro,auroc,0.7465
3,2028,disease,micro,auroc,0.7554
4,2028,disease,Medical material,auroc,0.7177
4,2028,disease,Arterial wall calcification,auroc,0.8384
4,2028,disease,Cardiomegaly,auroc,0.9074
4,2028,disease,Pericardial effusion,auroc,0.7944
4,2028,disease,Coronary artery wall calcification,auroc,0.8239
4,2028,disease,Hiatal hernia,auroc,0.7273
4,2028,disease,Lymphadenopathy,auroc,0.6966
4,2028,disease,Emphysema,auroc,0.7321
4,2028,disease,Atelectasis,auroc,0.6875
4,2028,disease,Lung nodule,auroc,0.606
4,2028,disease,Lung opacity,auroc,0.674
4,2028,disease,Pulmonary fibrotic sequela,auroc,0.6296
4,2028,disease,Pleural effusion,auroc,0.9288
4,2028,disease,Mosaic attenuation pattern,auroc,0.8089
4,2028,disease,Peribronchial thickening,auroc,0.7288
4,2028,disease,Consolidation,auroc,0.738
4,2028,disease,Bronchiectasis,auroc,0.6769
4,2028,disease,Interlobular septal thickening,auroc,0.7926
4,2028,disease,macro,auroc,0.7505
4,2028,disease,micro,auroc,0.7434
5,2028,disease,Medical material,auroc,0.7187
5,2028,disease,Arterial wall calcification,auroc,0.8451
5,2028,disease,Cardiomegaly,auroc,0.9108
5,2028,disease,Pericardial effusion,auroc,0.7934
5,2028,disease,Coronary artery wall calcification,auroc,0.8323
5,2028,disease,Hiatal hernia,auroc,0.729
5,2028,disease,Lymphadenopathy,auroc,0.6984
5,2028,disease,Emphysema,auroc,0.7369
5,2028,disease,Atelectasis,auroc,0.6944
5,2028,disease,Lung nodule,auroc,0.6175
5,2028,disease,Lung opacity,auroc,0.6871
5,2028,disease,Pulmonary fibrotic sequela,auroc,0.644
5,2028,disease,Pleural effusion,auroc,0.9319
5,2028,disease,Mosaic attenuation pattern,auroc,0.8093
5,2028,disease,Peribronchial thickening,auroc,0.742
5,2028,disease,Consolidation,auroc,0.7445
5,2028,disease,Bronchiectasis,auroc,0.6844
5,2028,disease,Interlobular septal thickening,auroc,0.792
5,2028,disease,macro,auroc,0.7562
5,2028,disease,micro,auroc,0.7526
6,2028,disease,Medical material,auroc,0.7185
6,2028,disease,Arterial wall calcification,auroc,0.8444
6,2028,disease,Cardiomegaly,auroc,0.9124
6,2028,disease,Pericardial effusion,auroc,0.7941
6,2028,disease,Coronary artery wall calcification,auroc,0.8304
6,2028,disease,Hiatal hernia,auroc,0.7253
6,2028,disease,Lymphadenopathy,auroc,0.7024
6,2028,disease,Emphysema,auroc,0.7468
6,2028,disease,Atelectasis,auroc,0.6946
6,2028,disease,Lung nodule,auroc,0.6231
6,2028,disease,Lung opacity,auroc,0.6895
6,2028,disease,Pulmonary fibrotic sequela,auroc,0.6477
6,2028,disease,Pleural effusion,auroc,0.9276
6,2028,disease,Mosaic attenuation pattern,auroc,0.8194
6,2028,disease,Peribronchial thickening,auroc,0.744
6,2028,disease,Consolidation,auroc,0.738
6,2028,disease,Bronchiectasis,auroc,0.6883
6,2028,disease,Interlobular septal thickening,auroc,0.7989
6,2028,disease,macro,auroc,0.7581
6,2028,disease,micro,auroc,0.7644
7,2028,disease,Medical material,auroc,0.7279
7,2028,disease,Arterial wall calcification,auroc,0.8473
7,2028,disease,Cardiomegaly,auroc,0.9159
7,2028,disease,Pericardial effusion,auroc,0.7968
7,2028,disease,Coronary artery wall calcification,auroc,0.8332
7,2028,disease,Hiatal hernia,auroc,0.7245
7,2028,disease,Lymphadenopathy,auroc,0.7017
7,2028,disease,Emphysema,auroc,0.7463
7,2028,disease,Atelectasis,auroc,0.6903
7,2028,disease,Lung nodule,auroc,0.6215
7,2028,disease,Lung opacity,auroc,0.6846
7,2028,disease,Pulmonary fibrotic sequela,auroc,0.6533
7,2028,disease,Pleural effusion,auroc,0.9309
7,2028,disease,Mosaic attenuation pattern,auroc,0.8194
7,2028,disease,Peribronchial thickening,auroc,0.7451
7,2028,disease,Consolidation,auroc,0.7408
7,2028,disease,Bronchiectasis,auroc,0.6843
7,2028,disease,Interlobular septal thickening,auroc,0.7997
7,2028,disease,macro,auroc,0.7591
7,2028,disease,micro,auroc,0.7514
8,2028,disease,Medical material,auroc,0.7236
8,2028,disease,Arterial wall calcification,auroc,0.8488
8,2028,disease,Cardiomegaly,auroc,0.9118
8,2028,disease,Pericardial effusion,auroc,0.7982
8,2028,disease,Coronary artery wall calcification,auroc,0.8299
8,2028,disease,Hiatal hernia,auroc,0.7285
8,2028,disease,Lymphadenopathy,auroc,0.7044
8,2028,disease,Emphysema,auroc,0.7534
8,2028,disease,Atelectasis,auroc,0.6999
8,2028,disease,Lung nodule,auroc,0.6209
8,2028,disease,Lung opacity,auroc,0.6853
8,2028,disease,Pulmonary fibrotic sequela,auroc,0.6424
8,2028,disease,Pleural effusion,auroc,0.93
8,2028,disease,Mosaic attenuation pattern,auroc,0.8118
8,2028,disease,Peribronchial thickening,auroc,0.7226
8,2028,disease,Consolidation,auroc,0.7399
8,2028,disease,Bronchiectasis,auroc,0.6806
8,2028,disease,Interlobular septal thickening,auroc,0.8
8,2028,disease,macro,auroc,0.7573
8,2028,disease,micro,auroc,0.7603
9,2028,disease,Medical material,auroc,0.7241
9,2028,disease,Arterial wall calcification,auroc,0.8435
9,2028,disease,Cardiomegaly,auroc,0.9159
9,2028,disease,Pericardial effusion,auroc,0.8026
9,2028,disease,Coronary artery wall calcification,auroc,0.8316
9,2028,disease,Hiatal hernia,auroc,0.7178
9,2028,disease,Lymphadenopathy,auroc,0.7021
9,2028,disease,Emphysema,auroc,0.7427
9,2028,disease,Atelectasis,auroc,0.6929
9,2028,disease,Lung nodule,auroc,0.625
9,2028,disease,Lung opacity,auroc,0.6808
9,2028,disease,Pulmonary fibrotic sequela,auroc,0.6377
9,2028,disease,Pleural effusion,auroc,0.9326
9,2028,disease,Mosaic attenuation pattern,auroc,0.8194
9,2028,disease,Peribronchial thickening,auroc,0.7474
9,2028,disease,Consolidation,auroc,0.7395
9,2028,disease,Bronchiectasis,auroc,0.6857
9,2028,disease,Interlobular septal thickening,auroc,0.7995
9,2028,disease,macro,auroc,0.7578
9,2028,disease,micro,auroc,0.7624
10,2028,disease,Medical material,auroc,0.7213
10,2028,disease,Arterial wall calcification,auroc,0.8526
10,2028,disease,Cardiomegaly,auroc,0.9163
10,2028,disease,Pericardial effusion,auroc,0.7997
10,2028,disease,Coronary artery wall calcification,auroc,0.8365
10,2028,disease,Hiatal hernia,auroc,0.7243
10,2028,disease,Lymphadenopathy,auroc,0.702
10,2028,disease,Emphysema,auroc,0.7497
10,2028,disease,Atelectasis,auroc,0.6951
10,2028,disease,Lung nodule,auroc,0.6238
10,2028,disease,Lung opacity,auroc,0.6804
10,2028,disease,Pulmonary fibrotic sequela,auroc,0.6479
10,2028,disease,Pleural effusion,auroc,0.9299
10,2028,disease,Mosaic attenuation pattern,auroc,0.8238
10,2028,disease,Peribronchial thickening,auroc,0.7377
10,2028,disease,Consolidation,auroc,0.7337
10,2028,disease,Bronchiectasis,auroc,0.6812
10,2028,disease,Interlobular septal thickening,auroc,0.8004
10,2028,disease,macro,auroc,0.7587
10,2028,disease,micro,auroc,0.7556
11,2028,disease,Medical material,auroc,0.7291
11,2028,disease,Arterial wall calcification,auroc,0.8507
11,2028,disease,Cardiomegaly,auroc,0.9144
11,2028,disease,Pericardial effusion,auroc,0.8011
11,2028,disease,Coronary artery wall calcification,auroc,0.8368
11,2028,disease,Hiatal hernia,auroc,0.7269
11,2028,disease,Lymphadenopathy,auroc,0.7057
11,2028,disease,Emphysema,auroc,0.7541
11,2028,disease,Atelectasis,auroc,0.6963
11,2028,disease,Lung nodule,auroc,0.6178
11,2028,disease,Lung opacity,auroc,0.6809
11,2028,disease,Pulmonary fibrotic sequela,auroc,0.6359
11,2028,disease,Pleural effusion,auroc,0.9323
11,2028,disease,Mosaic attenuation pattern,auroc,0.8188
11,2028,disease,Peribronchial thickening,auroc,0.7415
11,2028,disease,Consolidation,auroc,0.7418
11,2028,disease,Bronchiectasis,auroc,0.6826
11,2028,disease,Interlobular septal thickening,auroc,0.8034
11,2028,disease,macro,auroc,0.7594
11,2028,disease,micro,auroc,0.7677
12,2028,disease,Medical material,auroc,0.7237
12,2028,disease,Arterial wall calcification,auroc,0.848
12,2028,disease,Cardiomegaly,auroc,0.9171
12,2028,disease,Pericardial effusion,auroc,0.7999
12,2028,disease,Coronary artery wall calcification,auroc,0.8325
12,2028,disease,Hiatal hernia,auroc,0.7229
12,2028,disease,Lymphadenopathy,auroc,0.694
12,2028,disease,Emphysema,auroc,0.7471
12,2028,disease,Atelectasis,auroc,0.6963
12,2028,disease,Lung nodule,auroc,0.6119
12,2028,disease,Lung opacity,auroc,0.6866
12,2028,disease,Pulmonary fibrotic sequela,auroc,0.6432
12,2028,disease,Pleural effusion,auroc,0.9269
12,2028,disease,Mosaic attenuation pattern,auroc,0.8101
12,2028,disease,Peribronchial thickening,auroc,0.7245
12,2028,disease,Consolidation,auroc,0.7414
12,2028,disease,Bronchiectasis,auroc,0.6934
12,2028,disease,Interlobular septal thickening,auroc,0.7992
12,2028,disease,macro,auroc,0.7566
12,2028,disease,micro,auroc,0.7622
13,2028,disease,Medical material,auroc,0.7373
13,2028,disease,Arterial wall calcification,auroc,0.8518
13,2028,disease,Cardiomegaly,auroc,0.9185
13,2028,disease,Pericardial effusion,auroc,0.7997
13,2028,disease,Coronary artery wall calcification,auroc,0.8369
13,2028,disease,Hiatal hernia,auroc,0.7186
13,2028,disease,Lymphadenopathy,auroc,0.7022
13,2028,disease,Emphysema,auroc,0.7467
13,2028,disease,Atelectasis,auroc,0.6974
13,2028,disease,Lung nodule,auroc,0.6216
13,2028,disease,Lung opacity,auroc,0.6869
13,2028,disease,Pulmonary fibrotic sequela,auroc,0.6445
13,2028,disease,Pleural effusion,auroc,0.9287
13,2028,disease,Mosaic attenuation pattern,auroc,0.8241
13,2028,disease,Peribronchial thickening,auroc,0.736
13,2028,disease,Consolidation,auroc,0.7481
13,2028,disease,Bronchiectasis,auroc,0.6907
13,2028,disease,Interlobular septal thickening,auroc,0.8052
13,2028,disease,macro,auroc,0.7608
13,2028,disease,micro,auroc,0.7618
14,2028,disease,Medical material,auroc,0.7302
14,2028,disease,Arterial wall calcification,auroc,0.8518
14,2028,disease,Cardiomegaly,auroc,0.9141
14,2028,disease,Pericardial effusion,auroc,0.8005
14,2028,disease,Coronary artery wall calcification,auroc,0.8383
14,2028,disease,Hiatal hernia,auroc,0.7367
14,2028,disease,Lymphadenopathy,auroc,0.7045
14,2028,disease,Emphysema,auroc,0.7344
14,2028,disease,Atelectasis,auroc,0.7036
14,2028,disease,Lung nodule,auroc,0.6139
14,2028,disease,Lung opacity,auroc,0.6801
14,2028,disease,Pulmonary fibrotic sequela,auroc,0.6392
14,2028,disease,Pleural effusion,auroc,0.9299
14,2028,disease,Mosaic attenuation pattern,auroc,0.8177
14,2028,disease,Peribronchial thickening,auroc,0.7286
14,2028,disease,Consolidation,auroc,0.7348
14,2028,disease,Bronchiectasis,auroc,0.6858
