epoch,seed,family,target,metric,score
1,2028,location,0,r2,0.3733
1,2028,location,1,r2,0.5483
1,2028,location,2,r2,0.4413
1,2028,location,mean,r2,0.4543
2,2028,location,0,r2,0.364
2,2028,location,1,r2,0.681
2,2028,location,2,r2,0.542
2,2028,location,mean,r2,0.529
3,2028,location,0,r2,0.517
3,2028,location,1,r2,0.6535
3,2028,location,2,r2,0.5813
3,2028,location,mean,r2,0.5839
4,2028,location,0,r2,0.5672
4,2028,location,1,r2,0.737
4,2028,location,2,r2,0.5682
4,2028,location,mean,r2,0.6241
5,2028,location,0,r2,0.5716
5,2028,location,1,r2,0.7448
5,2028,location,2,r2,0.5891
5,2028,location,mean,r2,0.6352
6,2028,location,0,r2,0.572
6,2028,location,1,r2,0.7743
6,2028,location,2,r2,0.5963
6,2028,location,mean,r2,0.6475
7,2028,location,0,r2,0.5916
7,2028,location,1,r2,0.789
7,2028,location,2,r2,0.5863
7,2028,location,mean,r2,0.6556
8,2028,location,0,r2,0.5266
8,2028,location,1,r2,0.733
8,2028,location,2,r2,0.6013
8,2028,location,mean,r2,0.6203
9,2028,location,0,r2,0.5828
9,2028,location,1,r2,0.7318
9,2028,location,2,r2,0.5925
9,2028,location,mean,r2,0.6357
10,2028,location,0,r2,0.5868
10,2028,location,1,r2,0.7884
10,2028,location,2,r2,0.577
10,2028,location,mean,r2,0.6508
11,2028,location,0,r2,0.5891
11,2028,location,1,r2,0.7968
11,2028,location,2,r2,0.5538
11,2028,location,mean,r2,0.6466
12,2028,location,0,r2,0.5717
12,2028,location,1,r2,0.774
12,2028,location,2,r2,0.5948
12,2028,location,mean,r2,0.6468
13,2028,location,0,r2,0.5724
13,2028,location,1,r2,0.7778
13,2028,location,2,r2,0.6
13,2028,location,mean,r2,0.6501
14,2028,location,0,r2,0.5499
14,2028,location,1,r2,0.7959
14,2028,location,2,r2,0.581
14,2028,location,mean,r2,0.6423
15,2028,location,0,r2,0.605
15,2028,location,1,r2,0.7952
15,2028,location,2,r2,0.5617
15,2028,location,mean,r2,0.6539
16,2028,location,0,r2,0.5803
16,2028,location,1,r2,0.773
16,2028,location,2,r2,0.5466
16,2028,location,mean,r2,0.6333
17,2028,location,0,r2,0.587
17,2028,location,1,r2,0.7781
17,2028,location,2,r2,0.5753
17,2028,location,mean,r2,0.6468
18,2028,location,0,r2,0.6003
18,2028,location,1,r2,0.7866
18,2028,location,2,r2,0.5676
18,2028,location,mean,r2,0.6515
19,2028,location,0,r2,0.5794
19,2028,location,1,r2,0.7693
19,2028,location,2,r2,0.5669
19,2028,location,mean,r2,0.6385
20,2028,location,0,r2,0.5836
20,2028,location,1,r2,0.7677
20,2028,location,2,r2,0.551
20,2028,location,mean,r2,0.6341
