epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.3984
1,2026,density_merlin,1,r2,0.6505
1,2026,density_merlin,2,r2,0.0498
1,2026,density_merlin,mean,r2,0.3662
2,2026,density_merlin,0,r2,0.6523
2,2026,density_merlin,1,r2,0.8076
2,2026,density_merlin,2,r2,0.1098
2,2026,density_merlin,mean,r2,0.5232
3,2026,density_merlin,0,r2,0.7724
3,2026,density_merlin,1,r2,0.7967
3,2026,density_merlin,2,r2,0.1171
3,2026,density_merlin,mean,r2,0.5621
4,2026,density_merlin,0,r2,0.7894
4,2026,density_merlin,1,r2,0.8152
4,2026,density_merlin,2,r2,0.3357
4,2026,density_merlin,mean,r2,0.6468
5,2026,density_merlin,0,r2,0.7572
5,2026,density_merlin,1,r2,0.8335
5,2026,density_merlin,2,r2,0.3979
5,2026,density_merlin,mean,r2,0.6628
6,2026,density_merlin,0,r2,0.7957
6,2026,density_merlin,1,r2,0.8343
6,2026,density_merlin,2,r2,0.3148
6,2026,density_merlin,mean,r2,0.6483
7,2026,density_merlin,0,r2,0.8182
7,2026,density_merlin,1,r2,0.8585
7,2026,density_merlin,2,r2,0.5457
7,2026,density_merlin,mean,r2,0.7408
8,2026,density_merlin,0,r2,0.7919
8,2026,density_merlin,1,r2,0.8155
8,2026,density_merlin,2,r2,0.5928
8,2026,density_merlin,mean,r2,0.7334
9,2026,density_merlin,0,r2,0.8329
9,2026,density_merlin,1,r2,0.8584
9,2026,density_merlin,2,r2,0.6004
9,2026,density_merlin,mean,r2,0.7639
10,2026,density_merlin,0,r2,0.8096
10,2026,density_merlin,1,r2,0.8559
10,2026,density_merlin,2,r2,0.6108
10,2026,density_merlin,mean,r2,0.7588
11,2026,density_merlin,0,r2,0.8439
11,2026,density_merlin,1,r2,0.8559
11,2026,density_merlin,2,r2,0.6057
11,2026,density_merlin,mean,r2,0.7685
12,2026,density_merlin,0,r2,0.8215
12,2026,density_merlin,1,r2,0.8466
12,2026,density_merlin,2,r2,0.6095
12,2026,density_merlin,mean,r2,0.7592
13,2026,density_merlin,0,r2,0.8412
13,2026,density_merlin,1,r2,0.8498
13,2026,density_merlin,2,r2,0.632
13,2026,density_merlin,mean,r2,0.7743
14,2026,density_merlin,0,r2,0.8607
14,2026,density_merlin,1,r2,0.8296
14,2026,density_merlin,2,r2,0.6656
14,2026,density_merlin,mean,r2,0.7853
15,2026,density_merlin,0,r2,0.8471
15,2026,density_merlin,1,r2,0.8626
15,2026,density_merlin,2,r2,0.6648
15,2026,density_merlin,mean,r2,0.7915
16,2026,density_merlin,0,r2,0.8317
16,2026,density_merlin,1,r2,0.8691
16,2026,density_merlin,2,r2,0.6422
16,2026,density_merlin,mean,r2,0.781
17,2026,density_merlin,0,r2,0.8215
17,2026,density_merlin,1,r2,0.818
17,2026,density_merlin,2,r2,0.6276
17,2026,density_merlin,mean,r2,0.7557
18,2026,density_merlin,0,r2,0.8315
18,2026,density_merlin,1,r2,0.8673
18,2026,density_merlin,2,r2,0.6387
18,2026,density_merlin,mean,r2,0.7792
19,2026,density_merlin,0,r2,0.8294
19,2026,density_merlin,1,r2,0.8653
19,2026,density_merlin,2,r2,0.6527
19,2026,density_merlin,mean,r2,0.7824
20,2026,density_merlin,0,r2,0.8458
20,2026,density_merlin,1,r2,0.876
20,2026,density_merlin,2,r2,0.6707
20,2026,density_merlin,mean,r2,0.7975
1,2027,density_merlin,0,r2,0.672
1,2027,density_merlin,1,r2,0.5486
1,2027,density_merlin,2,r2,0.0352
1,2027,density_merlin,mean,r2,0.4186
2,2027,density_merlin,0,r2,0.7057
2,2027,density_merlin,1,r2,0.7598
2,2027,density_merlin,2,r2,0.0504
2,2027,density_merlin,mean,r2,0.5053
3,2027,density_merlin,0,r2,0.7474
3,2027,density_merlin,1,r2,0.7899
3,2027,density_merlin,2,r2,0.1575
3,2027,density_merlin,mean,r2,0.5649
4,2027,density_merlin,0,r2,0.817
4,2027,density_merlin,1,r2,0.8006
4,2027,density_merlin,2,r2,0.3523
4,2027,density_merlin,mean,r2,0.6567
5,2027,density_merlin,0,r2,0.8048
5,2027,density_merlin,1,r2,0.7732
5,2027,density_merlin,2,r2,0.4224
5,2027,density_merlin,mean,r2,0.6668
6,2027,density_merlin,0,r2,0.8082
6,2027,density_merlin,1,r2,0.8286
6,2027,density_merlin,2,r2,0.4453
6,2027,density_merlin,mean,r2,0.694
7,2027,density_merlin,0,r2,0.8424
7,2027,density_merlin,1,r2,0.8338
7,2027,density_merlin,2,r2,0.4376
7,2027,density_merlin,mean,r2,0.7046
8,2027,density_merlin,0,r2,0.8374
8,2027,density_merlin,1,r2,0.8267
8,2027,density_merlin,2,r2,0.4579
8,2027,density_merlin,mean,r2,0.7073
9,2027,density_merlin,0,r2,0.861
9,2027,density_merlin,1,r2,0.8425
9,2027,density_merlin,2,r2,0.5453
9,2027,density_merlin,mean,r2,0.7496
10,2027,density_merlin,0,r2,0.8377
10,2027,density_merlin,1,r2,0.8372
10,2027,density_merlin,2,r2,0.576
10,2027,density_merlin,mean,r2,0.7503
11,2027,density_merlin,0,r2,0.8439
11,2027,density_merlin,1,r2,0.8528
11,2027,density_merlin,2,r2,0.5782
11,2027,density_merlin,mean,r2,0.7583
12,2027,density_merlin,0,r2,0.861
12,2027,density_merlin,1,r2,0.8529
12,2027,density_merlin,2,r2,0.5705
12,2027,density_merlin,mean,r2,0.7615
