epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.6793
1,2026,density_merlin,1,r2,0.8749
1,2026,density_merlin,2,r2,0.3529
1,2026,density_merlin,mean,r2,0.6357
2,2026,density_merlin,0,r2,0.765
2,2026,density_merlin,1,r2,0.903
2,2026,density_merlin,2,r2,0.4542
2,2026,density_merlin,mean,r2,0.7074
3,2026,density_merlin,0,r2,0.7799
3,2026,density_merlin,1,r2,0.8577
3,2026,density_merlin,2,r2,0.6035
3,2026,density_merlin,mean,r2,0.747
4,2026,density_merlin,0,r2,0.7694
4,2026,density_merlin,1,r2,0.9432
4,2026,density_merlin,2,r2,0.5075
4,2026,density_merlin,mean,r2,0.74
5,2026,density_merlin,0,r2,0.7909
5,2026,density_merlin,1,r2,0.9405
5,2026,density_merlin,2,r2,0.6421
5,2026,density_merlin,mean,r2,0.7912
6,2026,density_merlin,0,r2,0.7949
6,2026,density_merlin,1,r2,0.9214
6,2026,density_merlin,2,r2,0.6669
6,2026,density_merlin,mean,r2,0.7944
7,2026,density_merlin,0,r2,0.8081
7,2026,density_merlin,1,r2,0.9354
7,2026,density_merlin,2,r2,0.6655
7,2026,density_merlin,mean,r2,0.803
8,2026,density_merlin,0,r2,0.7743
8,2026,density_merlin,1,r2,0.9403
8,2026,density_merlin,2,r2,0.6442
8,2026,density_merlin,mean,r2,0.7863
9,2026,density_merlin,0,r2,0.8001
9,2026,density_merlin,1,r2,0.954
9,2026,density_merlin,2,r2,0.7134
9,2026,density_merlin,mean,r2,0.8225
10,2026,density_merlin,0,r2,0.811
10,2026,density_merlin,1,r2,0.953
10,2026,density_merlin,2,r2,0.7227
10,2026,density_merlin,mean,r2,0.8289
11,2026,density_merlin,0,r2,0.8059
11,2026,density_merlin,1,r2,0.9403
11,2026,density_merlin,2,r2,0.7242
11,2026,density_merlin,mean,r2,0.8234
12,2026,density_merlin,0,r2,0.7996
12,2026,density_merlin,1,r2,0.9478
12,2026,density_merlin,2,r2,0.7345
12,2026,density_merlin,mean,r2,0.8273
13,2026,density_merlin,0,r2,0.8154
13,2026,density_merlin,1,r2,0.9575
13,2026,density_merlin,2,r2,0.7443
13,2026,density_merlin,mean,r2,0.8391
14,2026,density_merlin,0,r2,0.8084
14,2026,density_merlin,1,r2,0.9491
14,2026,density_merlin,2,r2,0.731
14,2026,density_merlin,mean,r2,0.8295
15,2026,density_merlin,0,r2,0.811
15,2026,density_merlin,1,r2,0.9543
15,2026,density_merlin,2,r2,0.7072
15,2026,density_merlin,mean,r2,0.8241
16,2026,density_merlin,0,r2,0.798
16,2026,density_merlin,1,r2,0.954
16,2026,density_merlin,2,r2,0.7558
16,2026,density_merlin,mean,r2,0.8359
17,2026,density_merlin,0,r2,0.8162
17,2026,density_merlin,1,r2,0.9508
17,2026,density_merlin,2,r2,0.7736
17,2026,density_merlin,mean,r2,0.8468
18,2026,density_merlin,0,r2,0.8027
18,2026,density_merlin,1,r2,0.9499
18,2026,density_merlin,2,r2,0.7596
18,2026,density_merlin,mean,r2,0.8374
19,2026,density_merlin,0,r2,0.8124
19,2026,density_merlin,1,r2,0.9594
19,2026,density_merlin,2,r2,0.7597
19,2026,density_merlin,mean,r2,0.8438
20,2026,density_merlin,0,r2,0.7989
20,2026,density_merlin,1,r2,0.9587
20,2026,density_merlin,2,r2,0.7621
20,2026,density_merlin,mean,r2,0.8399
1,2027,density_merlin,0,r2,0.7173
1,2027,density_merlin,1,r2,0.7766
1,2027,density_merlin,2,r2,0.3545
1,2027,density_merlin,mean,r2,0.6161
2,2027,density_merlin,0,r2,0.7551
2,2027,density_merlin,1,r2,0.9098
2,2027,density_merlin,2,r2,0.4263
2,2027,density_merlin,mean,r2,0.6971
3,2027,density_merlin,0,r2,0.7657
3,2027,density_merlin,1,r2,0.9312
3,2027,density_merlin,2,r2,0.6204
3,2027,density_merlin,mean,r2,0.7724
4,2027,density_merlin,0,r2,0.74
4,2027,density_merlin,1,r2,0.8786
4,2027,density_merlin,2,r2,0.6065
4,2027,density_merlin,mean,r2,0.7417
5,2027,density_merlin,0,r2,0.7781
5,2027,density_merlin,1,r2,0.9414
5,2027,density_merlin,2,r2,0.6901
5,2027,density_merlin,mean,r2,0.8032
6,2027,density_merlin,0,r2,0.7795
6,2027,density_merlin,1,r2,0.9463
6,2027,density_merlin,2,r2,0.7043
6,2027,density_merlin,mean,r2,0.81
7,2027,density_merlin,0,r2,0.8013
7,2027,density_merlin,1,r2,0.943
7,2027,density_merlin,2,r2,0.7142
7,2027,density_merlin,mean,r2,0.8195
8,2027,density_merlin,0,r2,0.7856
8,2027,density_merlin,1,r2,0.9512
8,2027,density_merlin,2,r2,0.7125
