epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.4036
1,2026,location_merlin,1,r2,0.1076
1,2026,location_merlin,2,r2,0.3631
1,2026,location_merlin,mean,r2,0.2914
2,2026,location_merlin,0,r2,0.5468
2,2026,location_merlin,1,r2,0.3939
2,2026,location_merlin,2,r2,0.4418
2,2026,location_merlin,mean,r2,0.4608
3,2026,location_merlin,0,r2,0.6471
3,2026,location_merlin,1,r2,0.5395
3,2026,location_merlin,2,r2,0.4606
3,2026,location_merlin,mean,r2,0.549
4,2026,location_merlin,0,r2,0.599
4,2026,location_merlin,1,r2,0.6314
4,2026,location_merlin,2,r2,0.493
4,2026,location_merlin,mean,r2,0.5744
5,2026,location_merlin,0,r2,0.6588
5,2026,location_merlin,1,r2,0.6417
5,2026,location_merlin,2,r2,0.5311
5,2026,location_merlin,mean,r2,0.6105
6,2026,location_merlin,0,r2,0.7226
6,2026,location_merlin,1,r2,0.6685
6,2026,location_merlin,2,r2,0.5512
6,2026,location_merlin,mean,r2,0.6474
7,2026,location_merlin,0,r2,0.6321
7,2026,location_merlin,1,r2,0.6068
7,2026,location_merlin,2,r2,0.5377
7,2026,location_merlin,mean,r2,0.5922
8,2026,location_merlin,0,r2,0.7343
8,2026,location_merlin,1,r2,0.7089
8,2026,location_merlin,2,r2,0.5641
8,2026,location_merlin,mean,r2,0.6691
9,2026,location_merlin,0,r2,0.7143
9,2026,location_merlin,1,r2,0.7181
9,2026,location_merlin,2,r2,0.5775
9,2026,location_merlin,mean,r2,0.67
10,2026,location_merlin,0,r2,0.7351
10,2026,location_merlin,1,r2,0.5789
10,2026,location_merlin,2,r2,0.5887
10,2026,location_merlin,mean,r2,0.6342
11,2026,location_merlin,0,r2,0.75
11,2026,location_merlin,1,r2,0.7233
11,2026,location_merlin,2,r2,0.5829
11,2026,location_merlin,mean,r2,0.6854
12,2026,location_merlin,0,r2,0.7544
12,2026,location_merlin,1,r2,0.7281
12,2026,location_merlin,2,r2,0.5929
12,2026,location_merlin,mean,r2,0.6918
13,2026,location_merlin,0,r2,0.7628
13,2026,location_merlin,1,r2,0.7258
13,2026,location_merlin,2,r2,0.6095
13,2026,location_merlin,mean,r2,0.6994
14,2026,location_merlin,0,r2,0.7311
14,2026,location_merlin,1,r2,0.7285
14,2026,location_merlin,2,r2,0.6094
14,2026,location_merlin,mean,r2,0.6897
15,2026,location_merlin,0,r2,0.7537
15,2026,location_merlin,1,r2,0.7342
15,2026,location_merlin,2,r2,0.6156
15,2026,location_merlin,mean,r2,0.7011
16,2026,location_merlin,0,r2,0.758
16,2026,location_merlin,1,r2,0.7444
16,2026,location_merlin,2,r2,0.6219
16,2026,location_merlin,mean,r2,0.7081
17,2026,location_merlin,0,r2,0.7524
17,2026,location_merlin,1,r2,0.7458
17,2026,location_merlin,2,r2,0.5974
17,2026,location_merlin,mean,r2,0.6985
18,2026,location_merlin,0,r2,0.7636
18,2026,location_merlin,1,r2,0.739
18,2026,location_merlin,2,r2,0.6203
18,2026,location_merlin,mean,r2,0.7076
19,2026,location_merlin,0,r2,0.7365
19,2026,location_merlin,1,r2,0.7361
19,2026,location_merlin,2,r2,0.5756
19,2026,location_merlin,mean,r2,0.6827
20,2026,location_merlin,0,r2,0.759
20,2026,location_merlin,1,r2,0.7456
20,2026,location_merlin,2,r2,0.6234
