epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.5188
1,2026,disease,Arterial wall calcification,auroc,0.6122
1,2026,disease,Cardiomegaly,auroc,0.5754
1,2026,disease,Pericardial effusion,auroc,0.5797
1,2026,disease,Coronary artery wall calcification,auroc,0.6186
1,2026,disease,Hiatal hernia,auroc,0.562
1,2026,disease,Lymphadenopathy,auroc,0.5505
1,2026,disease,Emphysema,auroc,0.5712
1,2026,disease,Atelectasis,auroc,0.5644
1,2026,disease,Lung nodule,auroc,0.5723
1,2026,disease,Lung opacity,auroc,0.4933
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.5462
1,2026,disease,Pleural effusion,auroc,0.5798
1,2026,disease,Mosaic attenuation pattern,auroc,0.5864
1,2026,disease,Peribronchial thickening,auroc,0.6424
1,2026,disease,Consolidation,auroc,0.5137
1,2026,disease,Bronchiectasis,auroc,0.5642
1,2026,disease,Interlobular septal thickening,auroc,0.5556
1,2026,disease,macro,auroc,0.567
1,2026,disease,micro,auroc,0.5678
2,2026,disease,Medical material,auroc,0.5534
2,2026,disease,Arterial wall calcification,auroc,0.6519
2,2026,disease,Cardiomegaly,auroc,0.6037
2,2026,disease,Pericardial effusion,auroc,0.6156
2,2026,disease,Coronary artery wall calcification,auroc,0.6631
2,2026,disease,Hiatal hernia,auroc,0.6043
2,2026,disease,Lymphadenopathy,auroc,0.5629
2,2026,disease,Emphysema,auroc,0.5904
2,2026,disease,Atelectasis,auroc,0.5777
2,2026,disease,Lung nodule,auroc,0.5839
2,2026,disease,Lung opacity,auroc,0.5151
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.586
2,2026,disease,Pleural effusion,auroc,0.5958
2,2026,disease,Mosaic attenuation pattern,auroc,0.6031
2,2026,disease,Peribronchial thickening,auroc,0.6605
2,2026,disease,Consolidation,auroc,0.5413
2,2026,disease,Bronchiectasis,auroc,0.582
2,2026,disease,Interlobular septal thickening,auroc,0.5737
2,2026,disease,macro,auroc,0.5925
2,2026,disease,micro,auroc,0.6029
3,2026,disease,Medical material,auroc,0.5745
3,2026,disease,Arterial wall calcification,auroc,0.6619
3,2026,disease,Cardiomegaly,auroc,0.617
3,2026,disease,Pericardial effusion,auroc,0.6285
3,2026,disease,Coronary artery wall calcification,auroc,0.6722
3,2026,disease,Hiatal hernia,auroc,0.6045
3,2026,disease,Lymphadenopathy,auroc,0.5701
3,2026,disease,Emphysema,auroc,0.5929
3,2026,disease,Atelectasis,auroc,0.5809
3,2026,disease,Lung nodule,auroc,0.5842
3,2026,disease,Lung opacity,auroc,0.5135
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.5856
3,2026,disease,Pleural effusion,auroc,0.6053
3,2026,disease,Mosaic attenuation pattern,auroc,0.6107
3,2026,disease,Peribronchial thickening,auroc,0.6542
3,2026,disease,Consolidation,auroc,0.5573
3,2026,disease,Bronchiectasis,auroc,0.5796
3,2026,disease,Interlobular septal thickening,auroc,0.5794
3,2026,disease,macro,auroc,0.5985
3,2026,disease,micro,auroc,0.5962
4,2026,disease,Medical material,auroc,0.6103
4,2026,disease,Arterial wall calcification,auroc,0.672
4,2026,disease,Cardiomegaly,auroc,0.6376
4,2026,disease,Pericardial effusion,auroc,0.6539
4,2026,disease,Coronary artery wall calcification,auroc,0.6775
4,2026,disease,Hiatal hernia,auroc,0.6065
4,2026,disease,Lymphadenopathy,auroc,0.564
4,2026,disease,Emphysema,auroc,0.5891
4,2026,disease,Atelectasis,auroc,0.5795
4,2026,disease,Lung nodule,auroc,0.5831
4,2026,disease,Lung opacity,auroc,0.5216
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.5825
4,2026,disease,Pleural effusion,auroc,0.6119
4,2026,disease,Mosaic attenuation pattern,auroc,0.6175
4,2026,disease,Peribronchial thickening,auroc,0.6523
4,2026,disease,Consolidation,auroc,0.5597
4,2026,disease,Bronchiectasis,auroc,0.5786
4,2026,disease,Interlobular septal thickening,auroc,0.5721
4,2026,disease,macro,auroc,0.6039
4,2026,disease,micro,auroc,0.6013
