epoch,seed,family,target,metric,score
1,2027,location,0,r2,0.0565
1,2027,location,1,r2,0.1183
1,2027,location,2,r2,0.1431
1,2027,location,mean,r2,0.106
2,2027,location,0,r2,0.1242
2,2027,location,1,r2,0.2553
2,2027,location,2,r2,0.2304
2,2027,location,mean,r2,0.2033
3,2027,location,0,r2,0.1433
3,2027,location,1,r2,0.3086
3,2027,location,2,r2,0.2771
3,2027,location,mean,r2,0.243
4,2027,location,0,r2,0.163
4,2027,location,1,r2,0.3018
4,2027,location,2,r2,0.3096
4,2027,location,mean,r2,0.2581
5,2027,location,0,r2,0.1304
5,2027,location,1,r2,0.3884
5,2027,location,2,r2,0.3145
5,2027,location,mean,r2,0.2777
6,2027,location,0,r2,0.1792
6,2027,location,1,r2,0.4008
6,2027,location,2,r2,0.3132
6,2027,location,mean,r2,0.2978
