epoch,seed,family,target,metric,score
1,2028,radiomics,0,r2,0.1339
1,2028,radiomics,1,r2,0.0751
1,2028,radiomics,2,r2,0.1928
1,2028,radiomics,mean,r2,0.1339
2,2028,radiomics,0,r2,0.227
2,2028,radiomics,1,r2,0.119
2,2028,radiomics,2,r2,0.2675
2,2028,radiomics,mean,r2,0.2045
3,2028,radiomics,0,r2,0.2616
3,2028,radiomics,1,r2,0.0568
3,2028,radiomics,2,r2,0.2643
3,2028,radiomics,mean,r2,0.1942
4,2028,radiomics,0,r2,0.31
4,2028,radiomics,1,r2,0.1474
4,2028,radiomics,2,r2,0.3175
4,2028,radiomics,mean,r2,0.2583
5,2028,radiomics,0,r2,0.3157
5,2028,radiomics,1,r2,0.1502
5,2028,radiomics,2,r2,0.3289
5,2028,radiomics,mean,r2,0.2649
6,2028,radiomics,0,r2,0.3137
6,2028,radiomics,1,r2,0.1576
6,2028,radiomics,2,r2,0.3295
6,2028,radiomics,mean,r2,0.267
