epoch,seed,family,target,metric,score
1,2030,density,0,r2,0.0587
1,2030,density,1,r2,0.2256
1,2030,density,2,r2,0.085
1,2030,density,3,r2,0.0525
1,2030,density,mean,r2,0.1055
2,2030,density,0,r2,0.1282
2,2030,density,1,r2,0.315
2,2030,density,2,r2,0.1518
2,2030,density,3,r2,0.1003
2,2030,density,mean,r2,0.1738
3,2030,density,0,r2,0.1629
3,2030,density,1,r2,0.3523
3,2030,density,2,r2,0.2459
3,2030,density,3,r2,0.1706
3,2030,density,mean,r2,0.2329
4,2030,density,0,r2,0.1759
4,2030,density,1,r2,0.3923
4,2030,density,2,r2,0.2864
4,2030,density,3,r2,0.2126
4,2030,density,mean,r2,0.2668
5,2030,density,0,r2,0.1939
5,2030,density,1,r2,0.3974
5,2030,density,2,r2,0.3024
5,2030,density,3,r2,0.2376
5,2030,density,mean,r2,0.2828
6,2030,density,0,r2,0.1816
6,2030,density,1,r2,0.4212
6,2030,density,2,r2,0.3299
6,2030,density,3,r2,0.2734
6,2030,density,mean,r2,0.3015
