epoch,seed,family,target,metric,score
1,2030,size,0,r2,0.0694
1,2030,size,1,r2,0.0938
1,2030,size,2,r2,0.1191
1,2030,size,3,r2,0.1474
1,2030,size,4,r2,0.0915
1,2030,size,mean,r2,0.1043
2,2030,size,0,r2,0.1498
2,2030,size,1,r2,0.0934
2,2030,size,2,r2,0.1453
2,2030,size,3,r2,0.1747
2,2030,size,4,r2,0.1575
2,2030,size,mean,r2,0.1441
3,2030,size,0,r2,0.1907
3,2030,size,1,r2,0.1148
3,2030,size,2,r2,0.1558
3,2030,size,3,r2,0.2094
3,2030,size,4,r2,0.2028
3,2030,size,mean,r2,0.1747
4,2030,size,0,r2,0.2405
4,2030,size,1,r2,0.1214
4,2030,size,2,r2,0.1866
4,2030,size,3,r2,0.2501
4,2030,size,4,r2,0.2585
4,2030,size,mean,r2,0.2114
5,2030,size,0,r2,0.3122
5,2030,size,1,r2,0.1477
5,2030,size,2,r2,0.1953
5,2030,size,3,r2,0.2709
5,2030,size,4,r2,0.2916
5,2030,size,mean,r2,0.2435
6,2030,size,0,r2,0.3635
6,2030,size,1,r2,0.1466
6,2030,size,2,r2,0.216
6,2030,size,3,r2,0.3009
6,2030,size,4,r2,0.3527
6,2030,size,mean,r2,0.2759
