epoch,seed,family,target,metric,score
1,2027,density_merlin,0,r2,0.4374
1,2027,density_merlin,1,r2,0.7003
1,2027,density_merlin,2,r2,0.0484
1,2027,density_merlin,mean,r2,0.3954
2,2027,density_merlin,0,r2,0.7402
2,2027,density_merlin,1,r2,0.7462
2,2027,density_merlin,2,r2,0.0991
2,2027,density_merlin,mean,r2,0.5285
3,2027,density_merlin,0,r2,0.7028
3,2027,density_merlin,1,r2,0.8012
3,2027,density_merlin,2,r2,0.1606
3,2027,density_merlin,mean,r2,0.5549
4,2027,density_merlin,0,r2,0.7941
4,2027,density_merlin,1,r2,0.7573
4,2027,density_merlin,2,r2,0.201
4,2027,density_merlin,mean,r2,0.5841
5,2027,density_merlin,0,r2,0.769
5,2027,density_merlin,1,r2,0.8174
5,2027,density_merlin,2,r2,0.3796
5,2027,density_merlin,mean,r2,0.6553
6,2027,density_merlin,0,r2,0.7497
6,2027,density_merlin,1,r2,0.808
6,2027,density_merlin,2,r2,0.3381
6,2027,density_merlin,mean,r2,0.6319
7,2027,density_merlin,0,r2,0.8271
7,2027,density_merlin,1,r2,0.8077
7,2027,density_merlin,2,r2,0.4031
7,2027,density_merlin,mean,r2,0.6793
8,2027,density_merlin,0,r2,0.8354
8,2027,density_merlin,1,r2,0.8363
8,2027,density_merlin,2,r2,0.4355
8,2027,density_merlin,mean,r2,0.7024
9,2027,density_merlin,0,r2,0.8347
9,2027,density_merlin,1,r2,0.8092
9,2027,density_merlin,2,r2,0.4561
9,2027,density_merlin,mean,r2,0.7
10,2027,density_merlin,0,r2,0.8508
10,2027,density_merlin,1,r2,0.8354
10,2027,density_merlin,2,r2,0.4637
10,2027,density_merlin,mean,r2,0.7166
11,2027,density_merlin,0,r2,0.8304
11,2027,density_merlin,1,r2,0.8331
11,2027,density_merlin,2,r2,0.4727
11,2027,density_merlin,mean,r2,0.7121
12,2027,density_merlin,0,r2,0.8514
12,2027,density_merlin,1,r2,0.8376
12,2027,density_merlin,2,r2,0.4515
12,2027,density_merlin,mean,r2,0.7135
13,2027,density_merlin,0,r2,0.8458
13,2027,density_merlin,1,r2,0.8444
13,2027,density_merlin,2,r2,0.4683
13,2027,density_merlin,mean,r2,0.7195
14,2027,density_merlin,0,r2,0.8629
14,2027,density_merlin,1,r2,0.8358
14,2027,density_merlin,2,r2,0.4322
14,2027,density_merlin,mean,r2,0.7103
15,2027,density_merlin,0,r2,0.8627
15,2027,density_merlin,1,r2,0.8474
15,2027,density_merlin,2,r2,0.4657
15,2027,density_merlin,mean,r2,0.7253
16,2027,density_merlin,0,r2,0.8454
16,2027,density_merlin,1,r2,0.8307
16,2027,density_merlin,2,r2,0.447
16,2027,density_merlin,mean,r2,0.7077
17,2027,density_merlin,0,r2,0.8598
17,2027,density_merlin,1,r2,0.8352
17,2027,density_merlin,2,r2,0.4989
17,2027,density_merlin,mean,r2,0.7313
18,2027,density_merlin,0,r2,0.8471
18,2027,density_merlin,1,r2,0.8369
18,2027,density_merlin,2,r2,0.3978
18,2027,density_merlin,mean,r2,0.6939
19,2027,density_merlin,0,r2,0.8487
19,2027,density_merlin,1,r2,0.8424
19,2027,density_merlin,2,r2,0.4711
19,2027,density_merlin,mean,r2,0.7207
20,2027,density_merlin,0,r2,0.8666
20,2027,density_merlin,1,r2,0.8533
20,2027,density_merlin,2,r2,0.4827
20,2027,density_merlin,mean,r2,0.7342
21,2027,density_merlin,0,r2,0.8537
21,2027,density_merlin,1,r2,0.8375
21,2027,density_merlin,2,r2,0.5086
21,2027,density_merlin,mean,r2,0.7333
22,2027,density_merlin,0,r2,0.8659
22,2027,density_merlin,1,r2,0.8392
22,2027,density_merlin,2,r2,0.4314
22,2027,density_merlin,mean,r2,0.7122
23,2027,density_merlin,0,r2,0.8692
23,2027,density_merlin,1,r2,0.8519
23,2027,density_merlin,2,r2,0.5094
23,2027,density_merlin,mean,r2,0.7435
24,2027,density_merlin,0,r2,0.8723
24,2027,density_merlin,1,r2,0.8492
24,2027,density_merlin,2,r2,0.4804
24,2027,density_merlin,mean,r2,0.734
25,2027,density_merlin,0,r2,0.8642
25,2027,density_merlin,1,r2,0.8405
25,2027,density_merlin,2,r2,0.5231
