epoch,seed,family,target,metric,score
1,2027,disease_merlin,submucosal_edema,auroc,0.7161
1,2027,disease_merlin,renal_hypodensities,auroc,0.6815
1,2027,disease_merlin,aortic_valve_calcification,auroc,0.8658
1,2027,disease_merlin,coronary_calcification,auroc,0.7851
1,2027,disease_merlin,thrombosis,auroc,0.5641
1,2027,disease_merlin,metastatic_disease,auroc,0.7591
1,2027,disease_merlin,pancreatic_atrophy,auroc,0.7846
1,2027,disease_merlin,renal_cyst,auroc,0.6805
1,2027,disease_merlin,osteopenia,auroc,0.8758
1,2027,disease_merlin,surgically_absent_gallbladder,auroc,0.6573
1,2027,disease_merlin,atelectasis,auroc,0.765
1,2027,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8538
1,2027,disease_merlin,anasarca,auroc,0.902
1,2027,disease_merlin,hiatal_hernia,auroc,0.7467
1,2027,disease_merlin,lymphadenopathy,auroc,0.5652
1,2027,disease_merlin,prostatomegaly,auroc,0.6682
1,2027,disease_merlin,biliary_ductal_dilation,auroc,0.6607
1,2027,disease_merlin,cardiomegaly,auroc,0.8001
1,2027,disease_merlin,splenomegaly,auroc,0.6482
1,2027,disease_merlin,hepatomegaly,auroc,0.6498
1,2027,disease_merlin,atherosclerosis,auroc,0.7364
1,2027,disease_merlin,ascites,auroc,0.8051
1,2027,disease_merlin,pleural_effusion,auroc,0.7888
1,2027,disease_merlin,hepatic_steatosis,auroc,0.6691
1,2027,disease_merlin,appendicitis,auroc,0.3349
1,2027,disease_merlin,gallstones,auroc,0.6448
1,2027,disease_merlin,hydronephrosis,auroc,0.6589
1,2027,disease_merlin,bowel_obstruction,auroc,0.619
1,2027,disease_merlin,free_air,auroc,0.674
1,2027,disease_merlin,fracture,auroc,0.6947
1,2027,disease_merlin,macro,auroc,0.7085
1,2027,disease_merlin,micro,auroc,0.7035
2,2027,disease_merlin,submucosal_edema,auroc,0.7437
2,2027,disease_merlin,renal_hypodensities,auroc,0.6855
2,2027,disease_merlin,aortic_valve_calcification,auroc,0.8685
2,2027,disease_merlin,coronary_calcification,auroc,0.811
2,2027,disease_merlin,thrombosis,auroc,0.6788
2,2027,disease_merlin,metastatic_disease,auroc,0.7541
2,2027,disease_merlin,pancreatic_atrophy,auroc,0.7872
2,2027,disease_merlin,renal_cyst,auroc,0.692
2,2027,disease_merlin,osteopenia,auroc,0.8915
2,2027,disease_merlin,surgically_absent_gallbladder,auroc,0.6727
2,2027,disease_merlin,atelectasis,auroc,0.7836
2,2027,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8861
2,2027,disease_merlin,anasarca,auroc,0.9222
2,2027,disease_merlin,hiatal_hernia,auroc,0.7601
2,2027,disease_merlin,lymphadenopathy,auroc,0.4497
2,2027,disease_merlin,prostatomegaly,auroc,0.6902
