epoch,seed,family,target,metric,score
1,2029,size_merlin,0,r2,0.1579
1,2029,size_merlin,1,r2,0.1216
1,2029,size_merlin,2,r2,0.241
1,2029,size_merlin,3,r2,0.2093
1,2029,size_merlin,4,r2,0.3487
1,2029,size_merlin,5,r2,0.0898
1,2029,size_merlin,mean,r2,0.1947
2,2029,size_merlin,0,r2,0.5264
2,2029,size_merlin,1,r2,0.4517
2,2029,size_merlin,2,r2,0.3718
2,2029,size_merlin,3,r2,0.3474
2,2029,size_merlin,4,r2,0.3816
2,2029,size_merlin,5,r2,0.1359
2,2029,size_merlin,mean,r2,0.3691
3,2029,size_merlin,0,r2,0.6493
3,2029,size_merlin,1,r2,0.5747
3,2029,size_merlin,2,r2,0.421
3,2029,size_merlin,3,r2,0.3624
3,2029,size_merlin,4,r2,0.3808
3,2029,size_merlin,5,r2,0.1363
3,2029,size_merlin,mean,r2,0.4208
4,2029,size_merlin,0,r2,0.7331
4,2029,size_merlin,1,r2,0.6405
4,2029,size_merlin,2,r2,0.4754
4,2029,size_merlin,3,r2,0.4101
4,2029,size_merlin,4,r2,0.4235
4,2029,size_merlin,5,r2,0.1694
4,2029,size_merlin,mean,r2,0.4753
5,2029,size_merlin,0,r2,0.775
5,2029,size_merlin,1,r2,0.6915
5,2029,size_merlin,2,r2,0.5034
5,2029,size_merlin,3,r2,0.4608
5,2029,size_merlin,4,r2,0.42
5,2029,size_merlin,5,r2,0.1273
5,2029,size_merlin,mean,r2,0.4963
6,2029,size_merlin,0,r2,0.7993
6,2029,size_merlin,1,r2,0.717
6,2029,size_merlin,2,r2,0.5057
6,2029,size_merlin,3,r2,0.4783
6,2029,size_merlin,4,r2,0.4766
6,2029,size_merlin,5,r2,0.2111
6,2029,size_merlin,mean,r2,0.5313
7,2029,size_merlin,0,r2,0.7755
7,2029,size_merlin,1,r2,0.7115
7,2029,size_merlin,2,r2,0.5447
7,2029,size_merlin,3,r2,0.4945
7,2029,size_merlin,4,r2,0.4991
7,2029,size_merlin,5,r2,0.2229
7,2029,size_merlin,mean,r2,0.5414
8,2029,size_merlin,0,r2,0.8081
8,2029,size_merlin,1,r2,0.7016
8,2029,size_merlin,2,r2,0.5555
8,2029,size_merlin,3,r2,0.4871
8,2029,size_merlin,4,r2,0.504
8,2029,size_merlin,5,r2,0.2172
8,2029,size_merlin,mean,r2,0.5456
9,2029,size_merlin,0,r2,0.8156
9,2029,size_merlin,1,r2,0.7391
9,2029,size_merlin,2,r2,0.5736
9,2029,size_merlin,3,r2,0.4963
9,2029,size_merlin,4,r2,0.5218
9,2029,size_merlin,5,r2,0.2154
9,2029,size_merlin,mean,r2,0.5603
10,2029,size_merlin,0,r2,0.8217
10,2029,size_merlin,1,r2,0.7451
10,2029,size_merlin,2,r2,0.5697
10,2029,size_merlin,3,r2,0.4955
10,2029,size_merlin,4,r2,0.3742
10,2029,size_merlin,5,r2,0.2103
10,2029,size_merlin,mean,r2,0.5361
11,2029,size_merlin,0,r2,0.7524
11,2029,size_merlin,1,r2,0.6882
11,2029,size_merlin,2,r2,0.5779
11,2029,size_merlin,3,r2,0.4854
11,2029,size_merlin,4,r2,0.5562
11,2029,size_merlin,5,r2,0.2697
11,2029,size_merlin,mean,r2,0.555
12,2029,size_merlin,0,r2,0.8141
12,2029,size_merlin,1,r2,0.7352
12,2029,size_merlin,2,r2,0.572
12,2029,size_merlin,3,r2,0.5221
12,2029,size_merlin,4,r2,0.5341
12,2029,size_merlin,5,r2,0.2533
12,2029,size_merlin,mean,r2,0.5718
13,2029,size_merlin,0,r2,0.8282
13,2029,size_merlin,1,r2,0.7533
13,2029,size_merlin,2,r2,0.5509
13,2029,size_merlin,3,r2,0.512
13,2029,size_merlin,4,r2,0.5553
13,2029,size_merlin,5,r2,0.2975
13,2029,size_merlin,mean,r2,0.5829
14,2029,size_merlin,0,r2,0.7936
14,2029,size_merlin,1,r2,0.7313
14,2029,size_merlin,2,r2,0.4975
14,2029,size_merlin,3,r2,0.5131
14,2029,size_merlin,4,r2,0.5601
14,2029,size_merlin,5,r2,0.303
14,2029,size_merlin,mean,r2,0.5664
15,2029,size_merlin,0,r2,0.8123
15,2029,size_merlin,1,r2,0.7358
15,2029,size_merlin,2,r2,0.6102
15,2029,size_merlin,3,r2,0.5567
15,2029,size_merlin,4,r2,0.5746
15,2029,size_merlin,5,r2,0.3198
15,2029,size_merlin,mean,r2,0.6016
16,2029,size_merlin,0,r2,0.8459
16,2029,size_merlin,1,r2,0.7603
16,2029,size_merlin,2,r2,0.5706
16,2029,size_merlin,3,r2,0.5352
16,2029,size_merlin,4,r2,0.4807
16,2029,size_merlin,5,r2,0.3092
16,2029,size_merlin,mean,r2,0.5837
17,2029,size_merlin,0,r2,0.8222
17,2029,size_merlin,1,r2,0.7469
17,2029,size_merlin,2,r2,0.5968
17,2029,size_merlin,3,r2,0.555
17,2029,size_merlin,4,r2,0.4934
17,2029,size_merlin,5,r2,0.2519
17,2029,size_merlin,mean,r2,0.5777
18,2029,size_merlin,0,r2,0.829
18,2029,size_merlin,1,r2,0.7504
18,2029,size_merlin,2,r2,0.6134
18,2029,size_merlin,3,r2,0.5411
18,2029,size_merlin,4,r2,0.5753
18,2029,size_merlin,5,r2,0.3085
18,2029,size_merlin,mean,r2,0.6029
19,2029,size_merlin,0,r2,0.8167
19,2029,size_merlin,1,r2,0.7449
19,2029,size_merlin,2,r2,0.6109
19,2029,size_merlin,3,r2,0.5414
19,2029,size_merlin,4,r2,0.52
19,2029,size_merlin,5,r2,0.2964
19,2029,size_merlin,mean,r2,0.5884
20,2029,size_merlin,0,r2,0.8332
20,2029,size_merlin,1,r2,0.7552
20,2029,size_merlin,2,r2,0.5285
20,2029,size_merlin,3,r2,0.5456
