epoch,seed,family,target,metric,score
1,2030,location_merlin,0,r2,0.465
1,2030,location_merlin,1,r2,0.2702
1,2030,location_merlin,2,r2,0.1457
1,2030,location_merlin,mean,r2,0.2936
2,2030,location_merlin,0,r2,0.6446
2,2030,location_merlin,1,r2,0.407
2,2030,location_merlin,2,r2,0.211
2,2030,location_merlin,mean,r2,0.4209
3,2030,location_merlin,0,r2,0.6601
3,2030,location_merlin,1,r2,0.3899
3,2030,location_merlin,2,r2,0.2136
3,2030,location_merlin,mean,r2,0.4212
4,2030,location_merlin,0,r2,0.7066
4,2030,location_merlin,1,r2,0.5275
4,2030,location_merlin,2,r2,0.215
4,2030,location_merlin,mean,r2,0.483
5,2030,location_merlin,0,r2,0.7176
5,2030,location_merlin,1,r2,0.5936
5,2030,location_merlin,2,r2,0.251
5,2030,location_merlin,mean,r2,0.5207
6,2030,location_merlin,0,r2,0.7153
6,2030,location_merlin,1,r2,0.6617
6,2030,location_merlin,2,r2,0.1941
6,2030,location_merlin,mean,r2,0.5237
7,2030,location_merlin,0,r2,0.7254
7,2030,location_merlin,1,r2,0.7016
7,2030,location_merlin,2,r2,0.2834
7,2030,location_merlin,mean,r2,0.5701
8,2030,location_merlin,0,r2,0.749
8,2030,location_merlin,1,r2,0.73
8,2030,location_merlin,2,r2,0.2967
8,2030,location_merlin,mean,r2,0.5919
9,2030,location_merlin,0,r2,0.6919
9,2030,location_merlin,1,r2,0.6898
9,2030,location_merlin,2,r2,0.2949
9,2030,location_merlin,mean,r2,0.5589
10,2030,location_merlin,0,r2,0.7148
10,2030,location_merlin,1,r2,0.7444
10,2030,location_merlin,2,r2,0.2865
10,2030,location_merlin,mean,r2,0.5819
11,2030,location_merlin,0,r2,0.7425
11,2030,location_merlin,1,r2,0.7457
11,2030,location_merlin,2,r2,0.3128
11,2030,location_merlin,mean,r2,0.6003
12,2030,location_merlin,0,r2,0.7238
12,2030,location_merlin,1,r2,0.7521
12,2030,location_merlin,2,r2,0.3191
12,2030,location_merlin,mean,r2,0.5984
13,2030,location_merlin,0,r2,0.7655
13,2030,location_merlin,1,r2,0.7397
