epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.063
1,2026,size_merlin,1,r2,0.0142
1,2026,size_merlin,2,r2,0.0707
1,2026,size_merlin,3,r2,0.0787
1,2026,size_merlin,4,r2,0.2948
1,2026,size_merlin,5,r2,0.0637
1,2026,size_merlin,mean,r2,0.0975
2,2026,size_merlin,0,r2,0.1075
2,2026,size_merlin,1,r2,0.0425
2,2026,size_merlin,2,r2,0.1577
2,2026,size_merlin,3,r2,0.1786
2,2026,size_merlin,4,r2,0.3757
2,2026,size_merlin,5,r2,0.0956
2,2026,size_merlin,mean,r2,0.1596
3,2026,size_merlin,0,r2,0.1726
3,2026,size_merlin,1,r2,0.1094
3,2026,size_merlin,2,r2,0.3021
3,2026,size_merlin,3,r2,0.281
3,2026,size_merlin,4,r2,0.3432
3,2026,size_merlin,5,r2,0.0922
3,2026,size_merlin,mean,r2,0.2168
4,2026,size_merlin,0,r2,0.2873
4,2026,size_merlin,1,r2,0.1821
4,2026,size_merlin,2,r2,0.3234
4,2026,size_merlin,3,r2,0.3066
4,2026,size_merlin,4,r2,0.3969
4,2026,size_merlin,5,r2,0.106
4,2026,size_merlin,mean,r2,0.267
5,2026,size_merlin,0,r2,0.3422
5,2026,size_merlin,1,r2,0.2318
5,2026,size_merlin,2,r2,0.2887
5,2026,size_merlin,3,r2,0.2805
5,2026,size_merlin,4,r2,0.37
5,2026,size_merlin,5,r2,0.113
5,2026,size_merlin,mean,r2,0.271
6,2026,size_merlin,0,r2,0.4135
6,2026,size_merlin,1,r2,0.2931
6,2026,size_merlin,2,r2,0.3344
6,2026,size_merlin,3,r2,0.3233
6,2026,size_merlin,4,r2,0.3261
6,2026,size_merlin,5,r2,0.1092
6,2026,size_merlin,mean,r2,0.2999
7,2026,size_merlin,0,r2,0.5938
7,2026,size_merlin,1,r2,0.436
7,2026,size_merlin,2,r2,0.2981
7,2026,size_merlin,3,r2,0.3125
7,2026,size_merlin,4,r2,0.298
7,2026,size_merlin,5,r2,0.1019
7,2026,size_merlin,mean,r2,0.3401
8,2026,size_merlin,0,r2,0.6957
8,2026,size_merlin,1,r2,0.5397
8,2026,size_merlin,2,r2,0.2608
8,2026,size_merlin,3,r2,0.3184
8,2026,size_merlin,4,r2,0.2844
8,2026,size_merlin,5,r2,0.1122
8,2026,size_merlin,mean,r2,0.3685
9,2026,size_merlin,0,r2,0.714
9,2026,size_merlin,1,r2,0.5731
9,2026,size_merlin,2,r2,0.2706
9,2026,size_merlin,3,r2,0.3441
9,2026,size_merlin,4,r2,0.2534
9,2026,size_merlin,5,r2,0.1092
9,2026,size_merlin,mean,r2,0.3774
10,2026,size_merlin,0,r2,0.7642
10,2026,size_merlin,1,r2,0.6216
10,2026,size_merlin,2,r2,0.2036
10,2026,size_merlin,3,r2,0.2597
10,2026,size_merlin,4,r2,0.2098
10,2026,size_merlin,5,r2,0.1009
10,2026,size_merlin,mean,r2,0.36
11,2026,size_merlin,0,r2,0.7824
11,2026,size_merlin,1,r2,0.6433
11,2026,size_merlin,2,r2,0.181
11,2026,size_merlin,3,r2,0.3086
11,2026,size_merlin,4,r2,0.3107
11,2026,size_merlin,5,r2,0.1418
11,2026,size_merlin,mean,r2,0.3946
12,2026,size_merlin,0,r2,0.775
12,2026,size_merlin,1,r2,0.6227
12,2026,size_merlin,2,r2,0.2408
12,2026,size_merlin,3,r2,0.3228
12,2026,size_merlin,4,r2,0.3156
12,2026,size_merlin,5,r2,0.1434
12,2026,size_merlin,mean,r2,0.4034
13,2026,size_merlin,0,r2,0.8309
13,2026,size_merlin,1,r2,0.6873
13,2026,size_merlin,2,r2,0.2274
13,2026,size_merlin,3,r2,0.3208
13,2026,size_merlin,4,r2,0.3265
13,2026,size_merlin,5,r2,0.1571
13,2026,size_merlin,mean,r2,0.425
14,2026,size_merlin,0,r2,0.8314
14,2026,size_merlin,1,r2,0.6843
14,2026,size_merlin,2,r2,0.2103
14,2026,size_merlin,3,r2,0.3105
14,2026,size_merlin,4,r2,0.336
14,2026,size_merlin,5,r2,0.157
14,2026,size_merlin,mean,r2,0.4216
15,2026,size_merlin,0,r2,0.8308
15,2026,size_merlin,1,r2,0.6959
15,2026,size_merlin,2,r2,0.1797
15,2026,size_merlin,3,r2,0.262
15,2026,size_merlin,4,r2,0.3594
15,2026,size_merlin,5,r2,0.1702
15,2026,size_merlin,mean,r2,0.4163
16,2026,size_merlin,0,r2,0.8137
16,2026,size_merlin,1,r2,0.6803
16,2026,size_merlin,2,r2,0.1606
16,2026,size_merlin,3,r2,0.2551
16,2026,size_merlin,4,r2,0.4124
16,2026,size_merlin,5,r2,0.1959
16,2026,size_merlin,mean,r2,0.4197
17,2026,size_merlin,0,r2,0.8221
17,2026,size_merlin,1,r2,0.6936
17,2026,size_merlin,2,r2,0.1801
17,2026,size_merlin,3,r2,0.2901
17,2026,size_merlin,4,r2,0.3713
17,2026,size_merlin,5,r2,0.1868
17,2026,size_merlin,mean,r2,0.424
18,2026,size_merlin,0,r2,0.8327
18,2026,size_merlin,1,r2,0.6923
18,2026,size_merlin,2,r2,0.1541
18,2026,size_merlin,3,r2,0.2237
18,2026,size_merlin,4,r2,0.4374
18,2026,size_merlin,5,r2,0.2024
18,2026,size_merlin,mean,r2,0.4238
19,2026,size_merlin,0,r2,0.8369
19,2026,size_merlin,1,r2,0.7102
19,2026,size_merlin,2,r2,0.1523
19,2026,size_merlin,3,r2,0.2604
19,2026,size_merlin,4,r2,0.448
19,2026,size_merlin,5,r2,0.2112
19,2026,size_merlin,mean,r2,0.4365
20,2026,size_merlin,0,r2,0.8374
20,2026,size_merlin,1,r2,0.6929
20,2026,size_merlin,2,r2,0.1697
20,2026,size_merlin,3,r2,0.2589
20,2026,size_merlin,4,r2,0.438
20,2026,size_merlin,5,r2,0.2035
20,2026,size_merlin,mean,r2,0.4334
21,2026,size_merlin,0,r2,0.8093
21,2026,size_merlin,1,r2,0.6622
21,2026,size_merlin,2,r2,0.168
21,2026,size_merlin,3,r2,0.2088
21,2026,size_merlin,4,r2,0.4403
21,2026,size_merlin,5,r2,0.2091
21,2026,size_merlin,mean,r2,0.4163
22,2026,size_merlin,0,r2,0.8011
22,2026,size_merlin,1,r2,0.6653
22,2026,size_merlin,2,r2,0.1587
22,2026,size_merlin,3,r2,0.2271
22,2026,size_merlin,4,r2,0.4664
22,2026,size_merlin,5,r2,0.2322
22,2026,size_merlin,mean,r2,0.4251
23,2026,size_merlin,0,r2,0.7972
23,2026,size_merlin,1,r2,0.666
23,2026,size_merlin,2,r2,0.1488
23,2026,size_merlin,3,r2,0.2417
23,2026,size_merlin,4,r2,0.4676
23,2026,size_merlin,5,r2,0.2261
23,2026,size_merlin,mean,r2,0.4246
24,2026,size_merlin,0,r2,0.8224
24,2026,size_merlin,1,r2,0.6757
24,2026,size_merlin,2,r2,0.1676
24,2026,size_merlin,3,r2,0.1787
24,2026,size_merlin,4,r2,0.4507
24,2026,size_merlin,5,r2,0.2253
24,2026,size_merlin,mean,r2,0.4201
25,2026,size_merlin,0,r2,0.8352
25,2026,size_merlin,1,r2,0.6972
