epoch,seed,family,target,metric,score
1,2027,density_merlin,0,r2,0.6419
1,2027,density_merlin,1,r2,0.716
1,2027,density_merlin,2,r2,0.0524
1,2027,density_merlin,mean,r2,0.4701
2,2027,density_merlin,0,r2,0.726
2,2027,density_merlin,1,r2,0.7765
2,2027,density_merlin,2,r2,0.068
2,2027,density_merlin,mean,r2,0.5235
3,2027,density_merlin,0,r2,0.7702
3,2027,density_merlin,1,r2,0.7972
3,2027,density_merlin,2,r2,0.1355
3,2027,density_merlin,mean,r2,0.5676
4,2027,density_merlin,0,r2,0.7755
4,2027,density_merlin,1,r2,0.7458
4,2027,density_merlin,2,r2,0.21
4,2027,density_merlin,mean,r2,0.5771
5,2027,density_merlin,0,r2,0.7854
5,2027,density_merlin,1,r2,0.8135
5,2027,density_merlin,2,r2,0.2736
5,2027,density_merlin,mean,r2,0.6242
6,2027,density_merlin,0,r2,0.7347
6,2027,density_merlin,1,r2,0.8214
6,2027,density_merlin,2,r2,0.2687
6,2027,density_merlin,mean,r2,0.6083
7,2027,density_merlin,0,r2,0.8115
7,2027,density_merlin,1,r2,0.8121
7,2027,density_merlin,2,r2,0.3628
7,2027,density_merlin,mean,r2,0.6621
8,2027,density_merlin,0,r2,0.8407
8,2027,density_merlin,1,r2,0.8202
8,2027,density_merlin,2,r2,0.3372
8,2027,density_merlin,mean,r2,0.666
9,2027,density_merlin,0,r2,0.8383
9,2027,density_merlin,1,r2,0.8112
9,2027,density_merlin,2,r2,0.3437
9,2027,density_merlin,mean,r2,0.6644
10,2027,density_merlin,0,r2,0.8518
10,2027,density_merlin,1,r2,0.8159
10,2027,density_merlin,2,r2,0.3868
10,2027,density_merlin,mean,r2,0.6848
11,2027,density_merlin,0,r2,0.8142
11,2027,density_merlin,1,r2,0.7596
11,2027,density_merlin,2,r2,0.4041
11,2027,density_merlin,mean,r2,0.6593
12,2027,density_merlin,0,r2,0.8351
12,2027,density_merlin,1,r2,0.8169
12,2027,density_merlin,2,r2,0.1439
12,2027,density_merlin,mean,r2,0.5986
13,2027,density_merlin,0,r2,0.8186
13,2027,density_merlin,1,r2,0.8114
13,2027,density_merlin,2,r2,0.3708
13,2027,density_merlin,mean,r2,0.6669
14,2027,density_merlin,0,r2,0.8006
14,2027,density_merlin,1,r2,0.8246
14,2027,density_merlin,2,r2,0.4898
14,2027,density_merlin,mean,r2,0.705
15,2027,density_merlin,0,r2,0.8574
15,2027,density_merlin,1,r2,0.8434
15,2027,density_merlin,2,r2,0.5335
15,2027,density_merlin,mean,r2,0.7448
16,2027,density_merlin,0,r2,0.8639
16,2027,density_merlin,1,r2,0.8215
16,2027,density_merlin,2,r2,0.4976
16,2027,density_merlin,mean,r2,0.7277
17,2027,density_merlin,0,r2,0.8451
17,2027,density_merlin,1,r2,0.8407
17,2027,density_merlin,2,r2,0.5538
17,2027,density_merlin,mean,r2,0.7465
18,2027,density_merlin,0,r2,0.843
18,2027,density_merlin,1,r2,0.8309
18,2027,density_merlin,2,r2,0.5904
18,2027,density_merlin,mean,r2,0.7548
19,2027,density_merlin,0,r2,0.755
19,2027,density_merlin,1,r2,0.7907
19,2027,density_merlin,2,r2,0.5898
19,2027,density_merlin,mean,r2,0.7118
20,2027,density_merlin,0,r2,0.8486
20,2027,density_merlin,1,r2,0.8307
20,2027,density_merlin,2,r2,0.6217
20,2027,density_merlin,mean,r2,0.767
21,2027,density_merlin,0,r2,0.8504
21,2027,density_merlin,1,r2,0.7942
21,2027,density_merlin,2,r2,0.613
21,2027,density_merlin,mean,r2,0.7525
22,2027,density_merlin,0,r2,0.8501
22,2027,density_merlin,1,r2,0.8454
22,2027,density_merlin,2,r2,0.6312
22,2027,density_merlin,mean,r2,0.7756
23,2027,density_merlin,0,r2,0.8658
23,2027,density_merlin,1,r2,0.8494
23,2027,density_merlin,2,r2,0.6473
23,2027,density_merlin,mean,r2,0.7875
24,2027,density_merlin,0,r2,0.8677
24,2027,density_merlin,1,r2,0.8472
24,2027,density_merlin,2,r2,0.6312
24,2027,density_merlin,mean,r2,0.782
25,2027,density_merlin,0,r2,0.8739
25,2027,density_merlin,1,r2,0.8281
25,2027,density_merlin,2,r2,0.6576
25,2027,density_merlin,mean,r2,0.7865
26,2027,density_merlin,0,r2,0.8652
26,2027,density_merlin,1,r2,0.8041
26,2027,density_merlin,2,r2,0.6417
26,2027,density_merlin,mean,r2,0.7703
27,2027,density_merlin,0,r2,0.8657
27,2027,density_merlin,1,r2,0.8509
27,2027,density_merlin,2,r2,0.6279
27,2027,density_merlin,mean,r2,0.7815
28,2027,density_merlin,0,r2,0.8541
28,2027,density_merlin,1,r2,0.8291
28,2027,density_merlin,2,r2,0.6711
28,2027,density_merlin,mean,r2,0.7848
29,2027,density_merlin,0,r2,0.8696
29,2027,density_merlin,1,r2,0.8474
29,2027,density_merlin,2,r2,0.6661
29,2027,density_merlin,mean,r2,0.7944
30,2027,density_merlin,0,r2,0.8568
30,2027,density_merlin,1,r2,0.855
30,2027,density_merlin,2,r2,0.6627
30,2027,density_merlin,mean,r2,0.7915
31,2027,density_merlin,0,r2,0.8323
31,2027,density_merlin,1,r2,0.8562
31,2027,density_merlin,2,r2,0.671
31,2027,density_merlin,mean,r2,0.7865
32,2027,density_merlin,0,r2,0.8639
32,2027,density_merlin,1,r2,0.8068
32,2027,density_merlin,2,r2,0.6508
32,2027,density_merlin,mean,r2,0.7739
33,2027,density_merlin,0,r2,0.8608
33,2027,density_merlin,1,r2,0.8484
33,2027,density_merlin,2,r2,0.6773
33,2027,density_merlin,mean,r2,0.7955
34,2027,density_merlin,0,r2,0.8264
34,2027,density_merlin,1,r2,0.856
34,2027,density_merlin,2,r2,0.667
34,2027,density_merlin,mean,r2,0.7831
35,2027,density_merlin,0,r2,0.8705
35,2027,density_merlin,1,r2,0.859
35,2027,density_merlin,2,r2,0.6669
35,2027,density_merlin,mean,r2,0.7988
36,2027,density_merlin,0,r2,0.8535
36,2027,density_merlin,1,r2,0.8603
36,2027,density_merlin,2,r2,0.6706
36,2027,density_merlin,mean,r2,0.7948
37,2027,density_merlin,0,r2,0.863
37,2027,density_merlin,1,r2,0.8439
37,2027,density_merlin,2,r2,0.6766
37,2027,density_merlin,mean,r2,0.7945
38,2027,density_merlin,0,r2,0.8633
38,2027,density_merlin,1,r2,0.8607
38,2027,density_merlin,2,r2,0.6793
38,2027,density_merlin,mean,r2,0.8011
39,2027,density_merlin,0,r2,0.8524
39,2027,density_merlin,1,r2,0.8626
39,2027,density_merlin,2,r2,0.6842
39,2027,density_merlin,mean,r2,0.7997
40,2027,density_merlin,0,r2,0.8691
40,2027,density_merlin,1,r2,0.8631
40,2027,density_merlin,2,r2,0.6669
40,2027,density_merlin,mean,r2,0.7997
