epoch,seed,family,target,metric,score
1,2029,disease_merlin,submucosal_edema,auroc,0.7146
1,2029,disease_merlin,renal_hypodensities,auroc,0.6595
1,2029,disease_merlin,aortic_valve_calcification,auroc,0.8579
1,2029,disease_merlin,coronary_calcification,auroc,0.7588
1,2029,disease_merlin,thrombosis,auroc,0.4125
1,2029,disease_merlin,metastatic_disease,auroc,0.7669
1,2029,disease_merlin,pancreatic_atrophy,auroc,0.7424
1,2029,disease_merlin,renal_cyst,auroc,0.6589
1,2029,disease_merlin,osteopenia,auroc,0.8564
1,2029,disease_merlin,surgically_absent_gallbladder,auroc,0.6717
1,2029,disease_merlin,atelectasis,auroc,0.761
1,2029,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8054
1,2029,disease_merlin,anasarca,auroc,0.873
1,2029,disease_merlin,hiatal_hernia,auroc,0.7267
1,2029,disease_merlin,lymphadenopathy,auroc,0.4682
1,2029,disease_merlin,prostatomegaly,auroc,0.6554
1,2029,disease_merlin,biliary_ductal_dilation,auroc,0.6644
1,2029,disease_merlin,cardiomegaly,auroc,0.7712
1,2029,disease_merlin,splenomegaly,auroc,0.6727
1,2029,disease_merlin,hepatomegaly,auroc,0.657
1,2029,disease_merlin,atherosclerosis,auroc,0.7461
1,2029,disease_merlin,ascites,auroc,0.77
1,2029,disease_merlin,pleural_effusion,auroc,0.7844
1,2029,disease_merlin,hepatic_steatosis,auroc,0.3719
1,2029,disease_merlin,appendicitis,auroc,0.5896
1,2029,disease_merlin,gallstones,auroc,0.6329
1,2029,disease_merlin,hydronephrosis,auroc,0.5678
1,2029,disease_merlin,bowel_obstruction,auroc,0.5319
1,2029,disease_merlin,free_air,auroc,0.6873
1,2029,disease_merlin,fracture,auroc,0.6905
1,2029,disease_merlin,macro,auroc,0.6842
1,2029,disease_merlin,micro,auroc,0.7355
2,2029,disease_merlin,submucosal_edema,auroc,0.737
2,2029,disease_merlin,renal_hypodensities,auroc,0.668
2,2029,disease_merlin,aortic_valve_calcification,auroc,0.8855
2,2029,disease_merlin,coronary_calcification,auroc,0.7835
2,2029,disease_merlin,thrombosis,auroc,0.5391
2,2029,disease_merlin,metastatic_disease,auroc,0.7636
2,2029,disease_merlin,pancreatic_atrophy,auroc,0.7636
2,2029,disease_merlin,renal_cyst,auroc,0.6679
2,2029,disease_merlin,osteopenia,auroc,0.8876
2,2029,disease_merlin,surgically_absent_gallbladder,auroc,0.6821
2,2029,disease_merlin,atelectasis,auroc,0.7805
2,2029,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8609
2,2029,disease_merlin,anasarca,auroc,0.9286
2,2029,disease_merlin,hiatal_hernia,auroc,0.7565
2,2029,disease_merlin,lymphadenopathy,auroc,0.4988
2,2029,disease_merlin,prostatomegaly,auroc,0.6742
2,2029,disease_merlin,biliary_ductal_dilation,auroc,0.6777
2,2029,disease_merlin,cardiomegaly,auroc,0.8263
2,2029,disease_merlin,splenomegaly,auroc,0.7037
2,2029,disease_merlin,hepatomegaly,auroc,0.6779
2,2029,disease_merlin,atherosclerosis,auroc,0.7478
2,2029,disease_merlin,ascites,auroc,0.8154
2,2029,disease_merlin,pleural_effusion,auroc,0.8356
2,2029,disease_merlin,hepatic_steatosis,auroc,0.6275
2,2029,disease_merlin,appendicitis,auroc,0.6156
2,2029,disease_merlin,gallstones,auroc,0.6513
2,2029,disease_merlin,hydronephrosis,auroc,0.6441
2,2029,disease_merlin,bowel_obstruction,auroc,0.5648
2,2029,disease_merlin,free_air,auroc,0.7147
2,2029,disease_merlin,fracture,auroc,0.7195
2,2029,disease_merlin,macro,auroc,0.7233
2,2029,disease_merlin,micro,auroc,0.7488
3,2029,disease_merlin,submucosal_edema,auroc,0.7383
3,2029,disease_merlin,renal_hypodensities,auroc,0.6662
3,2029,disease_merlin,aortic_valve_calcification,auroc,0.8907
3,2029,disease_merlin,coronary_calcification,auroc,0.7881
3,2029,disease_merlin,thrombosis,auroc,0.512
3,2029,disease_merlin,metastatic_disease,auroc,0.7646
3,2029,disease_merlin,pancreatic_atrophy,auroc,0.7689
3,2029,disease_merlin,renal_cyst,auroc,0.673
3,2029,disease_merlin,osteopenia,auroc,0.8894
3,2029,disease_merlin,surgically_absent_gallbladder,auroc,0.6828
3,2029,disease_merlin,atelectasis,auroc,0.7812
3,2029,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8599
3,2029,disease_merlin,anasarca,auroc,0.9289
3,2029,disease_merlin,hiatal_hernia,auroc,0.7585
3,2029,disease_merlin,lymphadenopathy,auroc,0.4862
3,2029,disease_merlin,prostatomegaly,auroc,0.6892
3,2029,disease_merlin,biliary_ductal_dilation,auroc,0.6771
3,2029,disease_merlin,cardiomegaly,auroc,0.8257
3,2029,disease_merlin,splenomegaly,auroc,0.7031
3,2029,disease_merlin,hepatomegaly,auroc,0.6775
3,2029,disease_merlin,atherosclerosis,auroc,0.7574
3,2029,disease_merlin,ascites,auroc,0.8185
3,2029,disease_merlin,pleural_effusion,auroc,0.838
3,2029,disease_merlin,hepatic_steatosis,auroc,0.6786
3,2029,disease_merlin,appendicitis,auroc,0.6479
3,2029,disease_merlin,gallstones,auroc,0.6573
3,2029,disease_merlin,hydronephrosis,auroc,0.6405
3,2029,disease_merlin,bowel_obstruction,auroc,0.5768
3,2029,disease_merlin,free_air,auroc,0.725
3,2029,disease_merlin,fracture,auroc,0.7277
3,2029,disease_merlin,macro,auroc,0.7276
3,2029,disease_merlin,micro,auroc,0.7462
4,2029,disease_merlin,submucosal_edema,auroc,0.7401
4,2029,disease_merlin,renal_hypodensities,auroc,0.6676
4,2029,disease_merlin,aortic_valve_calcification,auroc,0.8874
4,2029,disease_merlin,coronary_calcification,auroc,0.7935
4,2029,disease_merlin,thrombosis,auroc,0.5277
4,2029,disease_merlin,metastatic_disease,auroc,0.7581
4,2029,disease_merlin,pancreatic_atrophy,auroc,0.7758
4,2029,disease_merlin,renal_cyst,auroc,0.6789
4,2029,disease_merlin,osteopenia,auroc,0.8925
4,2029,disease_merlin,surgically_absent_gallbladder,auroc,0.6812
4,2029,disease_merlin,atelectasis,auroc,0.7826
4,2029,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8639
4,2029,disease_merlin,anasarca,auroc,0.929
4,2029,disease_merlin,hiatal_hernia,auroc,0.7574
4,2029,disease_merlin,lymphadenopathy,auroc,0.4897
4,2029,disease_merlin,prostatomegaly,auroc,0.6975
4,2029,disease_merlin,biliary_ductal_dilation,auroc,0.6804
4,2029,disease_merlin,cardiomegaly,auroc,0.8251
4,2029,disease_merlin,splenomegaly,auroc,0.7066
4,2029,disease_merlin,hepatomegaly,auroc,0.6765
4,2029,disease_merlin,atherosclerosis,auroc,0.7661
4,2029,disease_merlin,ascites,auroc,0.8323
4,2029,disease_merlin,pleural_effusion,auroc,0.8416
4,2029,disease_merlin,hepatic_steatosis,auroc,0.6629
4,2029,disease_merlin,appendicitis,auroc,0.6206
4,2029,disease_merlin,gallstones,auroc,0.6637
4,2029,disease_merlin,hydronephrosis,auroc,0.6587
4,2029,disease_merlin,bowel_obstruction,auroc,0.5841
4,2029,disease_merlin,free_air,auroc,0.7292
4,2029,disease_merlin,fracture,auroc,0.7257
4,2029,disease_merlin,macro,auroc,0.7299
4,2029,disease_merlin,micro,auroc,0.7575
5,2029,disease_merlin,submucosal_edema,auroc,0.7412
5,2029,disease_merlin,renal_hypodensities,auroc,0.6717
5,2029,disease_merlin,aortic_valve_calcification,auroc,0.8928
5,2029,disease_merlin,coronary_calcification,auroc,0.7952
5,2029,disease_merlin,thrombosis,auroc,0.5478
5,2029,disease_merlin,metastatic_disease,auroc,0.75
5,2029,disease_merlin,pancreatic_atrophy,auroc,0.7838
5,2029,disease_merlin,renal_cyst,auroc,0.6874
5,2029,disease_merlin,osteopenia,auroc,0.8928
5,2029,disease_merlin,surgically_absent_gallbladder,auroc,0.6869
5,2029,disease_merlin,atelectasis,auroc,0.7892
5,2029,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8599
5,2029,disease_merlin,anasarca,auroc,0.9397
5,2029,disease_merlin,hiatal_hernia,auroc,0.7651
5,2029,disease_merlin,lymphadenopathy,auroc,0.5058
5,2029,disease_merlin,prostatomegaly,auroc,0.707
