epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.5174
1,2026,location,1,r2,0.2988
1,2026,location,2,r2,0.4211
1,2026,location,mean,r2,0.4124
2,2026,location,0,r2,0.595
2,2026,location,1,r2,0.4749
2,2026,location,2,r2,0.4467
2,2026,location,mean,r2,0.5055
3,2026,location,0,r2,0.6197
3,2026,location,1,r2,0.5368
3,2026,location,2,r2,0.4753
3,2026,location,mean,r2,0.5439
4,2026,location,0,r2,0.6877
4,2026,location,1,r2,0.5986
4,2026,location,2,r2,0.4903
4,2026,location,mean,r2,0.5922
5,2026,location,0,r2,0.6973
5,2026,location,1,r2,0.6372
5,2026,location,2,r2,0.5026
5,2026,location,mean,r2,0.6124
6,2026,location,0,r2,0.7032
6,2026,location,1,r2,0.6491
6,2026,location,2,r2,0.5169
6,2026,location,mean,r2,0.6231
7,2026,location,0,r2,0.699
7,2026,location,1,r2,0.651
7,2026,location,2,r2,0.5534
7,2026,location,mean,r2,0.6345
8,2026,location,0,r2,0.7182
8,2026,location,1,r2,0.6598
8,2026,location,2,r2,0.5834
8,2026,location,mean,r2,0.6538
9,2026,location,0,r2,0.7366
9,2026,location,1,r2,0.691
9,2026,location,2,r2,0.5964
9,2026,location,mean,r2,0.6747
10,2026,location,0,r2,0.727
10,2026,location,1,r2,0.6916
10,2026,location,2,r2,0.6003
10,2026,location,mean,r2,0.673
1,2027,location,0,r2,0.3835
1,2027,location,1,r2,0.3088
1,2027,location,2,r2,0.3962
1,2027,location,mean,r2,0.3628
2,2027,location,0,r2,0.5441
2,2027,location,1,r2,0.4197
2,2027,location,2,r2,0.4072
2,2027,location,mean,r2,0.457
3,2027,location,0,r2,0.6238
3,2027,location,1,r2,0.4824
3,2027,location,2,r2,0.4548
3,2027,location,mean,r2,0.5204
4,2027,location,0,r2,0.6394
4,2027,location,1,r2,0.493
4,2027,location,2,r2,0.4877
4,2027,location,mean,r2,0.54
5,2027,location,0,r2,0.6857
5,2027,location,1,r2,0.5915
5,2027,location,2,r2,0.5023
5,2027,location,mean,r2,0.5932
6,2027,location,0,r2,0.6928
6,2027,location,1,r2,0.6145
6,2027,location,2,r2,0.5156
6,2027,location,mean,r2,0.6076
7,2027,location,0,r2,0.7051
7,2027,location,1,r2,0.5936
7,2027,location,2,r2,0.5923
7,2027,location,mean,r2,0.6304
8,2027,location,0,r2,0.6975
8,2027,location,1,r2,0.6547
8,2027,location,2,r2,0.6106
8,2027,location,mean,r2,0.6543
9,2027,location,0,r2,0.7128
9,2027,location,1,r2,0.6604
9,2027,location,2,r2,0.6243
9,2027,location,mean,r2,0.6658
10,2027,location,0,r2,0.7211
10,2027,location,1,r2,0.6664
10,2027,location,2,r2,0.6126
10,2027,location,mean,r2,0.6667
1,2028,location,0,r2,0.4707
1,2028,location,1,r2,0.3461
1,2028,location,2,r2,0.43
1,2028,location,mean,r2,0.4156
2,2028,location,0,r2,0.6038
2,2028,location,1,r2,0.4752
2,2028,location,2,r2,0.4621
2,2028,location,mean,r2,0.5137
3,2028,location,0,r2,0.672
3,2028,location,1,r2,0.5669
3,2028,location,2,r2,0.502
3,2028,location,mean,r2,0.5803
4,2028,location,0,r2,0.6933
4,2028,location,1,r2,0.6176
4,2028,location,2,r2,0.5172
4,2028,location,mean,r2,0.6094
5,2028,location,0,r2,0.7163
5,2028,location,1,r2,0.6573
5,2028,location,2,r2,0.5364
5,2028,location,mean,r2,0.6367
6,2028,location,0,r2,0.6851
6,2028,location,1,r2,0.6642
6,2028,location,2,r2,0.5869
6,2028,location,mean,r2,0.6454
7,2028,location,0,r2,0.7352
7,2028,location,1,r2,0.712
7,2028,location,2,r2,0.6
7,2028,location,mean,r2,0.6824
8,2028,location,0,r2,0.7267
8,2028,location,1,r2,0.6807
8,2028,location,2,r2,0.6081
8,2028,location,mean,r2,0.6719
9,2028,location,0,r2,0.7525
9,2028,location,1,r2,0.7063
9,2028,location,2,r2,0.6114
9,2028,location,mean,r2,0.6901
10,2028,location,0,r2,0.7561
10,2028,location,1,r2,0.7036
10,2028,location,2,r2,0.6135
10,2028,location,mean,r2,0.6911
