epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.9085
1,2026,radiomics,1,r2,0.293
1,2026,radiomics,2,r2,0.8604
1,2026,radiomics,mean,r2,0.6873
2,2026,radiomics,0,r2,0.8964
2,2026,radiomics,1,r2,0.3793
2,2026,radiomics,2,r2,0.8636
2,2026,radiomics,mean,r2,0.7131
3,2026,radiomics,0,r2,0.9277
3,2026,radiomics,1,r2,0.4297
3,2026,radiomics,2,r2,0.8688
3,2026,radiomics,mean,r2,0.7421
4,2026,radiomics,0,r2,0.9231
4,2026,radiomics,1,r2,0.5297
4,2026,radiomics,2,r2,0.8816
4,2026,radiomics,mean,r2,0.7781
5,2026,radiomics,0,r2,0.9323
5,2026,radiomics,1,r2,0.5294
5,2026,radiomics,2,r2,0.9056
5,2026,radiomics,mean,r2,0.7891
6,2026,radiomics,0,r2,0.9281
6,2026,radiomics,1,r2,0.4738
6,2026,radiomics,2,r2,0.9002
6,2026,radiomics,mean,r2,0.7674
7,2026,radiomics,0,r2,0.9326
7,2026,radiomics,1,r2,0.5161
7,2026,radiomics,2,r2,0.9034
7,2026,radiomics,mean,r2,0.784
8,2026,radiomics,0,r2,0.9348
8,2026,radiomics,1,r2,0.563
8,2026,radiomics,2,r2,0.9007
8,2026,radiomics,mean,r2,0.7995
9,2026,radiomics,0,r2,0.9315
9,2026,radiomics,1,r2,0.5851
9,2026,radiomics,2,r2,0.9102
9,2026,radiomics,mean,r2,0.8089
10,2026,radiomics,0,r2,0.9236
10,2026,radiomics,1,r2,0.6085
10,2026,radiomics,2,r2,0.9163
10,2026,radiomics,mean,r2,0.8162
1,2027,radiomics,0,r2,0.9067
1,2027,radiomics,1,r2,0.2346
1,2027,radiomics,2,r2,0.837
1,2027,radiomics,mean,r2,0.6594
2,2027,radiomics,0,r2,0.9187
2,2027,radiomics,1,r2,0.3552
2,2027,radiomics,2,r2,0.8819
2,2027,radiomics,mean,r2,0.7186
3,2027,radiomics,0,r2,0.9195
3,2027,radiomics,1,r2,0.4206
3,2027,radiomics,2,r2,0.8989
3,2027,radiomics,mean,r2,0.7463
4,2027,radiomics,0,r2,0.9311
4,2027,radiomics,1,r2,0.4864
4,2027,radiomics,2,r2,0.8908
4,2027,radiomics,mean,r2,0.7694
5,2027,radiomics,0,r2,0.9326
5,2027,radiomics,1,r2,0.5563
5,2027,radiomics,2,r2,0.9018
5,2027,radiomics,mean,r2,0.7969
6,2027,radiomics,0,r2,0.9301
6,2027,radiomics,1,r2,0.5561
6,2027,radiomics,2,r2,0.9089
6,2027,radiomics,mean,r2,0.7984
7,2027,radiomics,0,r2,0.9302
7,2027,radiomics,1,r2,0.4693
7,2027,radiomics,2,r2,0.9137
7,2027,radiomics,mean,r2,0.771
8,2027,radiomics,0,r2,0.9323
8,2027,radiomics,1,r2,0.4759
8,2027,radiomics,2,r2,0.9031
8,2027,radiomics,mean,r2,0.7704
9,2027,radiomics,0,r2,0.9353
9,2027,radiomics,1,r2,0.47
9,2027,radiomics,2,r2,0.9086
9,2027,radiomics,mean,r2,0.7713
10,2027,radiomics,0,r2,0.9341
10,2027,radiomics,1,r2,0.5972
10,2027,radiomics,2,r2,0.9118
10,2027,radiomics,mean,r2,0.8144
1,2028,radiomics,0,r2,0.8944
1,2028,radiomics,1,r2,0.2231
1,2028,radiomics,2,r2,0.8682
1,2028,radiomics,mean,r2,0.6619
2,2028,radiomics,0,r2,0.9169
2,2028,radiomics,1,r2,0.3722
2,2028,radiomics,2,r2,0.8887
2,2028,radiomics,mean,r2,0.7259
3,2028,radiomics,0,r2,0.9222
3,2028,radiomics,1,r2,0.4797
3,2028,radiomics,2,r2,0.8983
3,2028,radiomics,mean,r2,0.7667
4,2028,radiomics,0,r2,0.9157
4,2028,radiomics,1,r2,0.4949
4,2028,radiomics,2,r2,0.9044
4,2028,radiomics,mean,r2,0.7717
5,2028,radiomics,0,r2,0.9322
5,2028,radiomics,1,r2,0.5593
5,2028,radiomics,2,r2,0.9059
5,2028,radiomics,mean,r2,0.7991
6,2028,radiomics,0,r2,0.931
6,2028,radiomics,1,r2,0.5643
6,2028,radiomics,2,r2,0.9084
6,2028,radiomics,mean,r2,0.8013
7,2028,radiomics,0,r2,0.9313
7,2028,radiomics,1,r2,0.4583
7,2028,radiomics,2,r2,0.9132
7,2028,radiomics,mean,r2,0.7676
8,2028,radiomics,0,r2,0.928
8,2028,radiomics,1,r2,0.598
8,2028,radiomics,2,r2,0.9123
8,2028,radiomics,mean,r2,0.8128
9,2028,radiomics,0,r2,0.9326
9,2028,radiomics,1,r2,0.5453
9,2028,radiomics,2,r2,0.9141
9,2028,radiomics,mean,r2,0.7973
10,2028,radiomics,0,r2,0.9371
10,2028,radiomics,1,r2,0.5954
10,2028,radiomics,2,r2,0.9166
10,2028,radiomics,mean,r2,0.8164
