epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8629
1,2026,size,1,r2,0.552
1,2026,size,2,r2,0.5252
1,2026,size,3,r2,0.6306
1,2026,size,4,r2,0.719
1,2026,size,mean,r2,0.6579
2,2026,size,0,r2,0.8796
2,2026,size,1,r2,0.5955
2,2026,size,2,r2,0.5404
2,2026,size,3,r2,0.6401
2,2026,size,4,r2,0.7674
2,2026,size,mean,r2,0.6846
3,2026,size,0,r2,0.887
3,2026,size,1,r2,0.5971
3,2026,size,2,r2,0.5326
3,2026,size,3,r2,0.6582
3,2026,size,4,r2,0.7828
3,2026,size,mean,r2,0.6915
4,2026,size,0,r2,0.894
4,2026,size,1,r2,0.6083
4,2026,size,2,r2,0.5548
4,2026,size,3,r2,0.669
4,2026,size,4,r2,0.7831
4,2026,size,mean,r2,0.7018
5,2026,size,0,r2,0.8943
5,2026,size,1,r2,0.6433
5,2026,size,2,r2,0.5556
5,2026,size,3,r2,0.6575
5,2026,size,4,r2,0.8084
5,2026,size,mean,r2,0.7118
6,2026,size,0,r2,0.899
6,2026,size,1,r2,0.6288
6,2026,size,2,r2,0.5482
6,2026,size,3,r2,0.6593
6,2026,size,4,r2,0.8233
6,2026,size,mean,r2,0.7117
7,2026,size,0,r2,0.8868
7,2026,size,1,r2,0.615
7,2026,size,2,r2,0.5435
7,2026,size,3,r2,0.6708
7,2026,size,4,r2,0.8183
7,2026,size,mean,r2,0.7069
8,2026,size,0,r2,0.8885
8,2026,size,1,r2,0.6415
8,2026,size,2,r2,0.5619
8,2026,size,3,r2,0.6612
8,2026,size,4,r2,0.8225
8,2026,size,mean,r2,0.7151
9,2026,size,0,r2,0.8994
9,2026,size,1,r2,0.6611
9,2026,size,2,r2,0.5684
9,2026,size,3,r2,0.6768
9,2026,size,4,r2,0.8226
9,2026,size,mean,r2,0.7257
10,2026,size,0,r2,0.9044
10,2026,size,1,r2,0.6675
10,2026,size,2,r2,0.5787
10,2026,size,3,r2,0.6862
10,2026,size,4,r2,0.8269
10,2026,size,mean,r2,0.7327
1,2027,size,0,r2,0.8711
1,2027,size,1,r2,0.5469
1,2027,size,2,r2,0.4609
1,2027,size,3,r2,0.6388
1,2027,size,4,r2,0.7412
1,2027,size,mean,r2,0.6518
2,2027,size,0,r2,0.875
2,2027,size,1,r2,0.5901
2,2027,size,2,r2,0.5083
2,2027,size,3,r2,0.6556
2,2027,size,4,r2,0.7802
2,2027,size,mean,r2,0.6818
3,2027,size,0,r2,0.8959
3,2027,size,1,r2,0.6095
3,2027,size,2,r2,0.5322
3,2027,size,3,r2,0.6611
3,2027,size,4,r2,0.7915
3,2027,size,mean,r2,0.6981
4,2027,size,0,r2,0.8841
4,2027,size,1,r2,0.6105
4,2027,size,2,r2,0.5312
4,2027,size,3,r2,0.6614
4,2027,size,4,r2,0.8066
4,2027,size,mean,r2,0.6988
5,2027,size,0,r2,0.8917
5,2027,size,1,r2,0.6278
5,2027,size,2,r2,0.554
5,2027,size,3,r2,0.6658
5,2027,size,4,r2,0.8086
5,2027,size,mean,r2,0.7096
6,2027,size,0,r2,0.8935
6,2027,size,1,r2,0.6324
6,2027,size,2,r2,0.5543
6,2027,size,3,r2,0.6675
6,2027,size,4,r2,0.8121
6,2027,size,mean,r2,0.712
7,2027,size,0,r2,0.8919
7,2027,size,1,r2,0.6243
7,2027,size,2,r2,0.5471
7,2027,size,3,r2,0.6617
7,2027,size,4,r2,0.8146
7,2027,size,mean,r2,0.7079
8,2027,size,0,r2,0.9041
8,2027,size,1,r2,0.6296
8,2027,size,2,r2,0.5468
8,2027,size,3,r2,0.6552
8,2027,size,4,r2,0.8254
8,2027,size,mean,r2,0.7122
9,2027,size,0,r2,0.8979
9,2027,size,1,r2,0.6343
9,2027,size,2,r2,0.5501
9,2027,size,3,r2,0.6747
9,2027,size,4,r2,0.8225
9,2027,size,mean,r2,0.7159
10,2027,size,0,r2,0.8932
10,2027,size,1,r2,0.6368
10,2027,size,2,r2,0.5456
10,2027,size,3,r2,0.6758
10,2027,size,4,r2,0.8188
10,2027,size,mean,r2,0.714
1,2028,size,0,r2,0.8318
1,2028,size,1,r2,0.5545
1,2028,size,2,r2,0.5041
1,2028,size,3,r2,0.628
1,2028,size,4,r2,0.7375
1,2028,size,mean,r2,0.6512
2,2028,size,0,r2,0.8792
2,2028,size,1,r2,0.5987
2,2028,size,2,r2,0.4732
2,2028,size,3,r2,0.6572
2,2028,size,4,r2,0.7482
2,2028,size,mean,r2,0.6713
3,2028,size,0,r2,0.884
3,2028,size,1,r2,0.5917
3,2028,size,2,r2,0.5246
3,2028,size,3,r2,0.6491
3,2028,size,4,r2,0.7761
3,2028,size,mean,r2,0.6851
4,2028,size,0,r2,0.8837
4,2028,size,1,r2,0.6141
4,2028,size,2,r2,0.5445
4,2028,size,3,r2,0.6595
4,2028,size,4,r2,0.7813
4,2028,size,mean,r2,0.6966
5,2028,size,0,r2,0.8865
5,2028,size,1,r2,0.6247
5,2028,size,2,r2,0.5493
5,2028,size,3,r2,0.6433
5,2028,size,4,r2,0.7843
5,2028,size,mean,r2,0.6976
6,2028,size,0,r2,0.8882
6,2028,size,1,r2,0.621
6,2028,size,2,r2,0.5551
6,2028,size,3,r2,0.6676
6,2028,size,4,r2,0.7973
6,2028,size,mean,r2,0.7059
7,2028,size,0,r2,0.9001
7,2028,size,1,r2,0.624
7,2028,size,2,r2,0.5384
7,2028,size,3,r2,0.6473
7,2028,size,4,r2,0.8147
7,2028,size,mean,r2,0.7049
8,2028,size,0,r2,0.8913
8,2028,size,1,r2,0.6412
8,2028,size,2,r2,0.5514
8,2028,size,3,r2,0.6631
8,2028,size,4,r2,0.8106
8,2028,size,mean,r2,0.7115
9,2028,size,0,r2,0.9007
9,2028,size,1,r2,0.6521
9,2028,size,2,r2,0.548
9,2028,size,3,r2,0.6673
9,2028,size,4,r2,0.8202
9,2028,size,mean,r2,0.7177
10,2028,size,0,r2,0.8749
10,2028,size,1,r2,0.6425
10,2028,size,2,r2,0.5502
10,2028,size,3,r2,0.6645
10,2028,size,4,r2,0.807
10,2028,size,mean,r2,0.7078
