epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.7895
1,2026,density,1,r2,0.6193
1,2026,density,2,r2,0.9281
1,2026,density,3,r2,0.9013
1,2026,density,mean,r2,0.8095
2,2026,density,0,r2,0.8154
2,2026,density,1,r2,0.7284
2,2026,density,2,r2,0.9245
2,2026,density,3,r2,0.9095
2,2026,density,mean,r2,0.8445
3,2026,density,0,r2,0.8149
3,2026,density,1,r2,0.7841
3,2026,density,2,r2,0.937
3,2026,density,3,r2,0.9191
3,2026,density,mean,r2,0.8638
4,2026,density,0,r2,0.8075
4,2026,density,1,r2,0.7514
4,2026,density,2,r2,0.9455
4,2026,density,3,r2,0.9106
4,2026,density,mean,r2,0.8537
5,2026,density,0,r2,0.8307
5,2026,density,1,r2,0.8317
5,2026,density,2,r2,0.9442
5,2026,density,3,r2,0.9263
5,2026,density,mean,r2,0.8832
6,2026,density,0,r2,0.827
6,2026,density,1,r2,0.8647
6,2026,density,2,r2,0.9566
6,2026,density,3,r2,0.9285
6,2026,density,mean,r2,0.8942
7,2026,density,0,r2,0.8368
7,2026,density,1,r2,0.8682
7,2026,density,2,r2,0.9482
7,2026,density,3,r2,0.9295
7,2026,density,mean,r2,0.8957
8,2026,density,0,r2,0.8342
8,2026,density,1,r2,0.8642
8,2026,density,2,r2,0.9583
8,2026,density,3,r2,0.9315
8,2026,density,mean,r2,0.8971
9,2026,density,0,r2,0.8374
9,2026,density,1,r2,0.885
9,2026,density,2,r2,0.9546
9,2026,density,3,r2,0.9336
9,2026,density,mean,r2,0.9027
10,2026,density,0,r2,0.8339
10,2026,density,1,r2,0.8676
10,2026,density,2,r2,0.9566
10,2026,density,3,r2,0.9363
10,2026,density,mean,r2,0.8986
1,2027,density,0,r2,0.7991
1,2027,density,1,r2,0.5881
1,2027,density,2,r2,0.9223
1,2027,density,3,r2,0.9008
1,2027,density,mean,r2,0.8026
2,2027,density,0,r2,0.8043
2,2027,density,1,r2,0.6981
2,2027,density,2,r2,0.9288
2,2027,density,3,r2,0.92
2,2027,density,mean,r2,0.8378
3,2027,density,0,r2,0.8137
3,2027,density,1,r2,0.7473
3,2027,density,2,r2,0.9383
3,2027,density,3,r2,0.9214
3,2027,density,mean,r2,0.8551
4,2027,density,0,r2,0.8163
4,2027,density,1,r2,0.7969
4,2027,density,2,r2,0.9448
4,2027,density,3,r2,0.9234
4,2027,density,mean,r2,0.8704
5,2027,density,0,r2,0.8237
5,2027,density,1,r2,0.8396
5,2027,density,2,r2,0.9415
5,2027,density,3,r2,0.9196
5,2027,density,mean,r2,0.8811
6,2027,density,0,r2,0.8294
6,2027,density,1,r2,0.8334
6,2027,density,2,r2,0.9527
6,2027,density,3,r2,0.9331
6,2027,density,mean,r2,0.8871
7,2027,density,0,r2,0.8265
7,2027,density,1,r2,0.8501
7,2027,density,2,r2,0.9551
7,2027,density,3,r2,0.9282
7,2027,density,mean,r2,0.89
8,2027,density,0,r2,0.8303
8,2027,density,1,r2,0.861
8,2027,density,2,r2,0.9557
8,2027,density,3,r2,0.9378
8,2027,density,mean,r2,0.8962
9,2027,density,0,r2,0.8172
9,2027,density,1,r2,0.8476
9,2027,density,2,r2,0.947
9,2027,density,3,r2,0.9325
9,2027,density,mean,r2,0.8861
10,2027,density,0,r2,0.8392
10,2027,density,1,r2,0.8588
10,2027,density,2,r2,0.9565
10,2027,density,3,r2,0.9322
10,2027,density,mean,r2,0.8967
1,2028,density,0,r2,0.7887
1,2028,density,1,r2,0.5901
1,2028,density,2,r2,0.9271
1,2028,density,3,r2,0.9006
1,2028,density,mean,r2,0.8016
2,2028,density,0,r2,0.8017
2,2028,density,1,r2,0.7207
2,2028,density,2,r2,0.933
2,2028,density,3,r2,0.9083
2,2028,density,mean,r2,0.8409
3,2028,density,0,r2,0.8163
3,2028,density,1,r2,0.7395
3,2028,density,2,r2,0.9418
3,2028,density,3,r2,0.9207
3,2028,density,mean,r2,0.8546
4,2028,density,0,r2,0.815
4,2028,density,1,r2,0.7666
4,2028,density,2,r2,0.9498
4,2028,density,3,r2,0.926
4,2028,density,mean,r2,0.8643
5,2028,density,0,r2,0.826
5,2028,density,1,r2,0.7908
5,2028,density,2,r2,0.9441
5,2028,density,3,r2,0.9288
5,2028,density,mean,r2,0.8724
6,2028,density,0,r2,0.8268
6,2028,density,1,r2,0.8073
6,2028,density,2,r2,0.9541
6,2028,density,3,r2,0.9292
6,2028,density,mean,r2,0.8794
7,2028,density,0,r2,0.8115
7,2028,density,1,r2,0.83
7,2028,density,2,r2,0.9541
7,2028,density,3,r2,0.9337
7,2028,density,mean,r2,0.8823
8,2028,density,0,r2,0.8285
8,2028,density,1,r2,0.8306
8,2028,density,2,r2,0.9564
8,2028,density,3,r2,0.9322
8,2028,density,mean,r2,0.8869
9,2028,density,0,r2,0.8309
9,2028,density,1,r2,0.8446
9,2028,density,2,r2,0.9597
9,2028,density,3,r2,0.9346
9,2028,density,mean,r2,0.8924
10,2028,density,0,r2,0.8338
10,2028,density,1,r2,0.8429
10,2028,density,2,r2,0.9523
10,2028,density,3,r2,0.9364
10,2028,density,mean,r2,0.8914
