epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.8165
1,2026,density,1,r2,0.6798
1,2026,density,2,r2,0.9185
1,2026,density,3,r2,0.8928
1,2026,density,mean,r2,0.8269
2,2026,density,0,r2,0.8393
2,2026,density,1,r2,0.771
2,2026,density,2,r2,0.923
2,2026,density,3,r2,0.9091
2,2026,density,mean,r2,0.8606
3,2026,density,0,r2,0.8446
3,2026,density,1,r2,0.7923
3,2026,density,2,r2,0.9343
3,2026,density,3,r2,0.9233
3,2026,density,mean,r2,0.8736
4,2026,density,0,r2,0.8311
4,2026,density,1,r2,0.8586
4,2026,density,2,r2,0.9475
4,2026,density,3,r2,0.9281
4,2026,density,mean,r2,0.8913
5,2026,density,0,r2,0.8593
5,2026,density,1,r2,0.8611
5,2026,density,2,r2,0.9598
5,2026,density,3,r2,0.9344
5,2026,density,mean,r2,0.9037
6,2026,density,0,r2,0.8429
6,2026,density,1,r2,0.8747
6,2026,density,2,r2,0.9564
6,2026,density,3,r2,0.9335
6,2026,density,mean,r2,0.9019
7,2026,density,0,r2,0.8563
7,2026,density,1,r2,0.8815
7,2026,density,2,r2,0.953
7,2026,density,3,r2,0.9332
7,2026,density,mean,r2,0.906
8,2026,density,0,r2,0.8497
8,2026,density,1,r2,0.8858
8,2026,density,2,r2,0.9597
8,2026,density,3,r2,0.9366
8,2026,density,mean,r2,0.9079
9,2026,density,0,r2,0.8629
9,2026,density,1,r2,0.8591
9,2026,density,2,r2,0.9617
9,2026,density,3,r2,0.9304
9,2026,density,mean,r2,0.9035
10,2026,density,0,r2,0.8576
10,2026,density,1,r2,0.893
10,2026,density,2,r2,0.9627
10,2026,density,3,r2,0.9359
10,2026,density,mean,r2,0.9123
1,2027,density,0,r2,0.8119
1,2027,density,1,r2,0.6248
1,2027,density,2,r2,0.929
1,2027,density,3,r2,0.903
1,2027,density,mean,r2,0.8172
2,2027,density,0,r2,0.8261
2,2027,density,1,r2,0.7816
2,2027,density,2,r2,0.9347
2,2027,density,3,r2,0.9201
2,2027,density,mean,r2,0.8656
3,2027,density,0,r2,0.8361
3,2027,density,1,r2,0.8144
3,2027,density,2,r2,0.9496
3,2027,density,3,r2,0.9285
3,2027,density,mean,r2,0.8821
4,2027,density,0,r2,0.839
4,2027,density,1,r2,0.8461
4,2027,density,2,r2,0.9554
4,2027,density,3,r2,0.9309
4,2027,density,mean,r2,0.8929
5,2027,density,0,r2,0.8525
5,2027,density,1,r2,0.8488
5,2027,density,2,r2,0.9581
5,2027,density,3,r2,0.9272
5,2027,density,mean,r2,0.8966
6,2027,density,0,r2,0.8572
6,2027,density,1,r2,0.8614
6,2027,density,2,r2,0.9548
6,2027,density,3,r2,0.9334
6,2027,density,mean,r2,0.9017
7,2027,density,0,r2,0.8518
7,2027,density,1,r2,0.8414
7,2027,density,2,r2,0.9568
7,2027,density,3,r2,0.9338
7,2027,density,mean,r2,0.8959
8,2027,density,0,r2,0.8529
8,2027,density,1,r2,0.8622
8,2027,density,2,r2,0.9599
8,2027,density,3,r2,0.9394
8,2027,density,mean,r2,0.9036
9,2027,density,0,r2,0.8379
9,2027,density,1,r2,0.8894
9,2027,density,2,r2,0.9589
9,2027,density,3,r2,0.9341
9,2027,density,mean,r2,0.9051
10,2027,density,0,r2,0.8664
10,2027,density,1,r2,0.847
10,2027,density,2,r2,0.9638
10,2027,density,3,r2,0.94
10,2027,density,mean,r2,0.9043
1,2028,density,0,r2,0.8069
1,2028,density,1,r2,0.6426
1,2028,density,2,r2,0.9343
1,2028,density,3,r2,0.9082
1,2028,density,mean,r2,0.823
2,2028,density,0,r2,0.83
2,2028,density,1,r2,0.803
2,2028,density,2,r2,0.9436
2,2028,density,3,r2,0.918
2,2028,density,mean,r2,0.8737
3,2028,density,0,r2,0.841
3,2028,density,1,r2,0.8148
3,2028,density,2,r2,0.9499
3,2028,density,3,r2,0.919
3,2028,density,mean,r2,0.8812
4,2028,density,0,r2,0.848
4,2028,density,1,r2,0.8639
4,2028,density,2,r2,0.9487
4,2028,density,3,r2,0.9272
4,2028,density,mean,r2,0.897
5,2028,density,0,r2,0.8576
5,2028,density,1,r2,0.8588
5,2028,density,2,r2,0.9571
5,2028,density,3,r2,0.9364
5,2028,density,mean,r2,0.9025
6,2028,density,0,r2,0.8516
6,2028,density,1,r2,0.8797
6,2028,density,2,r2,0.9622
6,2028,density,3,r2,0.9372
6,2028,density,mean,r2,0.9077
7,2028,density,0,r2,0.8571
7,2028,density,1,r2,0.8921
7,2028,density,2,r2,0.962
7,2028,density,3,r2,0.9386
7,2028,density,mean,r2,0.9124
8,2028,density,0,r2,0.8536
8,2028,density,1,r2,0.8745
8,2028,density,2,r2,0.96
8,2028,density,3,r2,0.9295
8,2028,density,mean,r2,0.9044
9,2028,density,0,r2,0.8646
9,2028,density,1,r2,0.8916
9,2028,density,2,r2,0.9498
9,2028,density,3,r2,0.9341
9,2028,density,mean,r2,0.91
10,2028,density,0,r2,0.8604
10,2028,density,1,r2,0.8981
10,2028,density,2,r2,0.9515
10,2028,density,3,r2,0.9379
10,2028,density,mean,r2,0.912
