epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.5464
1,2026,location,1,r2,0.3347
1,2026,location,2,r2,0.4202
1,2026,location,mean,r2,0.4338
2,2026,location,0,r2,0.6074
2,2026,location,1,r2,0.5141
2,2026,location,2,r2,0.4523
2,2026,location,mean,r2,0.5246
3,2026,location,0,r2,0.625
3,2026,location,1,r2,0.576
3,2026,location,2,r2,0.4841
3,2026,location,mean,r2,0.5617
4,2026,location,0,r2,0.6588
4,2026,location,1,r2,0.6115
4,2026,location,2,r2,0.5023
4,2026,location,mean,r2,0.5909
5,2026,location,0,r2,0.704
5,2026,location,1,r2,0.6522
5,2026,location,2,r2,0.4815
5,2026,location,mean,r2,0.6126
6,2026,location,0,r2,0.7129
6,2026,location,1,r2,0.6869
6,2026,location,2,r2,0.4922
6,2026,location,mean,r2,0.6307
7,2026,location,0,r2,0.7191
7,2026,location,1,r2,0.6741
7,2026,location,2,r2,0.5188
7,2026,location,mean,r2,0.6373
8,2026,location,0,r2,0.7064
8,2026,location,1,r2,0.6846
8,2026,location,2,r2,0.5579
8,2026,location,mean,r2,0.6496
9,2026,location,0,r2,0.733
9,2026,location,1,r2,0.7091
9,2026,location,2,r2,0.5869
9,2026,location,mean,r2,0.6763
10,2026,location,0,r2,0.7286
10,2026,location,1,r2,0.7085
10,2026,location,2,r2,0.5954
10,2026,location,mean,r2,0.6775
1,2027,location,0,r2,0.44
1,2027,location,1,r2,0.2534
1,2027,location,2,r2,0.3998
1,2027,location,mean,r2,0.3644
2,2027,location,0,r2,0.6244
2,2027,location,1,r2,0.5104
2,2027,location,2,r2,0.4389
2,2027,location,mean,r2,0.5246
3,2027,location,0,r2,0.6482
3,2027,location,1,r2,0.5663
3,2027,location,2,r2,0.4827
3,2027,location,mean,r2,0.5657
4,2027,location,0,r2,0.6945
4,2027,location,1,r2,0.6438
4,2027,location,2,r2,0.5305
4,2027,location,mean,r2,0.6229
5,2027,location,0,r2,0.7085
5,2027,location,1,r2,0.6757
5,2027,location,2,r2,0.6101
5,2027,location,mean,r2,0.6648
6,2027,location,0,r2,0.7388
6,2027,location,1,r2,0.6853
6,2027,location,2,r2,0.5963
6,2027,location,mean,r2,0.6734
7,2027,location,0,r2,0.7297
7,2027,location,1,r2,0.7108
7,2027,location,2,r2,0.6341
7,2027,location,mean,r2,0.6915
8,2027,location,0,r2,0.7099
8,2027,location,1,r2,0.708
8,2027,location,2,r2,0.6075
8,2027,location,mean,r2,0.6751
9,2027,location,0,r2,0.7299
9,2027,location,1,r2,0.7155
9,2027,location,2,r2,0.6209
9,2027,location,mean,r2,0.6888
10,2027,location,0,r2,0.7405
10,2027,location,1,r2,0.7191
10,2027,location,2,r2,0.6081
10,2027,location,mean,r2,0.6893
1,2028,location,0,r2,0.4863
1,2028,location,1,r2,0.386
1,2028,location,2,r2,0.4166
1,2028,location,mean,r2,0.4296
2,2028,location,0,r2,0.6017
2,2028,location,1,r2,0.5445
2,2028,location,2,r2,0.4757
2,2028,location,mean,r2,0.5406
3,2028,location,0,r2,0.6708
3,2028,location,1,r2,0.5865
3,2028,location,2,r2,0.4843
3,2028,location,mean,r2,0.5805
4,2028,location,0,r2,0.6788
4,2028,location,1,r2,0.6628
4,2028,location,2,r2,0.5448
4,2028,location,mean,r2,0.6288
5,2028,location,0,r2,0.6928
5,2028,location,1,r2,0.6718
5,2028,location,2,r2,0.5525
5,2028,location,mean,r2,0.639
6,2028,location,0,r2,0.6839
6,2028,location,1,r2,0.6748
6,2028,location,2,r2,0.5627
6,2028,location,mean,r2,0.6405
7,2028,location,0,r2,0.7229
7,2028,location,1,r2,0.7004
7,2028,location,2,r2,0.6167
7,2028,location,mean,r2,0.68
8,2028,location,0,r2,0.7304
8,2028,location,1,r2,0.6889
8,2028,location,2,r2,0.6154
8,2028,location,mean,r2,0.6783
9,2028,location,0,r2,0.7312
9,2028,location,1,r2,0.7151
9,2028,location,2,r2,0.6291
9,2028,location,mean,r2,0.6918
10,2028,location,0,r2,0.7385
10,2028,location,1,r2,0.6626
10,2028,location,2,r2,0.5935
10,2028,location,mean,r2,0.6648
