epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9245
1,2026,disease,Arterial wall calcification,auroc,0.931
1,2026,disease,Cardiomegaly,auroc,0.9308
1,2026,disease,Pericardial effusion,auroc,0.8532
1,2026,disease,Coronary artery wall calcification,auroc,0.9345
1,2026,disease,Hiatal hernia,auroc,0.7053
1,2026,disease,Lymphadenopathy,auroc,0.751
1,2026,disease,Emphysema,auroc,0.8025
1,2026,disease,Atelectasis,auroc,0.8138
1,2026,disease,Lung nodule,auroc,0.7424
1,2026,disease,Lung opacity,auroc,0.868
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7398
1,2026,disease,Pleural effusion,auroc,0.9662
1,2026,disease,Mosaic attenuation pattern,auroc,0.8864
1,2026,disease,Peribronchial thickening,auroc,0.821
1,2026,disease,Consolidation,auroc,0.9212
1,2026,disease,Bronchiectasis,auroc,0.791
1,2026,disease,Interlobular septal thickening,auroc,0.8799
1,2026,disease,macro,auroc,0.8479
1,2026,disease,micro,auroc,0.8554
2,2026,disease,Medical material,auroc,0.9283
2,2026,disease,Arterial wall calcification,auroc,0.9312
2,2026,disease,Cardiomegaly,auroc,0.9292
2,2026,disease,Pericardial effusion,auroc,0.8595
2,2026,disease,Coronary artery wall calcification,auroc,0.9334
2,2026,disease,Hiatal hernia,auroc,0.7044
2,2026,disease,Lymphadenopathy,auroc,0.7559
2,2026,disease,Emphysema,auroc,0.805
2,2026,disease,Atelectasis,auroc,0.8131
2,2026,disease,Lung nodule,auroc,0.742
2,2026,disease,Lung opacity,auroc,0.8662
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7409
2,2026,disease,Pleural effusion,auroc,0.9683
2,2026,disease,Mosaic attenuation pattern,auroc,0.8839
2,2026,disease,Peribronchial thickening,auroc,0.8183
2,2026,disease,Consolidation,auroc,0.9246
2,2026,disease,Bronchiectasis,auroc,0.7966
2,2026,disease,Interlobular septal thickening,auroc,0.8674
2,2026,disease,macro,auroc,0.8482
2,2026,disease,micro,auroc,0.8587
3,2026,disease,Medical material,auroc,0.9302
3,2026,disease,Arterial wall calcification,auroc,0.9315
3,2026,disease,Cardiomegaly,auroc,0.9314
3,2026,disease,Pericardial effusion,auroc,0.8501
3,2026,disease,Coronary artery wall calcification,auroc,0.934
3,2026,disease,Hiatal hernia,auroc,0.7125
3,2026,disease,Lymphadenopathy,auroc,0.7535
3,2026,disease,Emphysema,auroc,0.7979
3,2026,disease,Atelectasis,auroc,0.8039
3,2026,disease,Lung nodule,auroc,0.7374
3,2026,disease,Lung opacity,auroc,0.867
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7433
3,2026,disease,Pleural effusion,auroc,0.9662
3,2026,disease,Mosaic attenuation pattern,auroc,0.8837
3,2026,disease,Peribronchial thickening,auroc,0.8071
3,2026,disease,Consolidation,auroc,0.9272
3,2026,disease,Bronchiectasis,auroc,0.7918
3,2026,disease,Interlobular septal thickening,auroc,0.873
3,2026,disease,macro,auroc,0.8468
3,2026,disease,micro,auroc,0.8591
4,2026,disease,Medical material,auroc,0.9341
4,2026,disease,Arterial wall calcification,auroc,0.9309
4,2026,disease,Cardiomegaly,auroc,0.9344
4,2026,disease,Pericardial effusion,auroc,0.8579
4,2026,disease,Coronary artery wall calcification,auroc,0.9335
4,2026,disease,Hiatal hernia,auroc,0.7103
4,2026,disease,Lymphadenopathy,auroc,0.7514
4,2026,disease,Emphysema,auroc,0.8075
4,2026,disease,Atelectasis,auroc,0.8082
4,2026,disease,Lung nodule,auroc,0.7435
4,2026,disease,Lung opacity,auroc,0.8661
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7503
4,2026,disease,Pleural effusion,auroc,0.9678
4,2026,disease,Mosaic attenuation pattern,auroc,0.8855
4,2026,disease,Peribronchial thickening,auroc,0.8114
4,2026,disease,Consolidation,auroc,0.9245
4,2026,disease,Bronchiectasis,auroc,0.7882
4,2026,disease,Interlobular septal thickening,auroc,0.87
4,2026,disease,macro,auroc,0.8486
4,2026,disease,micro,auroc,0.8585
5,2026,disease,Medical material,auroc,0.9334
5,2026,disease,Arterial wall calcification,auroc,0.9302
5,2026,disease,Cardiomegaly,auroc,0.9319
5,2026,disease,Pericardial effusion,auroc,0.8565
5,2026,disease,Coronary artery wall calcification,auroc,0.9335
5,2026,disease,Hiatal hernia,auroc,0.7102
5,2026,disease,Lymphadenopathy,auroc,0.755
5,2026,disease,Emphysema,auroc,0.8036
5,2026,disease,Atelectasis,auroc,0.8104
5,2026,disease,Lung nodule,auroc,0.7375
5,2026,disease,Lung opacity,auroc,0.8691
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.7498
5,2026,disease,Pleural effusion,auroc,0.9694
5,2026,disease,Mosaic attenuation pattern,auroc,0.8849
5,2026,disease,Peribronchial thickening,auroc,0.8119
5,2026,disease,Consolidation,auroc,0.9252
5,2026,disease,Bronchiectasis,auroc,0.7927
5,2026,disease,Interlobular septal thickening,auroc,0.8668
5,2026,disease,macro,auroc,0.8485
5,2026,disease,micro,auroc,0.8535
6,2026,disease,Medical material,auroc,0.9291
6,2026,disease,Arterial wall calcification,auroc,0.9307
6,2026,disease,Cardiomegaly,auroc,0.9324
6,2026,disease,Pericardial effusion,auroc,0.8566
6,2026,disease,Coronary artery wall calcification,auroc,0.9321
6,2026,disease,Hiatal hernia,auroc,0.7131
6,2026,disease,Lymphadenopathy,auroc,0.7521
6,2026,disease,Emphysema,auroc,0.8154
6,2026,disease,Atelectasis,auroc,0.8143
6,2026,disease,Lung nodule,auroc,0.7397
6,2026,disease,Lung opacity,auroc,0.8699
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.7525
6,2026,disease,Pleural effusion,auroc,0.967
6,2026,disease,Mosaic attenuation pattern,auroc,0.8841
6,2026,disease,Peribronchial thickening,auroc,0.8105
6,2026,disease,Consolidation,auroc,0.9238
6,2026,disease,Bronchiectasis,auroc,0.8033
6,2026,disease,Interlobular septal thickening,auroc,0.8695
6,2026,disease,macro,auroc,0.8498
6,2026,disease,micro,auroc,0.858
7,2026,disease,Medical material,auroc,0.9356
7,2026,disease,Arterial wall calcification,auroc,0.9312
7,2026,disease,Cardiomegaly,auroc,0.933
7,2026,disease,Pericardial effusion,auroc,0.8615
7,2026,disease,Coronary artery wall calcification,auroc,0.9347
7,2026,disease,Hiatal hernia,auroc,0.7124
7,2026,disease,Lymphadenopathy,auroc,0.7529
7,2026,disease,Emphysema,auroc,0.8134
7,2026,disease,Atelectasis,auroc,0.8149
7,2026,disease,Lung nodule,auroc,0.7401
7,2026,disease,Lung opacity,auroc,0.8683
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.7498
7,2026,disease,Pleural effusion,auroc,0.9676
7,2026,disease,Mosaic attenuation pattern,auroc,0.8835
7,2026,disease,Peribronchial thickening,auroc,0.8122
7,2026,disease,Consolidation,auroc,0.9238
7,2026,disease,Bronchiectasis,auroc,0.7996
7,2026,disease,Interlobular septal thickening,auroc,0.8702
7,2026,disease,macro,auroc,0.8503
7,2026,disease,micro,auroc,0.8622
8,2026,disease,Medical material,auroc,0.9343
8,2026,disease,Arterial wall calcification,auroc,0.9304
8,2026,disease,Cardiomegaly,auroc,0.9342
8,2026,disease,Pericardial effusion,auroc,0.8523
8,2026,disease,Coronary artery wall calcification,auroc,0.9336
8,2026,disease,Hiatal hernia,auroc,0.7075
8,2026,disease,Lymphadenopathy,auroc,0.7548
8,2026,disease,Emphysema,auroc,0.8106
8,2026,disease,Atelectasis,auroc,0.8081
8,2026,disease,Lung nodule,auroc,0.7381
8,2026,disease,Lung opacity,auroc,0.8685
8,2026,disease,Pulmonary fibrotic sequela,auroc,0.7548
8,2026,disease,Pleural effusion,auroc,0.9673
8,2026,disease,Mosaic attenuation pattern,auroc,0.8775
8,2026,disease,Peribronchial thickening,auroc,0.8121
8,2026,disease,Consolidation,auroc,0.9191
8,2026,disease,Bronchiectasis,auroc,0.8003
8,2026,disease,Interlobular septal thickening,auroc,0.8633
8,2026,disease,macro,auroc,0.8482
8,2026,disease,micro,auroc,0.8614
9,2026,disease,Medical material,auroc,0.9364
9,2026,disease,Arterial wall calcification,auroc,0.9293
9,2026,disease,Cardiomegaly,auroc,0.932
9,2026,disease,Pericardial effusion,auroc,0.8501
9,2026,disease,Coronary artery wall calcification,auroc,0.933
9,2026,disease,Hiatal hernia,auroc,0.7113
9,2026,disease,Lymphadenopathy,auroc,0.7563
9,2026,disease,Emphysema,auroc,0.809
9,2026,disease,Atelectasis,auroc,0.8127
9,2026,disease,Lung nodule,auroc,0.7406
9,2026,disease,Lung opacity,auroc,0.8685
9,2026,disease,Pulmonary fibrotic sequela,auroc,0.7534
9,2026,disease,Pleural effusion,auroc,0.9668
9,2026,disease,Mosaic attenuation pattern,auroc,0.8871
9,2026,disease,Peribronchial thickening,auroc,0.8111
9,2026,disease,Consolidation,auroc,0.924
9,2026,disease,Bronchiectasis,auroc,0.8058
9,2026,disease,Interlobular septal thickening,auroc,0.8665
9,2026,disease,macro,auroc,0.8497
9,2026,disease,micro,auroc,0.8569
10,2026,disease,Medical material,auroc,0.9369
10,2026,disease,Arterial wall calcification,auroc,0.9292
10,2026,disease,Cardiomegaly,auroc,0.9302
10,2026,disease,Pericardial effusion,auroc,0.8596
10,2026,disease,Coronary artery wall calcification,auroc,0.9337
10,2026,disease,Hiatal hernia,auroc,0.7117
10,2026,disease,Lymphadenopathy,auroc,0.7515
10,2026,disease,Emphysema,auroc,0.8057
10,2026,disease,Atelectasis,auroc,0.8164
10,2026,disease,Lung nodule,auroc,0.7343
10,2026,disease,Lung opacity,auroc,0.863
10,2026,disease,Pulmonary fibrotic sequela,auroc,0.7518
10,2026,disease,Pleural effusion,auroc,0.9662
10,2026,disease,Mosaic attenuation pattern,auroc,0.8789
10,2026,disease,Peribronchial thickening,auroc,0.8158
10,2026,disease,Consolidation,auroc,0.9239
10,2026,disease,Bronchiectasis,auroc,0.8065
10,2026,disease,Interlobular septal thickening,auroc,0.8625
10,2026,disease,macro,auroc,0.8488
10,2026,disease,micro,auroc,0.8646
1,2027,disease,Medical material,auroc,0.9244
1,2027,disease,Arterial wall calcification,auroc,0.93
1,2027,disease,Cardiomegaly,auroc,0.93
1,2027,disease,Pericardial effusion,auroc,0.8562
1,2027,disease,Coronary artery wall calcification,auroc,0.935
1,2027,disease,Hiatal hernia,auroc,0.7138
1,2027,disease,Lymphadenopathy,auroc,0.7522
1,2027,disease,Emphysema,auroc,0.8042
1,2027,disease,Atelectasis,auroc,0.8093
1,2027,disease,Lung nodule,auroc,0.7367
1,2027,disease,Lung opacity,auroc,0.8683
1,2027,disease,Pulmonary fibrotic sequela,auroc,0.7248
1,2027,disease,Pleural effusion,auroc,0.9671
1,2027,disease,Mosaic attenuation pattern,auroc,0.8865
1,2027,disease,Peribronchial thickening,auroc,0.8171
1,2027,disease,Consolidation,auroc,0.9247
1,2027,disease,Bronchiectasis,auroc,0.7915
1,2027,disease,Interlobular septal thickening,auroc,0.8738
1,2027,disease,macro,auroc,0.847
1,2027,disease,micro,auroc,0.8492
2,2027,disease,Medical material,auroc,0.9275
2,2027,disease,Arterial wall calcification,auroc,0.9304
2,2027,disease,Cardiomegaly,auroc,0.9327
2,2027,disease,Pericardial effusion,auroc,0.8677
2,2027,disease,Coronary artery wall calcification,auroc,0.9325
2,2027,disease,Hiatal hernia,auroc,0.7124
2,2027,disease,Lymphadenopathy,auroc,0.7491
2,2027,disease,Emphysema,auroc,0.8096
2,2027,disease,Atelectasis,auroc,0.8145
2,2027,disease,Lung nodule,auroc,0.7327
2,2027,disease,Lung opacity,auroc,0.868
2,2027,disease,Pulmonary fibrotic sequela,auroc,0.7429
2,2027,disease,Pleural effusion,auroc,0.9682
2,2027,disease,Mosaic attenuation pattern,auroc,0.8897
2,2027,disease,Peribronchial thickening,auroc,0.8151
2,2027,disease,Consolidation,auroc,0.923
2,2027,disease,Bronchiectasis,auroc,0.7897
2,2027,disease,Interlobular septal thickening,auroc,0.8815
2,2027,disease,macro,auroc,0.8493
2,2027,disease,micro,auroc,0.8587
3,2027,disease,Medical material,auroc,0.931
3,2027,disease,Arterial wall calcification,auroc,0.9303
3,2027,disease,Cardiomegaly,auroc,0.9291
3,2027,disease,Pericardial effusion,auroc,0.8602
3,2027,disease,Coronary artery wall calcification,auroc,0.9351
3,2027,disease,Hiatal hernia,auroc,0.7083
3,2027,disease,Lymphadenopathy,auroc,0.7536
3,2027,disease,Emphysema,auroc,0.8087
3,2027,disease,Atelectasis,auroc,0.8142
3,2027,disease,Lung nodule,auroc,0.7325
3,2027,disease,Lung opacity,auroc,0.8676
3,2027,disease,Pulmonary fibrotic sequela,auroc,0.7481
3,2027,disease,Pleural effusion,auroc,0.9672
3,2027,disease,Mosaic attenuation pattern,auroc,0.8831
3,2027,disease,Peribronchial thickening,auroc,0.8143
3,2027,disease,Consolidation,auroc,0.9246
3,2027,disease,Bronchiectasis,auroc,0.7962
3,2027,disease,Interlobular septal thickening,auroc,0.8753
3,2027,disease,macro,auroc,0.8489
3,2027,disease,micro,auroc,0.8509
4,2027,disease,Medical material,auroc,0.9284
4,2027,disease,Arterial wall calcification,auroc,0.9319
4,2027,disease,Cardiomegaly,auroc,0.9338
4,2027,disease,Pericardial effusion,auroc,0.8656
4,2027,disease,Coronary artery wall calcification,auroc,0.935
4,2027,disease,Hiatal hernia,auroc,0.72
4,2027,disease,Lymphadenopathy,auroc,0.7579
4,2027,disease,Emphysema,auroc,0.8061
4,2027,disease,Atelectasis,auroc,0.8205
4,2027,disease,Lung nodule,auroc,0.7362
4,2027,disease,Lung opacity,auroc,0.8691
4,2027,disease,Pulmonary fibrotic sequela,auroc,0.7476
4,2027,disease,Pleural effusion,auroc,0.9667
4,2027,disease,Mosaic attenuation pattern,auroc,0.8833
4,2027,disease,Peribronchial thickening,auroc,0.8212
4,2027,disease,Consolidation,auroc,0.9227
4,2027,disease,Bronchiectasis,auroc,0.7989
4,2027,disease,Interlobular septal thickening,auroc,0.875
4,2027,disease,macro,auroc,0.8511
4,2027,disease,micro,auroc,0.8636
5,2027,disease,Medical material,auroc,0.9271
5,2027,disease,Arterial wall calcification,auroc,0.9318
5,2027,disease,Cardiomegaly,auroc,0.9304
5,2027,disease,Pericardial effusion,auroc,0.8643
5,2027,disease,Coronary artery wall calcification,auroc,0.9339
5,2027,disease,Hiatal hernia,auroc,0.7104
5,2027,disease,Lymphadenopathy,auroc,0.755
5,2027,disease,Emphysema,auroc,0.8116
5,2027,disease,Atelectasis,auroc,0.8176
5,2027,disease,Lung nodule,auroc,0.7412
5,2027,disease,Lung opacity,auroc,0.8677
5,2027,disease,Pulmonary fibrotic sequela,auroc,0.7505
5,2027,disease,Pleural effusion,auroc,0.9691
5,2027,disease,Mosaic attenuation pattern,auroc,0.8917
5,2027,disease,Peribronchial thickening,auroc,0.8187
5,2027,disease,Consolidation,auroc,0.9212
5,2027,disease,Bronchiectasis,auroc,0.803
5,2027,disease,Interlobular septal thickening,auroc,0.8755
5,2027,disease,macro,auroc,0.8511
5,2027,disease,micro,auroc,0.8626
6,2027,disease,Medical material,auroc,0.9326
6,2027,disease,Arterial wall calcification,auroc,0.9301
6,2027,disease,Cardiomegaly,auroc,0.9315
6,2027,disease,Pericardial effusion,auroc,0.8649
6,2027,disease,Coronary artery wall calcification,auroc,0.9332
6,2027,disease,Hiatal hernia,auroc,0.7075
6,2027,disease,Lymphadenopathy,auroc,0.7542
6,2027,disease,Emphysema,auroc,0.8055
6,2027,disease,Atelectasis,auroc,0.8124
6,2027,disease,Lung nodule,auroc,0.7364
6,2027,disease,Lung opacity,auroc,0.8679
6,2027,disease,Pulmonary fibrotic sequela,auroc,0.7394
6,2027,disease,Pleural effusion,auroc,0.9683
6,2027,disease,Mosaic attenuation pattern,auroc,0.8801
6,2027,disease,Peribronchial thickening,auroc,0.8182
6,2027,disease,Consolidation,auroc,0.922
6,2027,disease,Bronchiectasis,auroc,0.8039
6,2027,disease,Interlobular septal thickening,auroc,0.8739
6,2027,disease,macro,auroc,0.849
6,2027,disease,micro,auroc,0.8608
7,2027,disease,Medical material,auroc,0.9323
7,2027,disease,Arterial wall calcification,auroc,0.9305
7,2027,disease,Cardiomegaly,auroc,0.9327
7,2027,disease,Pericardial effusion,auroc,0.8546
7,2027,disease,Coronary artery wall calcification,auroc,0.9336
7,2027,disease,Hiatal hernia,auroc,0.7055
7,2027,disease,Lymphadenopathy,auroc,0.7515
7,2027,disease,Emphysema,auroc,0.81
7,2027,disease,Atelectasis,auroc,0.818
7,2027,disease,Lung nodule,auroc,0.7347
7,2027,disease,Lung opacity,auroc,0.869
7,2027,disease,Pulmonary fibrotic sequela,auroc,0.747
7,2027,disease,Pleural effusion,auroc,0.9649
7,2027,disease,Mosaic attenuation pattern,auroc,0.8891
7,2027,disease,Peribronchial thickening,auroc,0.8168
7,2027,disease,Consolidation,auroc,0.9233
7,2027,disease,Bronchiectasis,auroc,0.799
7,2027,disease,Interlobular septal thickening,auroc,0.8734
7,2027,disease,macro,auroc,0.8492
7,2027,disease,micro,auroc,0.8559
8,2027,disease,Medical material,auroc,0.9313
8,2027,disease,Arterial wall calcification,auroc,0.9292
8,2027,disease,Cardiomegaly,auroc,0.931
8,2027,disease,Pericardial effusion,auroc,0.8604
8,2027,disease,Coronary artery wall calcification,auroc,0.9324
8,2027,disease,Hiatal hernia,auroc,0.7084
8,2027,disease,Lymphadenopathy,auroc,0.7509
8,2027,disease,Emphysema,auroc,0.809
8,2027,disease,Atelectasis,auroc,0.8176
8,2027,disease,Lung nodule,auroc,0.7374
8,2027,disease,Lung opacity,auroc,0.8685
8,2027,disease,Pulmonary fibrotic sequela,auroc,0.7556
8,2027,disease,Pleural effusion,auroc,0.9657
8,2027,disease,Mosaic attenuation pattern,auroc,0.8918
8,2027,disease,Peribronchial thickening,auroc,0.8157
8,2027,disease,Consolidation,auroc,0.9219
8,2027,disease,Bronchiectasis,auroc,0.8007
8,2027,disease,Interlobular septal thickening,auroc,0.8724
8,2027,disease,macro,auroc,0.85
8,2027,disease,micro,auroc,0.8622
9,2027,disease,Medical material,auroc,0.9312
9,2027,disease,Arterial wall calcification,auroc,0.9306
9,2027,disease,Cardiomegaly,auroc,0.9282
9,2027,disease,Pericardial effusion,auroc,0.8589
9,2027,disease,Coronary artery wall calcification,auroc,0.9349
9,2027,disease,Hiatal hernia,auroc,0.7054
9,2027,disease,Lymphadenopathy,auroc,0.7457
9,2027,disease,Emphysema,auroc,0.8048
9,2027,disease,Atelectasis,auroc,0.8119
9,2027,disease,Lung nodule,auroc,0.7374
9,2027,disease,Lung opacity,auroc,0.8679
9,2027,disease,Pulmonary fibrotic sequela,auroc,0.752
9,2027,disease,Pleural effusion,auroc,0.9663
9,2027,disease,Mosaic attenuation pattern,auroc,0.8873
9,2027,disease,Peribronchial thickening,auroc,0.8123
9,2027,disease,Consolidation,auroc,0.921
9,2027,disease,Bronchiectasis,auroc,0.8021
9,2027,disease,Interlobular septal thickening,auroc,0.8715
9,2027,disease,macro,auroc,0.8483
9,2027,disease,micro,auroc,0.8554
10,2027,disease,Medical material,auroc,0.9326
10,2027,disease,Arterial wall calcification,auroc,0.9296
10,2027,disease,Cardiomegaly,auroc,0.9289
10,2027,disease,Pericardial effusion,auroc,0.8506
10,2027,disease,Coronary artery wall calcification,auroc,0.9336
10,2027,disease,Hiatal hernia,auroc,0.6965
10,2027,disease,Lymphadenopathy,auroc,0.7522
10,2027,disease,Emphysema,auroc,0.8041
10,2027,disease,Atelectasis,auroc,0.8189
10,2027,disease,Lung nodule,auroc,0.7417
10,2027,disease,Lung opacity,auroc,0.8692
10,2027,disease,Pulmonary fibrotic sequela,auroc,0.753
10,2027,disease,Pleural effusion,auroc,0.9657
10,2027,disease,Mosaic attenuation pattern,auroc,0.8872
10,2027,disease,Peribronchial thickening,auroc,0.8083
10,2027,disease,Consolidation,auroc,0.9227
10,2027,disease,Bronchiectasis,auroc,0.7997
10,2027,disease,Interlobular septal thickening,auroc,0.8726
10,2027,disease,macro,auroc,0.8482
10,2027,disease,micro,auroc,0.8593
1,2028,disease,Medical material,auroc,0.9245
1,2028,disease,Arterial wall calcification,auroc,0.9317
1,2028,disease,Cardiomegaly,auroc,0.9312
1,2028,disease,Pericardial effusion,auroc,0.8655
1,2028,disease,Coronary artery wall calcification,auroc,0.9344
1,2028,disease,Hiatal hernia,auroc,0.7024
1,2028,disease,Lymphadenopathy,auroc,0.7499
1,2028,disease,Emphysema,auroc,0.8093
1,2028,disease,Atelectasis,auroc,0.8149
1,2028,disease,Lung nodule,auroc,0.7379
1,2028,disease,Lung opacity,auroc,0.8681
1,2028,disease,Pulmonary fibrotic sequela,auroc,0.7464
1,2028,disease,Pleural effusion,auroc,0.9673
1,2028,disease,Mosaic attenuation pattern,auroc,0.8854
1,2028,disease,Peribronchial thickening,auroc,0.816
1,2028,disease,Consolidation,auroc,0.9258
1,2028,disease,Bronchiectasis,auroc,0.7917
1,2028,disease,Interlobular septal thickening,auroc,0.8697
1,2028,disease,macro,auroc,0.8484
1,2028,disease,micro,auroc,0.8569
2,2028,disease,Medical material,auroc,0.9278
2,2028,disease,Arterial wall calcification,auroc,0.9321
2,2028,disease,Cardiomegaly,auroc,0.9322
2,2028,disease,Pericardial effusion,auroc,0.866
2,2028,disease,Coronary artery wall calcification,auroc,0.9363
2,2028,disease,Hiatal hernia,auroc,0.7147
2,2028,disease,Lymphadenopathy,auroc,0.752
2,2028,disease,Emphysema,auroc,0.813
2,2028,disease,Atelectasis,auroc,0.8153
2,2028,disease,Lung nodule,auroc,0.7377
2,2028,disease,Lung opacity,auroc,0.8692
2,2028,disease,Pulmonary fibrotic sequela,auroc,0.7479
2,2028,disease,Pleural effusion,auroc,0.9682
2,2028,disease,Mosaic attenuation pattern,auroc,0.8838
2,2028,disease,Peribronchial thickening,auroc,0.817
2,2028,disease,Consolidation,auroc,0.9233
2,2028,disease,Bronchiectasis,auroc,0.8021
2,2028,disease,Interlobular septal thickening,auroc,0.8812
2,2028,disease,macro,auroc,0.8511
2,2028,disease,micro,auroc,0.8643
3,2028,disease,Medical material,auroc,0.9321
3,2028,disease,Arterial wall calcification,auroc,0.9336
3,2028,disease,Cardiomegaly,auroc,0.9334
3,2028,disease,Pericardial effusion,auroc,0.8624
3,2028,disease,Coronary artery wall calcification,auroc,0.9364
3,2028,disease,Hiatal hernia,auroc,0.7096
3,2028,disease,Lymphadenopathy,auroc,0.755
3,2028,disease,Emphysema,auroc,0.8098
3,2028,disease,Atelectasis,auroc,0.8156
3,2028,disease,Lung nodule,auroc,0.7385
3,2028,disease,Lung opacity,auroc,0.8706
3,2028,disease,Pulmonary fibrotic sequela,auroc,0.7478
3,2028,disease,Pleural effusion,auroc,0.967
3,2028,disease,Mosaic attenuation pattern,auroc,0.8892
3,2028,disease,Peribronchial thickening,auroc,0.8097
3,2028,disease,Consolidation,auroc,0.922
3,2028,disease,Bronchiectasis,auroc,0.8032
3,2028,disease,Interlobular septal thickening,auroc,0.8733
3,2028,disease,macro,auroc,0.8505
3,2028,disease,micro,auroc,0.8596
4,2028,disease,Medical material,auroc,0.9285
4,2028,disease,Arterial wall calcification,auroc,0.9319
4,2028,disease,Cardiomegaly,auroc,0.9318
4,2028,disease,Pericardial effusion,auroc,0.8576
4,2028,disease,Coronary artery wall calcification,auroc,0.9349
4,2028,disease,Hiatal hernia,auroc,0.7132
4,2028,disease,Lymphadenopathy,auroc,0.7536
4,2028,disease,Emphysema,auroc,0.8067
4,2028,disease,Atelectasis,auroc,0.8184
4,2028,disease,Lung nodule,auroc,0.7408
4,2028,disease,Lung opacity,auroc,0.8691
4,2028,disease,Pulmonary fibrotic sequela,auroc,0.7512
4,2028,disease,Pleural effusion,auroc,0.9669
4,2028,disease,Mosaic attenuation pattern,auroc,0.8878
4,2028,disease,Peribronchial thickening,auroc,0.8153
4,2028,disease,Consolidation,auroc,0.9238
4,2028,disease,Bronchiectasis,auroc,0.8074
4,2028,disease,Interlobular septal thickening,auroc,0.8767
4,2028,disease,macro,auroc,0.8509
4,2028,disease,micro,auroc,0.8621
5,2028,disease,Medical material,auroc,0.9346
5,2028,disease,Arterial wall calcification,auroc,0.9287
5,2028,disease,Cardiomegaly,auroc,0.9328
5,2028,disease,Pericardial effusion,auroc,0.8629
5,2028,disease,Coronary artery wall calcification,auroc,0.9305
5,2028,disease,Hiatal hernia,auroc,0.7153
5,2028,disease,Lymphadenopathy,auroc,0.7529
5,2028,disease,Emphysema,auroc,0.8033
5,2028,disease,Atelectasis,auroc,0.82
5,2028,disease,Lung nodule,auroc,0.7428
5,2028,disease,Lung opacity,auroc,0.8689
5,2028,disease,Pulmonary fibrotic sequela,auroc,0.7493
5,2028,disease,Pleural effusion,auroc,0.9688
5,2028,disease,Mosaic attenuation pattern,auroc,0.8889
5,2028,disease,Peribronchial thickening,auroc,0.8095
5,2028,disease,Consolidation,auroc,0.9233
5,2028,disease,Bronchiectasis,auroc,0.8002
5,2028,disease,Interlobular septal thickening,auroc,0.8688
