epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8962
1,2026,radiomics,1,r2,0.2449
1,2026,radiomics,2,r2,0.8412
1,2026,radiomics,mean,r2,0.6608
2,2026,radiomics,0,r2,0.8902
2,2026,radiomics,1,r2,0.2872
2,2026,radiomics,2,r2,0.8534
2,2026,radiomics,mean,r2,0.6769
3,2026,radiomics,0,r2,0.925
3,2026,radiomics,1,r2,0.3282
3,2026,radiomics,2,r2,0.8602
3,2026,radiomics,mean,r2,0.7045
4,2026,radiomics,0,r2,0.9272
4,2026,radiomics,1,r2,0.3855
4,2026,radiomics,2,r2,0.8836
4,2026,radiomics,mean,r2,0.7321
5,2026,radiomics,0,r2,0.9307
5,2026,radiomics,1,r2,0.3925
5,2026,radiomics,2,r2,0.8896
5,2026,radiomics,mean,r2,0.7376
6,2026,radiomics,0,r2,0.9222
6,2026,radiomics,1,r2,0.3686
6,2026,radiomics,2,r2,0.8814
6,2026,radiomics,mean,r2,0.7241
7,2026,radiomics,0,r2,0.9258
7,2026,radiomics,1,r2,0.3425
7,2026,radiomics,2,r2,0.8899
7,2026,radiomics,mean,r2,0.7194
8,2026,radiomics,0,r2,0.9263
8,2026,radiomics,1,r2,0.3226
8,2026,radiomics,2,r2,0.8926
8,2026,radiomics,mean,r2,0.7138
9,2026,radiomics,0,r2,0.9339
9,2026,radiomics,1,r2,0.3432
9,2026,radiomics,2,r2,0.8872
9,2026,radiomics,mean,r2,0.7214
10,2026,radiomics,0,r2,0.9244
10,2026,radiomics,1,r2,0.3869
10,2026,radiomics,2,r2,0.8941
10,2026,radiomics,mean,r2,0.7351
1,2027,radiomics,0,r2,0.9099
1,2027,radiomics,1,r2,0.1928
1,2027,radiomics,2,r2,0.841
1,2027,radiomics,mean,r2,0.6479
2,2027,radiomics,0,r2,0.9173
2,2027,radiomics,1,r2,0.3043
2,2027,radiomics,2,r2,0.8731
2,2027,radiomics,mean,r2,0.6982
3,2027,radiomics,0,r2,0.9191
3,2027,radiomics,1,r2,0.3271
3,2027,radiomics,2,r2,0.8772
3,2027,radiomics,mean,r2,0.7078
4,2027,radiomics,0,r2,0.9253
4,2027,radiomics,1,r2,0.3508
4,2027,radiomics,2,r2,0.871
4,2027,radiomics,mean,r2,0.7157
5,2027,radiomics,0,r2,0.9282
5,2027,radiomics,1,r2,0.39
5,2027,radiomics,2,r2,0.8852
5,2027,radiomics,mean,r2,0.7345
6,2027,radiomics,0,r2,0.923
6,2027,radiomics,1,r2,0.4387
6,2027,radiomics,2,r2,0.8788
6,2027,radiomics,mean,r2,0.7468
7,2027,radiomics,0,r2,0.9203
7,2027,radiomics,1,r2,0.3595
7,2027,radiomics,2,r2,0.8913
7,2027,radiomics,mean,r2,0.7237
8,2027,radiomics,0,r2,0.9307
8,2027,radiomics,1,r2,0.3169
8,2027,radiomics,2,r2,0.8904
8,2027,radiomics,mean,r2,0.7127
9,2027,radiomics,0,r2,0.9314
9,2027,radiomics,1,r2,0.3691
9,2027,radiomics,2,r2,0.8959
9,2027,radiomics,mean,r2,0.7321
10,2027,radiomics,0,r2,0.9341
10,2027,radiomics,1,r2,0.4035
10,2027,radiomics,2,r2,0.8957
10,2027,radiomics,mean,r2,0.7444
1,2028,radiomics,0,r2,0.9054
1,2028,radiomics,1,r2,0.2346
1,2028,radiomics,2,r2,0.8483
1,2028,radiomics,mean,r2,0.6628
2,2028,radiomics,0,r2,0.9249
2,2028,radiomics,1,r2,0.2816
2,2028,radiomics,2,r2,0.8735
2,2028,radiomics,mean,r2,0.6933
3,2028,radiomics,0,r2,0.9215
3,2028,radiomics,1,r2,0.36
3,2028,radiomics,2,r2,0.8792
3,2028,radiomics,mean,r2,0.7202
4,2028,radiomics,0,r2,0.9216
4,2028,radiomics,1,r2,0.4057
4,2028,radiomics,2,r2,0.8873
4,2028,radiomics,mean,r2,0.7382
5,2028,radiomics,0,r2,0.9277
5,2028,radiomics,1,r2,0.3834
5,2028,radiomics,2,r2,0.8879
5,2028,radiomics,mean,r2,0.733
6,2028,radiomics,0,r2,0.9255
6,2028,radiomics,1,r2,0.4997
6,2028,radiomics,2,r2,0.8906
6,2028,radiomics,mean,r2,0.7719
7,2028,radiomics,0,r2,0.9291
7,2028,radiomics,1,r2,0.3812
7,2028,radiomics,2,r2,0.8911
7,2028,radiomics,mean,r2,0.7338
8,2028,radiomics,0,r2,0.9244
8,2028,radiomics,1,r2,0.4597
8,2028,radiomics,2,r2,0.8917
8,2028,radiomics,mean,r2,0.7586
9,2028,radiomics,0,r2,0.9326
9,2028,radiomics,1,r2,0.358
9,2028,radiomics,2,r2,0.8833
9,2028,radiomics,mean,r2,0.7246
10,2028,radiomics,0,r2,0.9338
10,2028,radiomics,1,r2,0.377
10,2028,radiomics,2,r2,0.9016
10,2028,radiomics,mean,r2,0.7375
