epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8531
1,2026,size,1,r2,0.528
1,2026,size,2,r2,0.517
1,2026,size,3,r2,0.6267
1,2026,size,4,r2,0.7234
1,2026,size,mean,r2,0.6496
2,2026,size,0,r2,0.876
2,2026,size,1,r2,0.5432
2,2026,size,2,r2,0.5262
2,2026,size,3,r2,0.6274
2,2026,size,4,r2,0.7533
2,2026,size,mean,r2,0.6652
3,2026,size,0,r2,0.8831
3,2026,size,1,r2,0.5628
3,2026,size,2,r2,0.5585
3,2026,size,3,r2,0.636
3,2026,size,4,r2,0.7553
3,2026,size,mean,r2,0.6791
4,2026,size,0,r2,0.8844
4,2026,size,1,r2,0.5667
4,2026,size,2,r2,0.5639
4,2026,size,3,r2,0.6418
4,2026,size,4,r2,0.7555
4,2026,size,mean,r2,0.6825
5,2026,size,0,r2,0.8872
5,2026,size,1,r2,0.5936
5,2026,size,2,r2,0.583
5,2026,size,3,r2,0.6456
5,2026,size,4,r2,0.772
5,2026,size,mean,r2,0.6963
6,2026,size,0,r2,0.8916
6,2026,size,1,r2,0.5791
6,2026,size,2,r2,0.5709
6,2026,size,3,r2,0.6348
6,2026,size,4,r2,0.7708
6,2026,size,mean,r2,0.6894
7,2026,size,0,r2,0.8913
7,2026,size,1,r2,0.5811
7,2026,size,2,r2,0.575
7,2026,size,3,r2,0.6387
7,2026,size,4,r2,0.7704
7,2026,size,mean,r2,0.6913
8,2026,size,0,r2,0.8921
8,2026,size,1,r2,0.5964
8,2026,size,2,r2,0.5653
8,2026,size,3,r2,0.6394
8,2026,size,4,r2,0.7729
8,2026,size,mean,r2,0.6932
9,2026,size,0,r2,0.8894
9,2026,size,1,r2,0.6001
9,2026,size,2,r2,0.591
9,2026,size,3,r2,0.644
9,2026,size,4,r2,0.7783
9,2026,size,mean,r2,0.7006
10,2026,size,0,r2,0.8885
10,2026,size,1,r2,0.6066
10,2026,size,2,r2,0.5905
10,2026,size,3,r2,0.6476
10,2026,size,4,r2,0.7726
10,2026,size,mean,r2,0.7012
1,2027,size,0,r2,0.8423
1,2027,size,1,r2,0.5307
1,2027,size,2,r2,0.5128
1,2027,size,3,r2,0.6302
1,2027,size,4,r2,0.7085
1,2027,size,mean,r2,0.6449
2,2027,size,0,r2,0.8506
2,2027,size,1,r2,0.536
2,2027,size,2,r2,0.5359
2,2027,size,3,r2,0.6271
2,2027,size,4,r2,0.7379
2,2027,size,mean,r2,0.6575
3,2027,size,0,r2,0.8653
3,2027,size,1,r2,0.5527
3,2027,size,2,r2,0.5536
3,2027,size,3,r2,0.6262
3,2027,size,4,r2,0.7261
3,2027,size,mean,r2,0.6648
4,2027,size,0,r2,0.8744
4,2027,size,1,r2,0.5642
4,2027,size,2,r2,0.5433
4,2027,size,3,r2,0.63
4,2027,size,4,r2,0.745
4,2027,size,mean,r2,0.6714
5,2027,size,0,r2,0.8776
5,2027,size,1,r2,0.5699
5,2027,size,2,r2,0.573
5,2027,size,3,r2,0.6321
5,2027,size,4,r2,0.7523
5,2027,size,mean,r2,0.681
6,2027,size,0,r2,0.846
6,2027,size,1,r2,0.55
6,2027,size,2,r2,0.5822
6,2027,size,3,r2,0.6291
6,2027,size,4,r2,0.7581
6,2027,size,mean,r2,0.6731
7,2027,size,0,r2,0.883
7,2027,size,1,r2,0.5672
7,2027,size,2,r2,0.5698
7,2027,size,3,r2,0.6313
7,2027,size,4,r2,0.7572
7,2027,size,mean,r2,0.6817
8,2027,size,0,r2,0.8887
8,2027,size,1,r2,0.5795
8,2027,size,2,r2,0.5717
8,2027,size,3,r2,0.6245
8,2027,size,4,r2,0.7617
8,2027,size,mean,r2,0.6852
9,2027,size,0,r2,0.884
9,2027,size,1,r2,0.5814
9,2027,size,2,r2,0.5791
9,2027,size,3,r2,0.633
9,2027,size,4,r2,0.7585
9,2027,size,mean,r2,0.6872
10,2027,size,0,r2,0.8896
10,2027,size,1,r2,0.5767
10,2027,size,2,r2,0.5729
10,2027,size,3,r2,0.627
10,2027,size,4,r2,0.7614
10,2027,size,mean,r2,0.6855
1,2028,size,0,r2,0.8484
1,2028,size,1,r2,0.5377
1,2028,size,2,r2,0.528
1,2028,size,3,r2,0.6328
1,2028,size,4,r2,0.7339
1,2028,size,mean,r2,0.6562
2,2028,size,0,r2,0.8719
2,2028,size,1,r2,0.5768
2,2028,size,2,r2,0.5399
2,2028,size,3,r2,0.6405
2,2028,size,4,r2,0.7481
2,2028,size,mean,r2,0.6754
3,2028,size,0,r2,0.8748
3,2028,size,1,r2,0.5585
3,2028,size,2,r2,0.5639
3,2028,size,3,r2,0.6427
3,2028,size,4,r2,0.7445
3,2028,size,mean,r2,0.6769
4,2028,size,0,r2,0.8847
4,2028,size,1,r2,0.5728
4,2028,size,2,r2,0.5624
4,2028,size,3,r2,0.6381
4,2028,size,4,r2,0.7533
4,2028,size,mean,r2,0.6823
5,2028,size,0,r2,0.8757
5,2028,size,1,r2,0.5889
5,2028,size,2,r2,0.5734
5,2028,size,3,r2,0.6311
5,2028,size,4,r2,0.7464
5,2028,size,mean,r2,0.6831
6,2028,size,0,r2,0.886
6,2028,size,1,r2,0.5869
6,2028,size,2,r2,0.5831
6,2028,size,3,r2,0.65
6,2028,size,4,r2,0.7688
6,2028,size,mean,r2,0.695
7,2028,size,0,r2,0.8867
7,2028,size,1,r2,0.5961
7,2028,size,2,r2,0.5706
7,2028,size,3,r2,0.6406
7,2028,size,4,r2,0.7754
7,2028,size,mean,r2,0.6939
8,2028,size,0,r2,0.8911
8,2028,size,1,r2,0.6102
8,2028,size,2,r2,0.5803
8,2028,size,3,r2,0.6422
8,2028,size,4,r2,0.7763
8,2028,size,mean,r2,0.7
9,2028,size,0,r2,0.8881
9,2028,size,1,r2,0.5912
9,2028,size,2,r2,0.5814
9,2028,size,3,r2,0.6439
9,2028,size,4,r2,0.772
9,2028,size,mean,r2,0.6953
10,2028,size,0,r2,0.8857
10,2028,size,1,r2,0.6079
10,2028,size,2,r2,0.5764
10,2028,size,3,r2,0.634
10,2028,size,4,r2,0.7478
10,2028,size,mean,r2,0.6904
