epoch,family,target,metric,score
1,location,0,r2,0.217
1,location,1,r2,0.2401
1,location,2,r2,0.3515
1,location,mean,r2,0.2695
2,location,0,r2,0.3313
2,location,1,r2,0.3168
2,location,2,r2,0.3932
2,location,mean,r2,0.3471
3,location,0,r2,0.3708
3,location,1,r2,0.3567
3,location,2,r2,0.4577
3,location,mean,r2,0.3951
4,location,0,r2,0.3577
4,location,1,r2,0.4115
4,location,2,r2,0.4059
4,location,mean,r2,0.3917
5,location,0,r2,0.3844
5,location,1,r2,0.4444
5,location,2,r2,0.492
5,location,mean,r2,0.4403
6,location,0,r2,0.3622
6,location,1,r2,0.4491
6,location,2,r2,0.4674
6,location,mean,r2,0.4262
7,location,0,r2,0.4083
7,location,1,r2,0.4562
7,location,2,r2,0.5057
7,location,mean,r2,0.4568
8,location,0,r2,0.3833
8,location,1,r2,0.4317
8,location,2,r2,0.5194
8,location,mean,r2,0.4448
9,location,0,r2,0.4006
9,location,1,r2,0.4692
9,location,2,r2,0.5234
9,location,mean,r2,0.4644
10,location,0,r2,0.4098
10,location,1,r2,0.4871
10,location,2,r2,0.5085
10,location,mean,r2,0.4684
