epoch,family,target,metric,score
1,radiomics,0,r2,0.6989
1,radiomics,1,r2,0.053
1,radiomics,2,r2,0.563
1,radiomics,mean,r2,0.4383
2,radiomics,0,r2,0.7768
2,radiomics,1,r2,0.0689
2,radiomics,2,r2,0.6534
2,radiomics,mean,r2,0.4997
3,radiomics,0,r2,0.7923
3,radiomics,1,r2,0.0771
3,radiomics,2,r2,0.6657
3,radiomics,mean,r2,0.5117
4,radiomics,0,r2,0.7999
4,radiomics,1,r2,0.09
4,radiomics,2,r2,0.6839
4,radiomics,mean,r2,0.5246
5,radiomics,0,r2,0.7926
5,radiomics,1,r2,0.0599
5,radiomics,2,r2,0.6693
5,radiomics,mean,r2,0.5072
6,radiomics,0,r2,0.7825
6,radiomics,1,r2,0.0731
6,radiomics,2,r2,0.675
6,radiomics,mean,r2,0.5102
7,radiomics,0,r2,0.8093
7,radiomics,1,r2,0.1135
7,radiomics,2,r2,0.6708
7,radiomics,mean,r2,0.5312
8,radiomics,0,r2,0.8058
8,radiomics,1,r2,0.1144
8,radiomics,2,r2,0.7002
8,radiomics,mean,r2,0.5401
9,radiomics,0,r2,0.8
9,radiomics,1,r2,0.1126
9,radiomics,2,r2,0.6634
9,radiomics,mean,r2,0.5253
10,radiomics,0,r2,0.8188
10,radiomics,1,r2,0.1103
10,radiomics,2,r2,0.6842
10,radiomics,mean,r2,0.5378
