epoch,family,target,metric,score
1,disease,Medical material,auroc,0.6885
1,disease,Arterial wall calcification,auroc,0.7344
1,disease,Cardiomegaly,auroc,0.8375
1,disease,Pericardial effusion,auroc,0.7536
1,disease,Coronary artery wall calcification,auroc,0.7128
1,disease,Hiatal hernia,auroc,0.6359
1,disease,Lymphadenopathy,auroc,0.6463
1,disease,Emphysema,auroc,0.6224
1,disease,Atelectasis,auroc,0.6411
1,disease,Lung nodule,auroc,0.5897
1,disease,Lung opacity,auroc,0.637
1,disease,Pulmonary fibrotic sequela,auroc,0.5914
1,disease,Pleural effusion,auroc,0.8716
1,disease,Mosaic attenuation pattern,auroc,0.7503
1,disease,Peribronchial thickening,auroc,0.6497
1,disease,Consolidation,auroc,0.6903
1,disease,Bronchiectasis,auroc,0.6159
1,disease,Interlobular septal thickening,auroc,0.7507
1,disease,macro,auroc,0.6899
1,disease,micro,auroc,0.6989
2,disease,Medical material,auroc,0.6908
2,disease,Arterial wall calcification,auroc,0.7689
2,disease,Cardiomegaly,auroc,0.8367
2,disease,Pericardial effusion,auroc,0.7594
2,disease,Coronary artery wall calcification,auroc,0.7507
2,disease,Hiatal hernia,auroc,0.6562
2,disease,Lymphadenopathy,auroc,0.6503
2,disease,Emphysema,auroc,0.6659
2,disease,Atelectasis,auroc,0.6513
2,disease,Lung nodule,auroc,0.6138
2,disease,Lung opacity,auroc,0.6403
2,disease,Pulmonary fibrotic sequela,auroc,0.6216
2,disease,Pleural effusion,auroc,0.878
2,disease,Mosaic attenuation pattern,auroc,0.7551
2,disease,Peribronchial thickening,auroc,0.6785
2,disease,Consolidation,auroc,0.6937
2,disease,Bronchiectasis,auroc,0.643
2,disease,Interlobular septal thickening,auroc,0.7504
2,disease,macro,auroc,0.7058
2,disease,micro,auroc,0.7101
3,disease,Medical material,auroc,0.706
3,disease,Arterial wall calcification,auroc,0.7801
3,disease,Cardiomegaly,auroc,0.8442
3,disease,Pericardial effusion,auroc,0.7639
