epoch,family,target,metric,score
1,density,0,r2,0.2781
1,density,1,r2,0.1131
1,density,2,r2,0.6152
1,density,3,r2,0.577
1,density,mean,r2,0.3959
2,density,0,r2,0.339
2,density,1,r2,0.1458
2,density,2,r2,0.7368
2,density,3,r2,0.6688
2,density,mean,r2,0.4726
3,density,0,r2,0.3468
3,density,1,r2,0.1287
3,density,2,r2,0.7259
3,density,3,r2,0.6708
3,density,mean,r2,0.4681
4,density,0,r2,0.3713
4,density,1,r2,0.1618
4,density,2,r2,0.769
4,density,3,r2,0.6917
4,density,mean,r2,0.4985
5,density,0,r2,0.3498
5,density,1,r2,0.1564
5,density,2,r2,0.7518
5,density,3,r2,0.6849
5,density,mean,r2,0.4857
6,density,0,r2,0.3727
6,density,1,r2,0.1094
6,density,2,r2,0.7801
6,density,3,r2,0.7062
6,density,mean,r2,0.4921
7,density,0,r2,0.3732
7,density,1,r2,0.1766
7,density,2,r2,0.7696
7,density,3,r2,0.7022
7,density,mean,r2,0.5054
8,density,0,r2,0.423
8,density,1,r2,0.1878
8,density,2,r2,0.7837
8,density,3,r2,0.7237
8,density,mean,r2,0.5296
9,density,0,r2,0.4151
9,density,1,r2,0.1758
9,density,2,r2,0.7994
9,density,3,r2,0.7364
9,density,mean,r2,0.5317
10,density,0,r2,0.4198
10,density,1,r2,0.1901
10,density,2,r2,0.7727
10,density,3,r2,0.7002
10,density,mean,r2,0.5207
