epoch,family,target,metric,score
1,size,0,r2,0.6608
1,size,1,r2,0.2519
1,size,2,r2,0.3321
1,size,3,r2,0.4294
1,size,4,r2,0.4728
1,size,mean,r2,0.4294
2,size,0,r2,0.741
2,size,1,r2,0.3327
2,size,2,r2,0.4074
2,size,3,r2,0.4931
2,size,4,r2,0.539
2,size,mean,r2,0.5027
3,size,0,r2,0.7534
3,size,1,r2,0.3791
3,size,2,r2,0.4405
3,size,3,r2,0.5137
3,size,4,r2,0.5634
3,size,mean,r2,0.53
4,size,0,r2,0.7332
4,size,1,r2,0.3932
4,size,2,r2,0.4416
4,size,3,r2,0.4871
4,size,4,r2,0.5005
4,size,mean,r2,0.5111
5,size,0,r2,0.7655
5,size,1,r2,0.425
5,size,2,r2,0.4643
5,size,3,r2,0.5333
5,size,4,r2,0.6055
5,size,mean,r2,0.5587
6,size,0,r2,0.7275
6,size,1,r2,0.383
6,size,2,r2,0.4375
6,size,3,r2,0.5051
6,size,4,r2,0.4793
6,size,mean,r2,0.5065
7,size,0,r2,0.7742
7,size,1,r2,0.4126
7,size,2,r2,0.4401
7,size,3,r2,0.544
7,size,4,r2,0.6068
7,size,mean,r2,0.5555
8,size,0,r2,0.7599
8,size,1,r2,0.4367
8,size,2,r2,0.4772
8,size,3,r2,0.5454
8,size,4,r2,0.6052
8,size,mean,r2,0.5649
9,size,0,r2,0.7787
9,size,1,r2,0.3458
9,size,2,r2,0.4054
9,size,3,r2,0.4716
9,size,4,r2,0.6193
9,size,mean,r2,0.5242
10,size,0,r2,0.765
10,size,1,r2,0.4507
10,size,2,r2,0.4784
10,size,3,r2,0.5314
10,size,4,r2,0.5974
10,size,mean,r2,0.5646
