epoch,family,target,metric,score
1,disease,Medical material,auroc,0.9269
1,disease,Arterial wall calcification,auroc,0.9324
1,disease,Cardiomegaly,auroc,0.9243
1,disease,Pericardial effusion,auroc,0.8611
1,disease,Coronary artery wall calcification,auroc,0.9354
1,disease,Hiatal hernia,auroc,0.7129
1,disease,Lymphadenopathy,auroc,0.7487
1,disease,Emphysema,auroc,0.8067
1,disease,Atelectasis,auroc,0.8103
1,disease,Lung nodule,auroc,0.7384
1,disease,Lung opacity,auroc,0.8713
1,disease,Pulmonary fibrotic sequela,auroc,0.7432
1,disease,Pleural effusion,auroc,0.9659
1,disease,Mosaic attenuation pattern,auroc,0.8824
1,disease,Peribronchial thickening,auroc,0.8137
1,disease,Consolidation,auroc,0.9147
1,disease,Bronchiectasis,auroc,0.7949
1,disease,Interlobular septal thickening,auroc,0.8753
1,disease,macro,auroc,0.8477
1,disease,micro,auroc,0.8555
2,disease,Medical material,auroc,0.9268
2,disease,Arterial wall calcification,auroc,0.932
2,disease,Cardiomegaly,auroc,0.9244
2,disease,Pericardial effusion,auroc,0.8517
2,disease,Coronary artery wall calcification,auroc,0.9366
2,disease,Hiatal hernia,auroc,0.7095
2,disease,Lymphadenopathy,auroc,0.7633
2,disease,Emphysema,auroc,0.7979
2,disease,Atelectasis,auroc,0.8137
2,disease,Lung nodule,auroc,0.7391
2,disease,Lung opacity,auroc,0.8692
2,disease,Pulmonary fibrotic sequela,auroc,0.7335
2,disease,Pleural effusion,auroc,0.9675
2,disease,Mosaic attenuation pattern,auroc,0.8768
2,disease,Peribronchial thickening,auroc,0.8127
2,disease,Consolidation,auroc,0.9218
2,disease,Bronchiectasis,auroc,0.8083
2,disease,Interlobular septal thickening,auroc,0.8806
2,disease,macro,auroc,0.8481
2,disease,micro,auroc,0.8587
3,disease,Medical material,auroc,0.9268
3,disease,Arterial wall calcification,auroc,0.9278
3,disease,Cardiomegaly,auroc,0.922
3,disease,Pericardial effusion,auroc,0.8643
3,disease,Coronary artery wall calcification,auroc,0.9353
3,disease,Hiatal hernia,auroc,0.711
3,disease,Lymphadenopathy,auroc,0.7602
3,disease,Emphysema,auroc,0.8055
3,disease,Atelectasis,auroc,0.8127
3,disease,Lung nodule,auroc,0.7339
3,disease,Lung opacity,auroc,0.8713
3,disease,Pulmonary fibrotic sequela,auroc,0.7435
3,disease,Pleural effusion,auroc,0.9651
3,disease,Mosaic attenuation pattern,auroc,0.8854
3,disease,Peribronchial thickening,auroc,0.8093
3,disease,Consolidation,auroc,0.9204
3,disease,Bronchiectasis,auroc,0.8102
3,disease,Interlobular septal thickening,auroc,0.8833
3,disease,macro,auroc,0.8493
3,disease,micro,auroc,0.8565
4,disease,Medical material,auroc,0.9301
4,disease,Arterial wall calcification,auroc,0.9313
4,disease,Cardiomegaly,auroc,0.9276
4,disease,Pericardial effusion,auroc,0.8642
4,disease,Coronary artery wall calcification,auroc,0.9356
4,disease,Hiatal hernia,auroc,0.7143
4,disease,Lymphadenopathy,auroc,0.7617
4,disease,Emphysema,auroc,0.8051
4,disease,Atelectasis,auroc,0.8072
4,disease,Lung nodule,auroc,0.7386
4,disease,Lung opacity,auroc,0.8719
4,disease,Pulmonary fibrotic sequela,auroc,0.7504
4,disease,Pleural effusion,auroc,0.9668
4,disease,Mosaic attenuation pattern,auroc,0.8856
4,disease,Peribronchial thickening,auroc,0.8142
4,disease,Consolidation,auroc,0.9203
4,disease,Bronchiectasis,auroc,0.8105
4,disease,Interlobular septal thickening,auroc,0.8868
4,disease,macro,auroc,0.8512
4,disease,micro,auroc,0.8615
5,disease,Medical material,auroc,0.9271
5,disease,Arterial wall calcification,auroc,0.9319
5,disease,Cardiomegaly,auroc,0.9288
5,disease,Pericardial effusion,auroc,0.8671
5,disease,Coronary artery wall calcification,auroc,0.9361
5,disease,Hiatal hernia,auroc,0.7138
5,disease,Lymphadenopathy,auroc,0.7619
5,disease,Emphysema,auroc,0.8178
5,disease,Atelectasis,auroc,0.8148
5,disease,Lung nodule,auroc,0.7367
5,disease,Lung opacity,auroc,0.8732
5,disease,Pulmonary fibrotic sequela,auroc,0.7541
5,disease,Pleural effusion,auroc,0.9657
5,disease,Mosaic attenuation pattern,auroc,0.8901
