epoch,family,target,metric,score
1,location,0,r2,0.0839
1,location,1,r2,0.1148
1,location,2,r2,0.2471
1,location,mean,r2,0.1486
2,location,0,r2,0.1451
2,location,1,r2,0.1408
2,location,2,r2,0.3155
2,location,mean,r2,0.2005
3,location,0,r2,0.1273
3,location,1,r2,0.1233
3,location,2,r2,0.3048
3,location,mean,r2,0.1851
4,location,0,r2,0.1689
4,location,1,r2,0.1454
4,location,2,r2,0.3264
4,location,mean,r2,0.2136
5,location,0,r2,0.1826
5,location,1,r2,0.1495
5,location,2,r2,0.3327
5,location,mean,r2,0.2216
6,location,0,r2,0.2121
6,location,1,r2,0.1659
6,location,2,r2,0.3347
6,location,mean,r2,0.2375
7,location,0,r2,0.2059
7,location,1,r2,0.1492
7,location,2,r2,0.3364
7,location,mean,r2,0.2305
8,location,0,r2,0.1261
8,location,1,r2,0.1674
8,location,2,r2,0.3474
8,location,mean,r2,0.2136
9,location,0,r2,0.2246
9,location,1,r2,0.1355
9,location,2,r2,0.3161
9,location,mean,r2,0.2254
10,location,0,r2,0.2311
10,location,1,r2,0.1272
10,location,2,r2,0.3395
10,location,mean,r2,0.2326
