epoch,family,target,metric,score
1,size,0,r2,0.8197
1,size,1,r2,0.4773
1,size,2,r2,0.4304
1,size,3,r2,0.5788
1,size,4,r2,0.6402
1,size,mean,r2,0.5893
2,size,0,r2,0.8264
2,size,1,r2,0.5163
2,size,2,r2,0.4521
2,size,3,r2,0.5697
2,size,4,r2,0.6452
2,size,mean,r2,0.6019
3,size,0,r2,0.8441
3,size,1,r2,0.5285
3,size,2,r2,0.4628
3,size,3,r2,0.6095
3,size,4,r2,0.6732
3,size,mean,r2,0.6236
4,size,0,r2,0.839
4,size,1,r2,0.5214
4,size,2,r2,0.4532
4,size,3,r2,0.6061
4,size,4,r2,0.6833
4,size,mean,r2,0.6206
5,size,0,r2,0.8437
5,size,1,r2,0.532
5,size,2,r2,0.4628
5,size,3,r2,0.604
5,size,4,r2,0.6919
5,size,mean,r2,0.6269
6,size,0,r2,0.8444
6,size,1,r2,0.5442
6,size,2,r2,0.474
6,size,3,r2,0.6206
6,size,4,r2,0.6947
6,size,mean,r2,0.6356
7,size,0,r2,0.8468
7,size,1,r2,0.5385
7,size,2,r2,0.4664
7,size,3,r2,0.6145
7,size,4,r2,0.6779
7,size,mean,r2,0.6288
8,size,0,r2,0.8411
8,size,1,r2,0.5405
8,size,2,r2,0.4771
8,size,3,r2,0.6138
8,size,4,r2,0.6898
8,size,mean,r2,0.6325
9,size,0,r2,0.848
9,size,1,r2,0.5539
9,size,2,r2,0.4779
9,size,3,r2,0.5978
9,size,4,r2,0.6864
9,size,mean,r2,0.6328
10,size,0,r2,0.8531
10,size,1,r2,0.548
10,size,2,r2,0.4263
10,size,3,r2,0.6067
10,size,4,r2,0.7027
10,size,mean,r2,0.6273
