epoch,family,target,metric,score
1,density,0,r2,0.7526
1,density,1,r2,0.3126
1,density,2,r2,0.8758
1,density,3,r2,0.8687
1,density,mean,r2,0.7024
2,density,0,r2,0.7555
2,density,1,r2,0.3887
2,density,2,r2,0.872
2,density,3,r2,0.8691
2,density,mean,r2,0.7213
3,density,0,r2,0.787
3,density,1,r2,0.4025
3,density,2,r2,0.8791
3,density,3,r2,0.8875
3,density,mean,r2,0.739
4,density,0,r2,0.7848
4,density,1,r2,0.4463
4,density,2,r2,0.888
4,density,3,r2,0.8899
4,density,mean,r2,0.7522
5,density,0,r2,0.7855
5,density,1,r2,0.4404
5,density,2,r2,0.8914
5,density,3,r2,0.8987
5,density,mean,r2,0.754
6,density,0,r2,0.7932
6,density,1,r2,0.5065
6,density,2,r2,0.9073
6,density,3,r2,0.8977
6,density,mean,r2,0.7762
7,density,0,r2,0.7899
7,density,1,r2,0.5039
7,density,2,r2,0.8979
7,density,3,r2,0.8913
7,density,mean,r2,0.7707
8,density,0,r2,0.7784
8,density,1,r2,0.5329
8,density,2,r2,0.9056
8,density,3,r2,0.9041
8,density,mean,r2,0.7802
9,density,0,r2,0.799
9,density,1,r2,0.5468
9,density,2,r2,0.9132
9,density,3,r2,0.8975
9,density,mean,r2,0.7891
10,density,0,r2,0.7761
10,density,1,r2,0.5742
10,density,2,r2,0.9061
10,density,3,r2,0.9015
10,density,mean,r2,0.7895
