epoch,family,target,metric,score
1,radiomics,0,r2,0.8524
1,radiomics,1,r2,0.1678
1,radiomics,2,r2,0.7711
1,radiomics,mean,r2,0.5971
2,radiomics,0,r2,0.8926
2,radiomics,1,r2,0.1967
2,radiomics,2,r2,0.7876
2,radiomics,mean,r2,0.6257
3,radiomics,0,r2,0.8898
3,radiomics,1,r2,0.2123
3,radiomics,2,r2,0.784
3,radiomics,mean,r2,0.6287
4,radiomics,0,r2,0.8881
4,radiomics,1,r2,0.2084
4,radiomics,2,r2,0.7777
4,radiomics,mean,r2,0.6247
5,radiomics,0,r2,0.9019
5,radiomics,1,r2,0.2288
5,radiomics,2,r2,0.8113
5,radiomics,mean,r2,0.6473
6,radiomics,0,r2,0.8988
6,radiomics,1,r2,0.2339
6,radiomics,2,r2,0.8228
6,radiomics,mean,r2,0.6518
7,radiomics,0,r2,0.8998
7,radiomics,1,r2,0.2551
7,radiomics,2,r2,0.8296
7,radiomics,mean,r2,0.6615
8,radiomics,0,r2,0.8944
8,radiomics,1,r2,0.2432
8,radiomics,2,r2,0.8257
8,radiomics,mean,r2,0.6544
9,radiomics,0,r2,0.9012
9,radiomics,1,r2,0.2035
9,radiomics,2,r2,0.8385
9,radiomics,mean,r2,0.6477
10,radiomics,0,r2,0.9014
10,radiomics,1,r2,0.2718
10,radiomics,2,r2,0.8238
10,radiomics,mean,r2,0.6657
