epoch,family,target,metric,score
1,density,0,r2,0.8197
1,density,1,r2,0.6856
1,density,2,r2,0.8965
1,density,3,r2,0.8933
1,density,mean,r2,0.8238
2,density,0,r2,0.8445
2,density,1,r2,0.7888
2,density,2,r2,0.9011
2,density,3,r2,0.9024
2,density,mean,r2,0.8592
3,density,0,r2,0.8518
3,density,1,r2,0.8076
3,density,2,r2,0.9304
3,density,3,r2,0.9176
3,density,mean,r2,0.8768
4,density,0,r2,0.8631
4,density,1,r2,0.8212
4,density,2,r2,0.9304
4,density,3,r2,0.925
4,density,mean,r2,0.8849
5,density,0,r2,0.8303
5,density,1,r2,0.8356
5,density,2,r2,0.9356
5,density,3,r2,0.9314
5,density,mean,r2,0.8832
6,density,0,r2,0.8595
6,density,1,r2,0.8541
6,density,2,r2,0.9376
6,density,3,r2,0.9275
6,density,mean,r2,0.8947
7,density,0,r2,0.8676
7,density,1,r2,0.8628
7,density,2,r2,0.94
7,density,3,r2,0.9307
7,density,mean,r2,0.9003
8,density,0,r2,0.8721
8,density,1,r2,0.8643
8,density,2,r2,0.9449
8,density,3,r2,0.9351
8,density,mean,r2,0.9041
9,density,0,r2,0.8668
9,density,1,r2,0.8684
9,density,2,r2,0.9322
9,density,3,r2,0.9339
9,density,mean,r2,0.9003
10,density,0,r2,0.8777
10,density,1,r2,0.8554
10,density,2,r2,0.9239
10,density,3,r2,0.9247
10,density,mean,r2,0.8954
