epoch,family,target,metric,score
1,disease,Medical material,auroc,0.9231
1,disease,Arterial wall calcification,auroc,0.9325
1,disease,Cardiomegaly,auroc,0.9227
1,disease,Pericardial effusion,auroc,0.8579
1,disease,Coronary artery wall calcification,auroc,0.9337
1,disease,Hiatal hernia,auroc,0.7103
1,disease,Lymphadenopathy,auroc,0.7496
1,disease,Emphysema,auroc,0.8037
1,disease,Atelectasis,auroc,0.807
1,disease,Lung nodule,auroc,0.7341
1,disease,Lung opacity,auroc,0.8692
1,disease,Pulmonary fibrotic sequela,auroc,0.7387
1,disease,Pleural effusion,auroc,0.9642
1,disease,Mosaic attenuation pattern,auroc,0.8806
1,disease,Peribronchial thickening,auroc,0.8145
1,disease,Consolidation,auroc,0.9115
1,disease,Bronchiectasis,auroc,0.7964
1,disease,Interlobular septal thickening,auroc,0.8737
1,disease,macro,auroc,0.8457
1,disease,micro,auroc,0.8529
2,disease,Medical material,auroc,0.9216
2,disease,Arterial wall calcification,auroc,0.9328
2,disease,Cardiomegaly,auroc,0.925
2,disease,Pericardial effusion,auroc,0.8528
2,disease,Coronary artery wall calcification,auroc,0.935
2,disease,Hiatal hernia,auroc,0.709
2,disease,Lymphadenopathy,auroc,0.7605
2,disease,Emphysema,auroc,0.7954
2,disease,Atelectasis,auroc,0.8104
2,disease,Lung nodule,auroc,0.7351
2,disease,Lung opacity,auroc,0.871
2,disease,Pulmonary fibrotic sequela,auroc,0.733
2,disease,Pleural effusion,auroc,0.9667
2,disease,Mosaic attenuation pattern,auroc,0.8739
2,disease,Peribronchial thickening,auroc,0.8114
2,disease,Consolidation,auroc,0.9195
2,disease,Bronchiectasis,auroc,0.807
2,disease,Interlobular septal thickening,auroc,0.8768
2,disease,macro,auroc,0.8465
2,disease,micro,auroc,0.8563
3,disease,Medical material,auroc,0.9218
3,disease,Arterial wall calcification,auroc,0.9291
3,disease,Cardiomegaly,auroc,0.9211
3,disease,Pericardial effusion,auroc,0.8621
3,disease,Coronary artery wall calcification,auroc,0.9346
3,disease,Hiatal hernia,auroc,0.7149
3,disease,Lymphadenopathy,auroc,0.7606
3,disease,Emphysema,auroc,0.8045
3,disease,Atelectasis,auroc,0.8116
3,disease,Lung nodule,auroc,0.7274
