epoch,family,target,metric,score
1,location,0,r2,0.0968
1,location,1,r2,0.1279
1,location,2,r2,0.2882
1,location,mean,r2,0.171
2,location,0,r2,0.1627
2,location,1,r2,0.1583
2,location,2,r2,0.3139
2,location,mean,r2,0.2116
3,location,0,r2,0.1657
3,location,1,r2,0.1142
3,location,2,r2,0.2871
3,location,mean,r2,0.189
4,location,0,r2,0.1711
4,location,1,r2,0.1614
4,location,2,r2,0.3207
4,location,mean,r2,0.2178
5,location,0,r2,0.1962
5,location,1,r2,0.188
5,location,2,r2,0.328
5,location,mean,r2,0.2374
6,location,0,r2,0.1818
6,location,1,r2,0.1659
6,location,2,r2,0.3202
6,location,mean,r2,0.2226
7,location,0,r2,0.1889
7,location,1,r2,0.2063
7,location,2,r2,0.3268
7,location,mean,r2,0.2407
8,location,0,r2,0.1014
8,location,1,r2,0.214
8,location,2,r2,0.3282
8,location,mean,r2,0.2145
9,location,0,r2,0.1553
9,location,1,r2,0.2035
9,location,2,r2,0.3284
9,location,mean,r2,0.2291
10,location,0,r2,0.1972
10,location,1,r2,0.1777
10,location,2,r2,0.3376
10,location,mean,r2,0.2375
