epoch,family,target,metric,score
1,radiomics,0,r2,0.8988
1,radiomics,1,r2,0.2823
1,radiomics,2,r2,0.8196
1,radiomics,mean,r2,0.6669
2,radiomics,0,r2,0.8889
2,radiomics,1,r2,0.3652
2,radiomics,2,r2,0.8306
2,radiomics,mean,r2,0.6949
3,radiomics,0,r2,0.9056
3,radiomics,1,r2,0.3989
3,radiomics,2,r2,0.8526
3,radiomics,mean,r2,0.719
4,radiomics,0,r2,0.9068
4,radiomics,1,r2,0.3962
4,radiomics,2,r2,0.8589
4,radiomics,mean,r2,0.7207
5,radiomics,0,r2,0.9149
5,radiomics,1,r2,0.396
5,radiomics,2,r2,0.8784
5,radiomics,mean,r2,0.7298
6,radiomics,0,r2,0.891
6,radiomics,1,r2,0.4215
6,radiomics,2,r2,0.8709
6,radiomics,mean,r2,0.7278
7,radiomics,0,r2,0.9096
7,radiomics,1,r2,0.4885
7,radiomics,2,r2,0.8797
7,radiomics,mean,r2,0.7593
8,radiomics,0,r2,0.9176
8,radiomics,1,r2,0.43
8,radiomics,2,r2,0.8764
8,radiomics,mean,r2,0.7413
9,radiomics,0,r2,0.915
9,radiomics,1,r2,0.403
9,radiomics,2,r2,0.8929
9,radiomics,mean,r2,0.737
10,radiomics,0,r2,0.927
10,radiomics,1,r2,0.4157
10,radiomics,2,r2,0.895
10,radiomics,mean,r2,0.7459
