epoch,family,target,metric,score
1,size,0,r2,0.8311
1,size,1,r2,0.5528
1,size,2,r2,0.4919
1,size,3,r2,0.612
1,size,4,r2,0.6423
1,size,mean,r2,0.626
2,size,0,r2,0.8624
2,size,1,r2,0.5945
2,size,2,r2,0.5077
2,size,3,r2,0.631
2,size,4,r2,0.6906
2,size,mean,r2,0.6573
3,size,0,r2,0.8577
3,size,1,r2,0.6046
3,size,2,r2,0.513
3,size,3,r2,0.6318
3,size,4,r2,0.6938
3,size,mean,r2,0.6602
4,size,0,r2,0.8643
4,size,1,r2,0.6217
4,size,2,r2,0.5094
4,size,3,r2,0.6599
4,size,4,r2,0.7206
4,size,mean,r2,0.6752
5,size,0,r2,0.8618
5,size,1,r2,0.6233
5,size,2,r2,0.5244
5,size,3,r2,0.6464
5,size,4,r2,0.7284
5,size,mean,r2,0.6769
6,size,0,r2,0.8713
6,size,1,r2,0.6321
6,size,2,r2,0.536
6,size,3,r2,0.6485
6,size,4,r2,0.7265
6,size,mean,r2,0.6829
7,size,0,r2,0.8624
7,size,1,r2,0.6375
7,size,2,r2,0.5302
7,size,3,r2,0.6601
7,size,4,r2,0.729
7,size,mean,r2,0.6838
8,size,0,r2,0.8628
8,size,1,r2,0.6303
8,size,2,r2,0.5326
8,size,3,r2,0.6614
8,size,4,r2,0.7303
8,size,mean,r2,0.6835
9,size,0,r2,0.8828
9,size,1,r2,0.6462
9,size,2,r2,0.5404
9,size,3,r2,0.6645
9,size,4,r2,0.7328
9,size,mean,r2,0.6933
10,size,0,r2,0.8864
10,size,1,r2,0.649
10,size,2,r2,0.5206
10,size,3,r2,0.6632
10,size,4,r2,0.7443
10,size,mean,r2,0.6927
