epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.6643
1,2026,density_merlin,1,r2,0.8535
1,2026,density_merlin,2,r2,0.166
1,2026,density_merlin,mean,r2,0.5613
2,2026,density_merlin,0,r2,0.7125
2,2026,density_merlin,1,r2,0.9139
2,2026,density_merlin,2,r2,0.396
2,2026,density_merlin,mean,r2,0.6742
3,2026,density_merlin,0,r2,0.7286
3,2026,density_merlin,1,r2,0.9211
3,2026,density_merlin,2,r2,0.4157
3,2026,density_merlin,mean,r2,0.6885
4,2026,density_merlin,0,r2,0.7754
4,2026,density_merlin,1,r2,0.9414
4,2026,density_merlin,2,r2,0.4584
4,2026,density_merlin,mean,r2,0.7251
5,2026,density_merlin,0,r2,0.7794
5,2026,density_merlin,1,r2,0.945
5,2026,density_merlin,2,r2,0.3676
5,2026,density_merlin,mean,r2,0.6973
6,2026,density_merlin,0,r2,0.7798
6,2026,density_merlin,1,r2,0.9408
6,2026,density_merlin,2,r2,0.5563
6,2026,density_merlin,mean,r2,0.759
7,2026,density_merlin,0,r2,0.7858
7,2026,density_merlin,1,r2,0.9474
7,2026,density_merlin,2,r2,0.5802
7,2026,density_merlin,mean,r2,0.7711
8,2026,density_merlin,0,r2,0.7744
8,2026,density_merlin,1,r2,0.9377
8,2026,density_merlin,2,r2,0.5977
8,2026,density_merlin,mean,r2,0.7699
9,2026,density_merlin,0,r2,0.802
9,2026,density_merlin,1,r2,0.9558
9,2026,density_merlin,2,r2,0.6097
9,2026,density_merlin,mean,r2,0.7892
10,2026,density_merlin,0,r2,0.7889
10,2026,density_merlin,1,r2,0.9539
10,2026,density_merlin,2,r2,0.6144
10,2026,density_merlin,mean,r2,0.7857
11,2026,density_merlin,0,r2,0.7925
11,2026,density_merlin,1,r2,0.9576
11,2026,density_merlin,2,r2,0.6296
11,2026,density_merlin,mean,r2,0.7932
12,2026,density_merlin,0,r2,0.7807
12,2026,density_merlin,1,r2,0.9357
12,2026,density_merlin,2,r2,0.6255
12,2026,density_merlin,mean,r2,0.7806
13,2026,density_merlin,0,r2,0.8058
13,2026,density_merlin,1,r2,0.9432
13,2026,density_merlin,2,r2,0.639
13,2026,density_merlin,mean,r2,0.796
14,2026,density_merlin,0,r2,0.8075
14,2026,density_merlin,1,r2,0.9557
14,2026,density_merlin,2,r2,0.6472
14,2026,density_merlin,mean,r2,0.8034
15,2026,density_merlin,0,r2,0.7732
15,2026,density_merlin,1,r2,0.9478
15,2026,density_merlin,2,r2,0.6249
15,2026,density_merlin,mean,r2,0.782
16,2026,density_merlin,0,r2,0.8058
16,2026,density_merlin,1,r2,0.9444
16,2026,density_merlin,2,r2,0.6618
16,2026,density_merlin,mean,r2,0.804
17,2026,density_merlin,0,r2,0.797
17,2026,density_merlin,1,r2,0.9594
17,2026,density_merlin,2,r2,0.6389
17,2026,density_merlin,mean,r2,0.7985
18,2026,density_merlin,0,r2,0.7916
18,2026,density_merlin,1,r2,0.9599
18,2026,density_merlin,2,r2,0.616
18,2026,density_merlin,mean,r2,0.7891
19,2026,density_merlin,0,r2,0.7806
19,2026,density_merlin,1,r2,0.9567
19,2026,density_merlin,2,r2,0.632
19,2026,density_merlin,mean,r2,0.7898
20,2026,density_merlin,0,r2,0.8011
20,2026,density_merlin,1,r2,0.9604
20,2026,density_merlin,2,r2,0.6505
20,2026,density_merlin,mean,r2,0.804
21,2026,density_merlin,0,r2,0.778
21,2026,density_merlin,1,r2,0.9594
21,2026,density_merlin,2,r2,0.6483
21,2026,density_merlin,mean,r2,0.7952
22,2026,density_merlin,0,r2,0.7887
22,2026,density_merlin,1,r2,0.9578
22,2026,density_merlin,2,r2,0.66
22,2026,density_merlin,mean,r2,0.8022
23,2026,density_merlin,0,r2,0.7953
23,2026,density_merlin,1,r2,0.9587
23,2026,density_merlin,2,r2,0.652
23,2026,density_merlin,mean,r2,0.802
24,2026,density_merlin,0,r2,0.8002
24,2026,density_merlin,1,r2,0.9481
24,2026,density_merlin,2,r2,0.669
24,2026,density_merlin,mean,r2,0.8058
25,2026,density_merlin,0,r2,0.8004
25,2026,density_merlin,1,r2,0.961
25,2026,density_merlin,2,r2,0.6596
25,2026,density_merlin,mean,r2,0.807
26,2026,density_merlin,0,r2,0.7969
26,2026,density_merlin,1,r2,0.9537
26,2026,density_merlin,2,r2,0.6477
26,2026,density_merlin,mean,r2,0.7994
27,2026,density_merlin,0,r2,0.8058
27,2026,density_merlin,1,r2,0.9626
27,2026,density_merlin,2,r2,0.5973
27,2026,density_merlin,mean,r2,0.7885
28,2026,density_merlin,0,r2,0.7817
28,2026,density_merlin,1,r2,0.9601
28,2026,density_merlin,2,r2,0.6547
28,2026,density_merlin,mean,r2,0.7988
29,2026,density_merlin,0,r2,0.8031
29,2026,density_merlin,1,r2,0.9613
29,2026,density_merlin,2,r2,0.6646
29,2026,density_merlin,mean,r2,0.8097
30,2026,density_merlin,0,r2,0.7993
30,2026,density_merlin,1,r2,0.9601
30,2026,density_merlin,2,r2,0.6633
30,2026,density_merlin,mean,r2,0.8076
31,2026,density_merlin,0,r2,0.7731
31,2026,density_merlin,1,r2,0.9606
31,2026,density_merlin,2,r2,0.6647
31,2026,density_merlin,mean,r2,0.7995
32,2026,density_merlin,0,r2,0.7616
32,2026,density_merlin,1,r2,0.9596
32,2026,density_merlin,2,r2,0.6618
32,2026,density_merlin,mean,r2,0.7943
33,2026,density_merlin,0,r2,0.804
33,2026,density_merlin,1,r2,0.962
33,2026,density_merlin,2,r2,0.6579
33,2026,density_merlin,mean,r2,0.808
34,2026,density_merlin,0,r2,0.8057
34,2026,density_merlin,1,r2,0.9623
34,2026,density_merlin,2,r2,0.6693
34,2026,density_merlin,mean,r2,0.8124
35,2026,density_merlin,0,r2,0.7847
35,2026,density_merlin,1,r2,0.9624
35,2026,density_merlin,2,r2,0.6455
35,2026,density_merlin,mean,r2,0.7975
36,2026,density_merlin,0,r2,0.7919
36,2026,density_merlin,1,r2,0.9623
36,2026,density_merlin,2,r2,0.6594
36,2026,density_merlin,mean,r2,0.8046
37,2026,density_merlin,0,r2,0.8063
37,2026,density_merlin,1,r2,0.9607
37,2026,density_merlin,2,r2,0.6635
37,2026,density_merlin,mean,r2,0.8102
38,2026,density_merlin,0,r2,0.7947
38,2026,density_merlin,1,r2,0.9609
38,2026,density_merlin,2,r2,0.6513
38,2026,density_merlin,mean,r2,0.8023
39,2026,density_merlin,0,r2,0.7958
39,2026,density_merlin,1,r2,0.9622
39,2026,density_merlin,2,r2,0.6714
39,2026,density_merlin,mean,r2,0.8098
40,2026,density_merlin,0,r2,0.7995
40,2026,density_merlin,1,r2,0.9519
40,2026,density_merlin,2,r2,0.6647
40,2026,density_merlin,mean,r2,0.8054
