epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.4359
1,2026,location_merlin,1,r2,0.3116
1,2026,location_merlin,2,r2,0.1535
1,2026,location_merlin,mean,r2,0.3004
2,2026,location_merlin,0,r2,0.4894
2,2026,location_merlin,1,r2,0.4011
2,2026,location_merlin,2,r2,0.1857
2,2026,location_merlin,mean,r2,0.3587
3,2026,location_merlin,0,r2,0.5901
3,2026,location_merlin,1,r2,0.5575
3,2026,location_merlin,2,r2,0.1976
3,2026,location_merlin,mean,r2,0.4484
4,2026,location_merlin,0,r2,0.5928
4,2026,location_merlin,1,r2,0.6532
4,2026,location_merlin,2,r2,0.1677
4,2026,location_merlin,mean,r2,0.4712
5,2026,location_merlin,0,r2,0.6177
5,2026,location_merlin,1,r2,0.6662
5,2026,location_merlin,2,r2,0.1372
5,2026,location_merlin,mean,r2,0.4737
6,2026,location_merlin,0,r2,0.6089
6,2026,location_merlin,1,r2,0.6763
6,2026,location_merlin,2,r2,0.209
6,2026,location_merlin,mean,r2,0.4981
7,2026,location_merlin,0,r2,0.6366
7,2026,location_merlin,1,r2,0.6905
7,2026,location_merlin,2,r2,0.3308
7,2026,location_merlin,mean,r2,0.5527
8,2026,location_merlin,0,r2,0.6229
8,2026,location_merlin,1,r2,0.6964
8,2026,location_merlin,2,r2,0.3477
8,2026,location_merlin,mean,r2,0.5557
9,2026,location_merlin,0,r2,0.6554
9,2026,location_merlin,1,r2,0.6394
9,2026,location_merlin,2,r2,0.3766
9,2026,location_merlin,mean,r2,0.5571
10,2026,location_merlin,0,r2,0.6652
10,2026,location_merlin,1,r2,0.7014
10,2026,location_merlin,2,r2,0.4014
10,2026,location_merlin,mean,r2,0.5893
11,2026,location_merlin,0,r2,0.672
11,2026,location_merlin,1,r2,0.725
11,2026,location_merlin,2,r2,0.375
11,2026,location_merlin,mean,r2,0.5907
12,2026,location_merlin,0,r2,0.6748
12,2026,location_merlin,1,r2,0.7178
12,2026,location_merlin,2,r2,0.4153
12,2026,location_merlin,mean,r2,0.6027
13,2026,location_merlin,0,r2,0.6703
13,2026,location_merlin,1,r2,0.7315
13,2026,location_merlin,2,r2,0.3924
13,2026,location_merlin,mean,r2,0.5981
14,2026,location_merlin,0,r2,0.6823
14,2026,location_merlin,1,r2,0.736
14,2026,location_merlin,2,r2,0.4088
14,2026,location_merlin,mean,r2,0.609
15,2026,location_merlin,0,r2,0.6898
15,2026,location_merlin,1,r2,0.737
15,2026,location_merlin,2,r2,0.4343
15,2026,location_merlin,mean,r2,0.6204
16,2026,location_merlin,0,r2,0.6444
16,2026,location_merlin,1,r2,0.7196
16,2026,location_merlin,2,r2,0.4319
16,2026,location_merlin,mean,r2,0.5986
17,2026,location_merlin,0,r2,0.6987
