epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.5875
1,2026,density_merlin,1,r2,0.7551
1,2026,density_merlin,2,r2,0.1821
1,2026,density_merlin,mean,r2,0.5082
2,2026,density_merlin,0,r2,0.6498
2,2026,density_merlin,1,r2,0.8038
2,2026,density_merlin,2,r2,0.2878
2,2026,density_merlin,mean,r2,0.5805
3,2026,density_merlin,0,r2,0.6643
3,2026,density_merlin,1,r2,0.8313
3,2026,density_merlin,2,r2,0.3139
3,2026,density_merlin,mean,r2,0.6032
4,2026,density_merlin,0,r2,0.6516
4,2026,density_merlin,1,r2,0.8414
4,2026,density_merlin,2,r2,0.3442
4,2026,density_merlin,mean,r2,0.6124
5,2026,density_merlin,0,r2,0.6996
5,2026,density_merlin,1,r2,0.855
5,2026,density_merlin,2,r2,0.329
5,2026,density_merlin,mean,r2,0.6279
6,2026,density_merlin,0,r2,0.7042
6,2026,density_merlin,1,r2,0.8458
6,2026,density_merlin,2,r2,0.3783
6,2026,density_merlin,mean,r2,0.6428
7,2026,density_merlin,0,r2,0.7015
7,2026,density_merlin,1,r2,0.8114
7,2026,density_merlin,2,r2,0.3253
7,2026,density_merlin,mean,r2,0.6127
8,2026,density_merlin,0,r2,0.709
8,2026,density_merlin,1,r2,0.8482
8,2026,density_merlin,2,r2,0.3751
8,2026,density_merlin,mean,r2,0.6441
9,2026,density_merlin,0,r2,0.7058
9,2026,density_merlin,1,r2,0.8502
9,2026,density_merlin,2,r2,0.3969
9,2026,density_merlin,mean,r2,0.651
10,2026,density_merlin,0,r2,0.713
10,2026,density_merlin,1,r2,0.8556
10,2026,density_merlin,2,r2,0.3898
10,2026,density_merlin,mean,r2,0.6528
11,2026,density_merlin,0,r2,0.7133
11,2026,density_merlin,1,r2,0.8735
11,2026,density_merlin,2,r2,0.4246
11,2026,density_merlin,mean,r2,0.6705
12,2026,density_merlin,0,r2,0.6894
12,2026,density_merlin,1,r2,0.8627
12,2026,density_merlin,2,r2,0.4266
12,2026,density_merlin,mean,r2,0.6596
13,2026,density_merlin,0,r2,0.7028
13,2026,density_merlin,1,r2,0.8652
13,2026,density_merlin,2,r2,0.4385
13,2026,density_merlin,mean,r2,0.6688
14,2026,density_merlin,0,r2,0.6966
14,2026,density_merlin,1,r2,0.8702
14,2026,density_merlin,2,r2,0.434
14,2026,density_merlin,mean,r2,0.6669
15,2026,density_merlin,0,r2,0.7142
15,2026,density_merlin,1,r2,0.8749
15,2026,density_merlin,2,r2,0.4373
15,2026,density_merlin,mean,r2,0.6754
16,2026,density_merlin,0,r2,0.6996
16,2026,density_merlin,1,r2,0.8536
16,2026,density_merlin,2,r2,0.4094
16,2026,density_merlin,mean,r2,0.6542
17,2026,density_merlin,0,r2,0.7178
17,2026,density_merlin,1,r2,0.8719
17,2026,density_merlin,2,r2,0.4617
17,2026,density_merlin,mean,r2,0.6838
18,2026,density_merlin,0,r2,0.717
18,2026,density_merlin,1,r2,0.8815
18,2026,density_merlin,2,r2,0.452
18,2026,density_merlin,mean,r2,0.6835
19,2026,density_merlin,0,r2,0.7023
19,2026,density_merlin,1,r2,0.8762
19,2026,density_merlin,2,r2,0.385
19,2026,density_merlin,mean,r2,0.6545
20,2026,density_merlin,0,r2,0.6959
20,2026,density_merlin,1,r2,0.8705
20,2026,density_merlin,2,r2,0.4438
20,2026,density_merlin,mean,r2,0.67
21,2026,density_merlin,0,r2,0.7031
21,2026,density_merlin,1,r2,0.8755
21,2026,density_merlin,2,r2,0.4629
21,2026,density_merlin,mean,r2,0.6805
22,2026,density_merlin,0,r2,0.7127
22,2026,density_merlin,1,r2,0.8642
22,2026,density_merlin,2,r2,0.4779
22,2026,density_merlin,mean,r2,0.6849
23,2026,density_merlin,0,r2,0.6872
23,2026,density_merlin,1,r2,0.8763
23,2026,density_merlin,2,r2,0.4571
23,2026,density_merlin,mean,r2,0.6735
24,2026,density_merlin,0,r2,0.7068
24,2026,density_merlin,1,r2,0.8792
24,2026,density_merlin,2,r2,0.4702
24,2026,density_merlin,mean,r2,0.6854
25,2026,density_merlin,0,r2,0.7122
25,2026,density_merlin,1,r2,0.8827
25,2026,density_merlin,2,r2,0.4537
25,2026,density_merlin,mean,r2,0.6829
26,2026,density_merlin,0,r2,0.7214
26,2026,density_merlin,1,r2,0.8873
26,2026,density_merlin,2,r2,0.4493
26,2026,density_merlin,mean,r2,0.686
27,2026,density_merlin,0,r2,0.7229
27,2026,density_merlin,1,r2,0.8879
27,2026,density_merlin,2,r2,0.4668
27,2026,density_merlin,mean,r2,0.6925
28,2026,density_merlin,0,r2,0.7181
28,2026,density_merlin,1,r2,0.8808
28,2026,density_merlin,2,r2,0.4723
28,2026,density_merlin,mean,r2,0.6904
29,2026,density_merlin,0,r2,0.6909
29,2026,density_merlin,1,r2,0.8586
29,2026,density_merlin,2,r2,0.3327
29,2026,density_merlin,mean,r2,0.6274
30,2026,density_merlin,0,r2,0.7164
30,2026,density_merlin,1,r2,0.8854
30,2026,density_merlin,2,r2,0.4784
30,2026,density_merlin,mean,r2,0.6934
31,2026,density_merlin,0,r2,0.6941
31,2026,density_merlin,1,r2,0.8866
31,2026,density_merlin,2,r2,0.4735
31,2026,density_merlin,mean,r2,0.6847
32,2026,density_merlin,0,r2,0.7177
32,2026,density_merlin,1,r2,0.8788
32,2026,density_merlin,2,r2,0.4698
32,2026,density_merlin,mean,r2,0.6888
33,2026,density_merlin,0,r2,0.7163
33,2026,density_merlin,1,r2,0.8654
33,2026,density_merlin,2,r2,0.463
33,2026,density_merlin,mean,r2,0.6816
34,2026,density_merlin,0,r2,0.7049
34,2026,density_merlin,1,r2,0.8808
34,2026,density_merlin,2,r2,0.4532
34,2026,density_merlin,mean,r2,0.6796
35,2026,density_merlin,0,r2,0.7141
35,2026,density_merlin,1,r2,0.8831
35,2026,density_merlin,2,r2,0.4725
35,2026,density_merlin,mean,r2,0.6899
36,2026,density_merlin,0,r2,0.715
36,2026,density_merlin,1,r2,0.8805
36,2026,density_merlin,2,r2,0.4709
36,2026,density_merlin,mean,r2,0.6888
37,2026,density_merlin,0,r2,0.7212
37,2026,density_merlin,1,r2,0.8834
37,2026,density_merlin,2,r2,0.4572
37,2026,density_merlin,mean,r2,0.6873
38,2026,density_merlin,0,r2,0.7221
38,2026,density_merlin,1,r2,0.88
38,2026,density_merlin,2,r2,0.4776
38,2026,density_merlin,mean,r2,0.6933
39,2026,density_merlin,0,r2,0.7159
39,2026,density_merlin,1,r2,0.8748
39,2026,density_merlin,2,r2,0.4783
39,2026,density_merlin,mean,r2,0.6897
40,2026,density_merlin,0,r2,0.7216
40,2026,density_merlin,1,r2,0.8789
40,2026,density_merlin,2,r2,0.4743
40,2026,density_merlin,mean,r2,0.6916
