epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.1578
1,2026,location_merlin,1,r2,0.0767
1,2026,location_merlin,2,r2,0.157
1,2026,location_merlin,mean,r2,0.1305
2,2026,location_merlin,0,r2,0.3045
2,2026,location_merlin,1,r2,0.0919
2,2026,location_merlin,2,r2,0.174
2,2026,location_merlin,mean,r2,0.1901
3,2026,location_merlin,0,r2,0.3652
3,2026,location_merlin,1,r2,0.1033
3,2026,location_merlin,2,r2,0.1572
3,2026,location_merlin,mean,r2,0.2086
4,2026,location_merlin,0,r2,0.3989
4,2026,location_merlin,1,r2,0.1084
4,2026,location_merlin,2,r2,0.2035
4,2026,location_merlin,mean,r2,0.2369
5,2026,location_merlin,0,r2,0.4222
5,2026,location_merlin,1,r2,0.1106
5,2026,location_merlin,2,r2,0.1798
5,2026,location_merlin,mean,r2,0.2375
6,2026,location_merlin,0,r2,0.4288
6,2026,location_merlin,1,r2,0.1287
6,2026,location_merlin,2,r2,0.2299
6,2026,location_merlin,mean,r2,0.2625
7,2026,location_merlin,0,r2,0.4579
7,2026,location_merlin,1,r2,0.1423
7,2026,location_merlin,2,r2,0.2242
7,2026,location_merlin,mean,r2,0.2748
8,2026,location_merlin,0,r2,0.4529
8,2026,location_merlin,1,r2,0.1458
8,2026,location_merlin,2,r2,0.2157
8,2026,location_merlin,mean,r2,0.2715
9,2026,location_merlin,0,r2,0.3944
9,2026,location_merlin,1,r2,0.1725
9,2026,location_merlin,2,r2,0.2216
9,2026,location_merlin,mean,r2,0.2628
10,2026,location_merlin,0,r2,0.4515
10,2026,location_merlin,1,r2,0.1669
10,2026,location_merlin,2,r2,0.2598
10,2026,location_merlin,mean,r2,0.2927
11,2026,location_merlin,0,r2,0.4381
11,2026,location_merlin,1,r2,0.1216
11,2026,location_merlin,2,r2,0.2671
11,2026,location_merlin,mean,r2,0.2756
12,2026,location_merlin,0,r2,0.4602
12,2026,location_merlin,1,r2,0.1881
12,2026,location_merlin,2,r2,0.2696
12,2026,location_merlin,mean,r2,0.3059
13,2026,location_merlin,0,r2,0.4659
13,2026,location_merlin,1,r2,0.1964
13,2026,location_merlin,2,r2,0.2764
13,2026,location_merlin,mean,r2,0.3129
14,2026,location_merlin,0,r2,0.467
14,2026,location_merlin,1,r2,0.1182
14,2026,location_merlin,2,r2,0.2532
14,2026,location_merlin,mean,r2,0.2795
15,2026,location_merlin,0,r2,0.4638
15,2026,location_merlin,1,r2,0.1975
15,2026,location_merlin,2,r2,0.2748
15,2026,location_merlin,mean,r2,0.312
16,2026,location_merlin,0,r2,0.4801
16,2026,location_merlin,1,r2,0.1967
16,2026,location_merlin,2,r2,0.2845
16,2026,location_merlin,mean,r2,0.3204
17,2026,location_merlin,0,r2,0.4908
17,2026,location_merlin,1,r2,0.2096
17,2026,location_merlin,2,r2,0.2676
17,2026,location_merlin,mean,r2,0.3227
18,2026,location_merlin,0,r2,0.4955
18,2026,location_merlin,1,r2,0.2192
18,2026,location_merlin,2,r2,0.2719
18,2026,location_merlin,mean,r2,0.3289
19,2026,location_merlin,0,r2,0.4753
19,2026,location_merlin,1,r2,0.2059
19,2026,location_merlin,2,r2,0.2665
19,2026,location_merlin,mean,r2,0.3159
20,2026,location_merlin,0,r2,0.4939
20,2026,location_merlin,1,r2,0.2156
20,2026,location_merlin,2,r2,0.2503
20,2026,location_merlin,mean,r2,0.3199
21,2026,location_merlin,0,r2,0.4917
21,2026,location_merlin,1,r2,0.212
21,2026,location_merlin,2,r2,0.2867
21,2026,location_merlin,mean,r2,0.3301
22,2026,location_merlin,0,r2,0.4618
22,2026,location_merlin,1,r2,0.2081
22,2026,location_merlin,2,r2,0.2879
22,2026,location_merlin,mean,r2,0.3193
23,2026,location_merlin,0,r2,0.4498
23,2026,location_merlin,1,r2,0.1975
23,2026,location_merlin,2,r2,0.2833
23,2026,location_merlin,mean,r2,0.3102
24,2026,location_merlin,0,r2,0.4964
24,2026,location_merlin,1,r2,0.2378
24,2026,location_merlin,2,r2,0.2558
24,2026,location_merlin,mean,r2,0.33
25,2026,location_merlin,0,r2,0.4825
25,2026,location_merlin,1,r2,0.214
25,2026,location_merlin,2,r2,0.2851
25,2026,location_merlin,mean,r2,0.3272
26,2026,location_merlin,0,r2,0.4806
26,2026,location_merlin,1,r2,0.2267
26,2026,location_merlin,2,r2,0.244
26,2026,location_merlin,mean,r2,0.3171
27,2026,location_merlin,0,r2,0.4869
27,2026,location_merlin,1,r2,0.2287
27,2026,location_merlin,2,r2,0.2762
27,2026,location_merlin,mean,r2,0.3306
28,2026,location_merlin,0,r2,0.4772
28,2026,location_merlin,1,r2,0.1929
28,2026,location_merlin,2,r2,0.2714
28,2026,location_merlin,mean,r2,0.3138
29,2026,location_merlin,0,r2,0.4661
29,2026,location_merlin,1,r2,0.2154
29,2026,location_merlin,2,r2,0.263
29,2026,location_merlin,mean,r2,0.3148
30,2026,location_merlin,0,r2,0.4741
30,2026,location_merlin,1,r2,0.2018
30,2026,location_merlin,2,r2,0.275
30,2026,location_merlin,mean,r2,0.317
31,2026,location_merlin,0,r2,0.5081
31,2026,location_merlin,1,r2,0.2356
31,2026,location_merlin,2,r2,0.2797
31,2026,location_merlin,mean,r2,0.3411
32,2026,location_merlin,0,r2,0.5009
32,2026,location_merlin,1,r2,0.2254
32,2026,location_merlin,2,r2,0.2835
32,2026,location_merlin,mean,r2,0.3366
33,2026,location_merlin,0,r2,0.4891
33,2026,location_merlin,1,r2,0.2092
33,2026,location_merlin,2,r2,0.234
33,2026,location_merlin,mean,r2,0.3108
34,2026,location_merlin,0,r2,0.4891
34,2026,location_merlin,1,r2,0.1931
34,2026,location_merlin,2,r2,0.2739
34,2026,location_merlin,mean,r2,0.3187
35,2026,location_merlin,0,r2,0.4949
35,2026,location_merlin,1,r2,0.2251
35,2026,location_merlin,2,r2,0.2847
35,2026,location_merlin,mean,r2,0.3349
36,2026,location_merlin,0,r2,0.5062
36,2026,location_merlin,1,r2,0.2005
36,2026,location_merlin,2,r2,0.275
36,2026,location_merlin,mean,r2,0.3272
37,2026,location_merlin,0,r2,0.5024
37,2026,location_merlin,1,r2,0.2088
37,2026,location_merlin,2,r2,0.2805
37,2026,location_merlin,mean,r2,0.3306
38,2026,location_merlin,0,r2,0.4709
38,2026,location_merlin,1,r2,0.228
38,2026,location_merlin,2,r2,0.2796
38,2026,location_merlin,mean,r2,0.3261
39,2026,location_merlin,0,r2,0.5101
39,2026,location_merlin,1,r2,0.1832
39,2026,location_merlin,2,r2,0.2572
39,2026,location_merlin,mean,r2,0.3168
40,2026,location_merlin,0,r2,0.4974
40,2026,location_merlin,1,r2,0.2028
40,2026,location_merlin,2,r2,0.2705
40,2026,location_merlin,mean,r2,0.3236
