epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.1886
1,2026,size_merlin,1,r2,0.162
1,2026,size_merlin,2,r2,0.2335
1,2026,size_merlin,3,r2,0.2356
1,2026,size_merlin,4,r2,0.3484
1,2026,size_merlin,5,r2,0.1349
1,2026,size_merlin,mean,r2,0.2172
2,2026,size_merlin,0,r2,0.2188
2,2026,size_merlin,1,r2,0.2012
2,2026,size_merlin,2,r2,0.2733
2,2026,size_merlin,3,r2,0.29
2,2026,size_merlin,4,r2,0.3514
2,2026,size_merlin,5,r2,0.1005
2,2026,size_merlin,mean,r2,0.2392
3,2026,size_merlin,0,r2,0.2676
3,2026,size_merlin,1,r2,0.2298
3,2026,size_merlin,2,r2,0.2592
3,2026,size_merlin,3,r2,0.262
3,2026,size_merlin,4,r2,0.3891
3,2026,size_merlin,5,r2,0.1418
3,2026,size_merlin,mean,r2,0.2583
4,2026,size_merlin,0,r2,0.2967
4,2026,size_merlin,1,r2,0.2947
4,2026,size_merlin,2,r2,0.2848
4,2026,size_merlin,3,r2,0.2916
4,2026,size_merlin,4,r2,0.4011
4,2026,size_merlin,5,r2,0.1767
4,2026,size_merlin,mean,r2,0.2909
5,2026,size_merlin,0,r2,0.3162
5,2026,size_merlin,1,r2,0.3001
5,2026,size_merlin,2,r2,0.3065
5,2026,size_merlin,3,r2,0.2859
5,2026,size_merlin,4,r2,0.418
5,2026,size_merlin,5,r2,0.177
5,2026,size_merlin,mean,r2,0.3006
6,2026,size_merlin,0,r2,0.36
6,2026,size_merlin,1,r2,0.3322
6,2026,size_merlin,2,r2,0.282
6,2026,size_merlin,3,r2,0.3005
6,2026,size_merlin,4,r2,0.4115
6,2026,size_merlin,5,r2,0.1466
6,2026,size_merlin,mean,r2,0.3055
7,2026,size_merlin,0,r2,0.4084
7,2026,size_merlin,1,r2,0.4042
7,2026,size_merlin,2,r2,0.2882
7,2026,size_merlin,3,r2,0.3264
7,2026,size_merlin,4,r2,0.3865
7,2026,size_merlin,5,r2,0.1644
7,2026,size_merlin,mean,r2,0.3297
8,2026,size_merlin,0,r2,0.4465
8,2026,size_merlin,1,r2,0.427
8,2026,size_merlin,2,r2,0.3106
8,2026,size_merlin,3,r2,0.3183
8,2026,size_merlin,4,r2,0.4151
8,2026,size_merlin,5,r2,0.1727
8,2026,size_merlin,mean,r2,0.3483
9,2026,size_merlin,0,r2,0.4299
9,2026,size_merlin,1,r2,0.3831
9,2026,size_merlin,2,r2,0.321
9,2026,size_merlin,3,r2,0.3294
9,2026,size_merlin,4,r2,0.4092
9,2026,size_merlin,5,r2,0.1695
9,2026,size_merlin,mean,r2,0.3404
10,2026,size_merlin,0,r2,0.4864
10,2026,size_merlin,1,r2,0.4603
10,2026,size_merlin,2,r2,0.323
10,2026,size_merlin,3,r2,0.3411
10,2026,size_merlin,4,r2,0.4304
10,2026,size_merlin,5,r2,0.1907
10,2026,size_merlin,mean,r2,0.372
11,2026,size_merlin,0,r2,0.4855
11,2026,size_merlin,1,r2,0.4502
11,2026,size_merlin,2,r2,0.3147
11,2026,size_merlin,3,r2,0.326
11,2026,size_merlin,4,r2,0.393
11,2026,size_merlin,5,r2,0.18
11,2026,size_merlin,mean,r2,0.3582
12,2026,size_merlin,0,r2,0.5256
12,2026,size_merlin,1,r2,0.4929
12,2026,size_merlin,2,r2,0.3113
12,2026,size_merlin,3,r2,0.3205
12,2026,size_merlin,4,r2,0.4478
12,2026,size_merlin,5,r2,0.1939
12,2026,size_merlin,mean,r2,0.382
13,2026,size_merlin,0,r2,0.5209
13,2026,size_merlin,1,r2,0.4898
13,2026,size_merlin,2,r2,0.323
13,2026,size_merlin,3,r2,0.3315
13,2026,size_merlin,4,r2,0.4434
13,2026,size_merlin,5,r2,0.1762
13,2026,size_merlin,mean,r2,0.3808
14,2026,size_merlin,0,r2,0.5209
14,2026,size_merlin,1,r2,0.496
14,2026,size_merlin,2,r2,0.3111
14,2026,size_merlin,3,r2,0.3362
14,2026,size_merlin,4,r2,0.4013
14,2026,size_merlin,5,r2,0.1851
14,2026,size_merlin,mean,r2,0.3751
15,2026,size_merlin,0,r2,0.5277
15,2026,size_merlin,1,r2,0.499
15,2026,size_merlin,2,r2,0.3247
15,2026,size_merlin,3,r2,0.3392
15,2026,size_merlin,4,r2,0.4166
15,2026,size_merlin,5,r2,0.1872
15,2026,size_merlin,mean,r2,0.3824
16,2026,size_merlin,0,r2,0.5653
16,2026,size_merlin,1,r2,0.5225
16,2026,size_merlin,2,r2,0.3299
16,2026,size_merlin,3,r2,0.3518
16,2026,size_merlin,4,r2,0.4351
16,2026,size_merlin,5,r2,0.2034
16,2026,size_merlin,mean,r2,0.4013
17,2026,size_merlin,0,r2,0.5596
17,2026,size_merlin,1,r2,0.5171
17,2026,size_merlin,2,r2,0.347
17,2026,size_merlin,3,r2,0.3427
17,2026,size_merlin,4,r2,0.4542
17,2026,size_merlin,5,r2,0.1968
