epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9249
1,2026,disease,Arterial wall calcification,auroc,0.9322
1,2026,disease,Cardiomegaly,auroc,0.9289
1,2026,disease,Pericardial effusion,auroc,0.8605
1,2026,disease,Coronary artery wall calcification,auroc,0.9348
1,2026,disease,Hiatal hernia,auroc,0.7173
1,2026,disease,Lymphadenopathy,auroc,0.7591
1,2026,disease,Emphysema,auroc,0.8039
1,2026,disease,Atelectasis,auroc,0.8096
1,2026,disease,Lung nodule,auroc,0.7376
1,2026,disease,Lung opacity,auroc,0.8718
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7519
1,2026,disease,Pleural effusion,auroc,0.9684
1,2026,disease,Mosaic attenuation pattern,auroc,0.8857
1,2026,disease,Peribronchial thickening,auroc,0.8178
1,2026,disease,Consolidation,auroc,0.919
1,2026,disease,Bronchiectasis,auroc,0.7931
1,2026,disease,Interlobular septal thickening,auroc,0.8769
1,2026,disease,macro,auroc,0.8496
1,2026,disease,micro,auroc,0.8557
2,2026,disease,Medical material,auroc,0.9279
2,2026,disease,Arterial wall calcification,auroc,0.9327
2,2026,disease,Cardiomegaly,auroc,0.9329
2,2026,disease,Pericardial effusion,auroc,0.8696
2,2026,disease,Coronary artery wall calcification,auroc,0.937
2,2026,disease,Hiatal hernia,auroc,0.7132
2,2026,disease,Lymphadenopathy,auroc,0.7527
2,2026,disease,Emphysema,auroc,0.8087
2,2026,disease,Atelectasis,auroc,0.8127
2,2026,disease,Lung nodule,auroc,0.741
2,2026,disease,Lung opacity,auroc,0.8707
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.746
2,2026,disease,Pleural effusion,auroc,0.9706
2,2026,disease,Mosaic attenuation pattern,auroc,0.8809
2,2026,disease,Peribronchial thickening,auroc,0.8192
2,2026,disease,Consolidation,auroc,0.9234
2,2026,disease,Bronchiectasis,auroc,0.7856
2,2026,disease,Interlobular septal thickening,auroc,0.8768
2,2026,disease,macro,auroc,0.8501
2,2026,disease,micro,auroc,0.8621
3,2026,disease,Medical material,auroc,0.931
3,2026,disease,Arterial wall calcification,auroc,0.9303
3,2026,disease,Cardiomegaly,auroc,0.9286
3,2026,disease,Pericardial effusion,auroc,0.8584
3,2026,disease,Coronary artery wall calcification,auroc,0.9346
3,2026,disease,Hiatal hernia,auroc,0.7145
3,2026,disease,Lymphadenopathy,auroc,0.7549
3,2026,disease,Emphysema,auroc,0.8108
3,2026,disease,Atelectasis,auroc,0.8115
3,2026,disease,Lung nodule,auroc,0.7424
3,2026,disease,Lung opacity,auroc,0.8714
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7466
3,2026,disease,Pleural effusion,auroc,0.9689
3,2026,disease,Mosaic attenuation pattern,auroc,0.8847
3,2026,disease,Peribronchial thickening,auroc,0.8104
3,2026,disease,Consolidation,auroc,0.9248
3,2026,disease,Bronchiectasis,auroc,0.8039
3,2026,disease,Interlobular septal thickening,auroc,0.8823
3,2026,disease,macro,auroc,0.8506
3,2026,disease,micro,auroc,0.8551
4,2026,disease,Medical material,auroc,0.9282
4,2026,disease,Arterial wall calcification,auroc,0.9321
4,2026,disease,Cardiomegaly,auroc,0.9327
4,2026,disease,Pericardial effusion,auroc,0.8618
4,2026,disease,Coronary artery wall calcification,auroc,0.9354
4,2026,disease,Hiatal hernia,auroc,0.718
4,2026,disease,Lymphadenopathy,auroc,0.7545
4,2026,disease,Emphysema,auroc,0.808
4,2026,disease,Atelectasis,auroc,0.81
4,2026,disease,Lung nodule,auroc,0.7387
4,2026,disease,Lung opacity,auroc,0.8715
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7458
4,2026,disease,Pleural effusion,auroc,0.9685
4,2026,disease,Mosaic attenuation pattern,auroc,0.8886
4,2026,disease,Peribronchial thickening,auroc,0.811
4,2026,disease,Consolidation,auroc,0.9266
4,2026,disease,Bronchiectasis,auroc,0.8058
4,2026,disease,Interlobular septal thickening,auroc,0.8814
4,2026,disease,macro,auroc,0.851
4,2026,disease,micro,auroc,0.8577
5,2026,disease,Medical material,auroc,0.9251
5,2026,disease,Arterial wall calcification,auroc,0.9302
5,2026,disease,Cardiomegaly,auroc,0.9337
5,2026,disease,Pericardial effusion,auroc,0.863
5,2026,disease,Coronary artery wall calcification,auroc,0.9348
5,2026,disease,Hiatal hernia,auroc,0.7151
5,2026,disease,Lymphadenopathy,auroc,0.754
5,2026,disease,Emphysema,auroc,0.8084
5,2026,disease,Atelectasis,auroc,0.813
5,2026,disease,Lung nodule,auroc,0.7461
5,2026,disease,Lung opacity,auroc,0.8724
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.7481
5,2026,disease,Pleural effusion,auroc,0.9671
5,2026,disease,Mosaic attenuation pattern,auroc,0.8873
5,2026,disease,Peribronchial thickening,auroc,0.8034
5,2026,disease,Consolidation,auroc,0.9219
5,2026,disease,Bronchiectasis,auroc,0.8057
5,2026,disease,Interlobular septal thickening,auroc,0.8828
5,2026,disease,macro,auroc,0.8507
5,2026,disease,micro,auroc,0.8602
6,2026,disease,Medical material,auroc,0.9333
6,2026,disease,Arterial wall calcification,auroc,0.9334
6,2026,disease,Cardiomegaly,auroc,0.9333
6,2026,disease,Pericardial effusion,auroc,0.8666
6,2026,disease,Coronary artery wall calcification,auroc,0.9355
6,2026,disease,Hiatal hernia,auroc,0.7202
6,2026,disease,Lymphadenopathy,auroc,0.7537
6,2026,disease,Emphysema,auroc,0.8094
6,2026,disease,Atelectasis,auroc,0.8209
6,2026,disease,Lung nodule,auroc,0.7417
6,2026,disease,Lung opacity,auroc,0.875
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.7451
6,2026,disease,Pleural effusion,auroc,0.9686
6,2026,disease,Mosaic attenuation pattern,auroc,0.8912
6,2026,disease,Peribronchial thickening,auroc,0.8036
6,2026,disease,Consolidation,auroc,0.9244
6,2026,disease,Bronchiectasis,auroc,0.8018
6,2026,disease,Interlobular septal thickening,auroc,0.8835
6,2026,disease,macro,auroc,0.8523
6,2026,disease,micro,auroc,0.8598
7,2026,disease,Medical material,auroc,0.931
7,2026,disease,Arterial wall calcification,auroc,0.9319
7,2026,disease,Cardiomegaly,auroc,0.936
7,2026,disease,Pericardial effusion,auroc,0.8633
7,2026,disease,Coronary artery wall calcification,auroc,0.9344
7,2026,disease,Hiatal hernia,auroc,0.7132
7,2026,disease,Lymphadenopathy,auroc,0.7551
7,2026,disease,Emphysema,auroc,0.8155
7,2026,disease,Atelectasis,auroc,0.8167
7,2026,disease,Lung nodule,auroc,0.7391
7,2026,disease,Lung opacity,auroc,0.8662
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.7504
7,2026,disease,Pleural effusion,auroc,0.9645
7,2026,disease,Mosaic attenuation pattern,auroc,0.8919
7,2026,disease,Peribronchial thickening,auroc,0.8116
7,2026,disease,Consolidation,auroc,0.9222
7,2026,disease,Bronchiectasis,auroc,0.8022
7,2026,disease,Interlobular septal thickening,auroc,0.8698
7,2026,disease,macro,auroc,0.8508
7,2026,disease,micro,auroc,0.8607
8,2026,disease,Medical material,auroc,0.9357
8,2026,disease,Arterial wall calcification,auroc,0.9319
8,2026,disease,Cardiomegaly,auroc,0.9349
8,2026,disease,Pericardial effusion,auroc,0.8612
8,2026,disease,Coronary artery wall calcification,auroc,0.9339
8,2026,disease,Hiatal hernia,auroc,0.7167
8,2026,disease,Lymphadenopathy,auroc,0.7568
8,2026,disease,Emphysema,auroc,0.8046
8,2026,disease,Atelectasis,auroc,0.8167
8,2026,disease,Lung nodule,auroc,0.7401
8,2026,disease,Lung opacity,auroc,0.87
8,2026,disease,Pulmonary fibrotic sequela,auroc,0.7415
8,2026,disease,Pleural effusion,auroc,0.9661
8,2026,disease,Mosaic attenuation pattern,auroc,0.8882
8,2026,disease,Peribronchial thickening,auroc,0.8066
8,2026,disease,Consolidation,auroc,0.9208
8,2026,disease,Bronchiectasis,auroc,0.8023
8,2026,disease,Interlobular septal thickening,auroc,0.8794
8,2026,disease,macro,auroc,0.8504
8,2026,disease,micro,auroc,0.863
9,2026,disease,Medical material,auroc,0.9347
9,2026,disease,Arterial wall calcification,auroc,0.932
9,2026,disease,Cardiomegaly,auroc,0.9349
9,2026,disease,Pericardial effusion,auroc,0.8579
9,2026,disease,Coronary artery wall calcification,auroc,0.9352
9,2026,disease,Hiatal hernia,auroc,0.7081
9,2026,disease,Lymphadenopathy,auroc,0.756
9,2026,disease,Emphysema,auroc,0.8133
9,2026,disease,Atelectasis,auroc,0.8184
9,2026,disease,Lung nodule,auroc,0.7391
9,2026,disease,Lung opacity,auroc,0.8693
9,2026,disease,Pulmonary fibrotic sequela,auroc,0.7506
9,2026,disease,Pleural effusion,auroc,0.9677
9,2026,disease,Mosaic attenuation pattern,auroc,0.8897
9,2026,disease,Peribronchial thickening,auroc,0.8043
9,2026,disease,Consolidation,auroc,0.9226
9,2026,disease,Bronchiectasis,auroc,0.7955
9,2026,disease,Interlobular septal thickening,auroc,0.8737
9,2026,disease,macro,auroc,0.8502
9,2026,disease,micro,auroc,0.8628
10,2026,disease,Medical material,auroc,0.9375
10,2026,disease,Arterial wall calcification,auroc,0.9316
10,2026,disease,Cardiomegaly,auroc,0.933
10,2026,disease,Pericardial effusion,auroc,0.8579
10,2026,disease,Coronary artery wall calcification,auroc,0.9351
10,2026,disease,Hiatal hernia,auroc,0.7139
10,2026,disease,Lymphadenopathy,auroc,0.7624
10,2026,disease,Emphysema,auroc,0.8121
10,2026,disease,Atelectasis,auroc,0.8202
10,2026,disease,Lung nodule,auroc,0.7475
10,2026,disease,Lung opacity,auroc,0.8728
10,2026,disease,Pulmonary fibrotic sequela,auroc,0.7513
10,2026,disease,Pleural effusion,auroc,0.9668
10,2026,disease,Mosaic attenuation pattern,auroc,0.8848
10,2026,disease,Peribronchial thickening,auroc,0.8017
10,2026,disease,Consolidation,auroc,0.9228
10,2026,disease,Bronchiectasis,auroc,0.801
10,2026,disease,Interlobular septal thickening,auroc,0.88
10,2026,disease,macro,auroc,0.8518
10,2026,disease,micro,auroc,0.8626
1,2027,disease,Medical material,auroc,0.9295
1,2027,disease,Arterial wall calcification,auroc,0.9318
1,2027,disease,Cardiomegaly,auroc,0.9326
1,2027,disease,Pericardial effusion,auroc,0.8498
1,2027,disease,Coronary artery wall calcification,auroc,0.9364
1,2027,disease,Hiatal hernia,auroc,0.7093
1,2027,disease,Lymphadenopathy,auroc,0.7601
1,2027,disease,Emphysema,auroc,0.809
1,2027,disease,Atelectasis,auroc,0.8159
1,2027,disease,Lung nodule,auroc,0.734
1,2027,disease,Lung opacity,auroc,0.8687
1,2027,disease,Pulmonary fibrotic sequela,auroc,0.7516
1,2027,disease,Pleural effusion,auroc,0.9684
1,2027,disease,Mosaic attenuation pattern,auroc,0.883
1,2027,disease,Peribronchial thickening,auroc,0.8115
1,2027,disease,Consolidation,auroc,0.9217
1,2027,disease,Bronchiectasis,auroc,0.7946
1,2027,disease,Interlobular septal thickening,auroc,0.8848
1,2027,disease,macro,auroc,0.8496
1,2027,disease,micro,auroc,0.8565
2,2027,disease,Medical material,auroc,0.9256
2,2027,disease,Arterial wall calcification,auroc,0.9329
2,2027,disease,Cardiomegaly,auroc,0.9294
2,2027,disease,Pericardial effusion,auroc,0.8553
2,2027,disease,Coronary artery wall calcification,auroc,0.9367
2,2027,disease,Hiatal hernia,auroc,0.722
2,2027,disease,Lymphadenopathy,auroc,0.7536
2,2027,disease,Emphysema,auroc,0.8084
2,2027,disease,Atelectasis,auroc,0.8168
2,2027,disease,Lung nodule,auroc,0.7371
2,2027,disease,Lung opacity,auroc,0.8718
2,2027,disease,Pulmonary fibrotic sequela,auroc,0.7504
2,2027,disease,Pleural effusion,auroc,0.9689
2,2027,disease,Mosaic attenuation pattern,auroc,0.8895
2,2027,disease,Peribronchial thickening,auroc,0.8154
2,2027,disease,Consolidation,auroc,0.9246
2,2027,disease,Bronchiectasis,auroc,0.8035
2,2027,disease,Interlobular septal thickening,auroc,0.8822
2,2027,disease,macro,auroc,0.8513
2,2027,disease,micro,auroc,0.8604
3,2027,disease,Medical material,auroc,0.9286
3,2027,disease,Arterial wall calcification,auroc,0.9324
3,2027,disease,Cardiomegaly,auroc,0.9317
3,2027,disease,Pericardial effusion,auroc,0.8619
3,2027,disease,Coronary artery wall calcification,auroc,0.9362
3,2027,disease,Hiatal hernia,auroc,0.7171
3,2027,disease,Lymphadenopathy,auroc,0.7487
3,2027,disease,Emphysema,auroc,0.8082
3,2027,disease,Atelectasis,auroc,0.8196
3,2027,disease,Lung nodule,auroc,0.7354
3,2027,disease,Lung opacity,auroc,0.8714
3,2027,disease,Pulmonary fibrotic sequela,auroc,0.7522
3,2027,disease,Pleural effusion,auroc,0.9675
3,2027,disease,Mosaic attenuation pattern,auroc,0.8854
3,2027,disease,Peribronchial thickening,auroc,0.8146
3,2027,disease,Consolidation,auroc,0.9262
3,2027,disease,Bronchiectasis,auroc,0.7977
3,2027,disease,Interlobular septal thickening,auroc,0.8845
3,2027,disease,macro,auroc,0.8511
3,2027,disease,micro,auroc,0.8574
4,2027,disease,Medical material,auroc,0.9316
4,2027,disease,Arterial wall calcification,auroc,0.9321
4,2027,disease,Cardiomegaly,auroc,0.9314
4,2027,disease,Pericardial effusion,auroc,0.8537
4,2027,disease,Coronary artery wall calcification,auroc,0.9353
4,2027,disease,Hiatal hernia,auroc,0.7191
4,2027,disease,Lymphadenopathy,auroc,0.7554
4,2027,disease,Emphysema,auroc,0.8125
4,2027,disease,Atelectasis,auroc,0.8144
4,2027,disease,Lung nodule,auroc,0.7379
4,2027,disease,Lung opacity,auroc,0.8746
4,2027,disease,Pulmonary fibrotic sequela,auroc,0.7524
4,2027,disease,Pleural effusion,auroc,0.9693
4,2027,disease,Mosaic attenuation pattern,auroc,0.8908
4,2027,disease,Peribronchial thickening,auroc,0.8064
4,2027,disease,Consolidation,auroc,0.9247
4,2027,disease,Bronchiectasis,auroc,0.8059
4,2027,disease,Interlobular septal thickening,auroc,0.8841
4,2027,disease,macro,auroc,0.8518
4,2027,disease,micro,auroc,0.8612
5,2027,disease,Medical material,auroc,0.9326
5,2027,disease,Arterial wall calcification,auroc,0.932
5,2027,disease,Cardiomegaly,auroc,0.9314
5,2027,disease,Pericardial effusion,auroc,0.8536
5,2027,disease,Coronary artery wall calcification,auroc,0.9346
5,2027,disease,Hiatal hernia,auroc,0.7182
5,2027,disease,Lymphadenopathy,auroc,0.7555
5,2027,disease,Emphysema,auroc,0.8115
5,2027,disease,Atelectasis,auroc,0.8116
5,2027,disease,Lung nodule,auroc,0.735
5,2027,disease,Lung opacity,auroc,0.873
5,2027,disease,Pulmonary fibrotic sequela,auroc,0.7518
5,2027,disease,Pleural effusion,auroc,0.9692
5,2027,disease,Mosaic attenuation pattern,auroc,0.8943
5,2027,disease,Peribronchial thickening,auroc,0.8152
5,2027,disease,Consolidation,auroc,0.9259
5,2027,disease,Bronchiectasis,auroc,0.808
5,2027,disease,Interlobular septal thickening,auroc,0.8809
5,2027,disease,macro,auroc,0.8519
5,2027,disease,micro,auroc,0.8621
6,2027,disease,Medical material,auroc,0.9313
6,2027,disease,Arterial wall calcification,auroc,0.9323
6,2027,disease,Cardiomegaly,auroc,0.9326
6,2027,disease,Pericardial effusion,auroc,0.8532
6,2027,disease,Coronary artery wall calcification,auroc,0.9361
6,2027,disease,Hiatal hernia,auroc,0.7129
6,2027,disease,Lymphadenopathy,auroc,0.7534
6,2027,disease,Emphysema,auroc,0.8123
6,2027,disease,Atelectasis,auroc,0.8103
6,2027,disease,Lung nodule,auroc,0.7342
6,2027,disease,Lung opacity,auroc,0.8707
6,2027,disease,Pulmonary fibrotic sequela,auroc,0.7475
6,2027,disease,Pleural effusion,auroc,0.9691
6,2027,disease,Mosaic attenuation pattern,auroc,0.8865
6,2027,disease,Peribronchial thickening,auroc,0.8113
6,2027,disease,Consolidation,auroc,0.9259
6,2027,disease,Bronchiectasis,auroc,0.8067
6,2027,disease,Interlobular septal thickening,auroc,0.8835
6,2027,disease,macro,auroc,0.8505
6,2027,disease,micro,auroc,0.859
7,2027,disease,Medical material,auroc,0.933
7,2027,disease,Arterial wall calcification,auroc,0.9336
7,2027,disease,Cardiomegaly,auroc,0.932
7,2027,disease,Pericardial effusion,auroc,0.8678
7,2027,disease,Coronary artery wall calcification,auroc,0.9359
7,2027,disease,Hiatal hernia,auroc,0.7145
7,2027,disease,Lymphadenopathy,auroc,0.7573
7,2027,disease,Emphysema,auroc,0.8064
7,2027,disease,Atelectasis,auroc,0.8129
7,2027,disease,Lung nodule,auroc,0.735
7,2027,disease,Lung opacity,auroc,0.8693
7,2027,disease,Pulmonary fibrotic sequela,auroc,0.7507
7,2027,disease,Pleural effusion,auroc,0.9698
7,2027,disease,Mosaic attenuation pattern,auroc,0.8934
7,2027,disease,Peribronchial thickening,auroc,0.8148
7,2027,disease,Consolidation,auroc,0.927
7,2027,disease,Bronchiectasis,auroc,0.8009
7,2027,disease,Interlobular septal thickening,auroc,0.8779
7,2027,disease,macro,auroc,0.8518
7,2027,disease,micro,auroc,0.8626
8,2027,disease,Medical material,auroc,0.9327
8,2027,disease,Arterial wall calcification,auroc,0.9327
8,2027,disease,Cardiomegaly,auroc,0.9331
8,2027,disease,Pericardial effusion,auroc,0.8675
8,2027,disease,Coronary artery wall calcification,auroc,0.9355
8,2027,disease,Hiatal hernia,auroc,0.7169
8,2027,disease,Lymphadenopathy,auroc,0.7575
8,2027,disease,Emphysema,auroc,0.8068
8,2027,disease,Atelectasis,auroc,0.8176
8,2027,disease,Lung nodule,auroc,0.738
8,2027,disease,Lung opacity,auroc,0.8723
8,2027,disease,Pulmonary fibrotic sequela,auroc,0.7467
8,2027,disease,Pleural effusion,auroc,0.9671
8,2027,disease,Mosaic attenuation pattern,auroc,0.8801
8,2027,disease,Peribronchial thickening,auroc,0.8091
8,2027,disease,Consolidation,auroc,0.9236
8,2027,disease,Bronchiectasis,auroc,0.7991
8,2027,disease,Interlobular septal thickening,auroc,0.8853
8,2027,disease,macro,auroc,0.8512
8,2027,disease,micro,auroc,0.8567
9,2027,disease,Medical material,auroc,0.9341
9,2027,disease,Arterial wall calcification,auroc,0.9322
9,2027,disease,Cardiomegaly,auroc,0.9344
9,2027,disease,Pericardial effusion,auroc,0.8662
9,2027,disease,Coronary artery wall calcification,auroc,0.9348
9,2027,disease,Hiatal hernia,auroc,0.7157
9,2027,disease,Lymphadenopathy,auroc,0.7569
9,2027,disease,Emphysema,auroc,0.8092
9,2027,disease,Atelectasis,auroc,0.8176
9,2027,disease,Lung nodule,auroc,0.7384
9,2027,disease,Lung opacity,auroc,0.8683
9,2027,disease,Pulmonary fibrotic sequela,auroc,0.747
9,2027,disease,Pleural effusion,auroc,0.9666
9,2027,disease,Mosaic attenuation pattern,auroc,0.8903
9,2027,disease,Peribronchial thickening,auroc,0.8199
9,2027,disease,Consolidation,auroc,0.9255
9,2027,disease,Bronchiectasis,auroc,0.8033
9,2027,disease,Interlobular septal thickening,auroc,0.8769
9,2027,disease,macro,auroc,0.8521
9,2027,disease,micro,auroc,0.8615
10,2027,disease,Medical material,auroc,0.9348
10,2027,disease,Arterial wall calcification,auroc,0.9331
10,2027,disease,Cardiomegaly,auroc,0.9309
10,2027,disease,Pericardial effusion,auroc,0.8592
10,2027,disease,Coronary artery wall calcification,auroc,0.9361
10,2027,disease,Hiatal hernia,auroc,0.709
10,2027,disease,Lymphadenopathy,auroc,0.7621
10,2027,disease,Emphysema,auroc,0.8098
10,2027,disease,Atelectasis,auroc,0.8123
10,2027,disease,Lung nodule,auroc,0.7357
10,2027,disease,Lung opacity,auroc,0.8702
10,2027,disease,Pulmonary fibrotic sequela,auroc,0.7466
10,2027,disease,Pleural effusion,auroc,0.9674
10,2027,disease,Mosaic attenuation pattern,auroc,0.8891
10,2027,disease,Peribronchial thickening,auroc,0.8139
10,2027,disease,Consolidation,auroc,0.9256
10,2027,disease,Bronchiectasis,auroc,0.7955
10,2027,disease,Interlobular septal thickening,auroc,0.879
10,2027,disease,macro,auroc,0.8506
10,2027,disease,micro,auroc,0.8647
1,2028,disease,Medical material,auroc,0.9189
1,2028,disease,Arterial wall calcification,auroc,0.932
1,2028,disease,Cardiomegaly,auroc,0.9258
1,2028,disease,Pericardial effusion,auroc,0.8565
1,2028,disease,Coronary artery wall calcification,auroc,0.9356
1,2028,disease,Hiatal hernia,auroc,0.7154
1,2028,disease,Lymphadenopathy,auroc,0.7506
1,2028,disease,Emphysema,auroc,0.8095
1,2028,disease,Atelectasis,auroc,0.808
1,2028,disease,Lung nodule,auroc,0.7384
1,2028,disease,Lung opacity,auroc,0.872
1,2028,disease,Pulmonary fibrotic sequela,auroc,0.7467
1,2028,disease,Pleural effusion,auroc,0.9666
1,2028,disease,Mosaic attenuation pattern,auroc,0.8859
1,2028,disease,Peribronchial thickening,auroc,0.8116
1,2028,disease,Consolidation,auroc,0.9263
1,2028,disease,Bronchiectasis,auroc,0.7916
1,2028,disease,Interlobular septal thickening,auroc,0.8836
1,2028,disease,macro,auroc,0.8486
1,2028,disease,micro,auroc,0.855
2,2028,disease,Medical material,auroc,0.9261
2,2028,disease,Arterial wall calcification,auroc,0.9316
2,2028,disease,Cardiomegaly,auroc,0.9307
2,2028,disease,Pericardial effusion,auroc,0.8623
2,2028,disease,Coronary artery wall calcification,auroc,0.9354
2,2028,disease,Hiatal hernia,auroc,0.7148
2,2028,disease,Lymphadenopathy,auroc,0.7558
2,2028,disease,Emphysema,auroc,0.8086
