epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.2679
1,2026,location,1,r2,0.1402
1,2026,location,2,r2,0.3209
1,2026,location,mean,r2,0.243
2,2026,location,0,r2,0.4739
2,2026,location,1,r2,0.2211
2,2026,location,2,r2,0.4062
2,2026,location,mean,r2,0.3671
3,2026,location,0,r2,0.5384
3,2026,location,1,r2,0.3034
3,2026,location,2,r2,0.4348
3,2026,location,mean,r2,0.4255
4,2026,location,0,r2,0.6073
4,2026,location,1,r2,0.3863
4,2026,location,2,r2,0.445
4,2026,location,mean,r2,0.4795
5,2026,location,0,r2,0.6581
5,2026,location,1,r2,0.407
5,2026,location,2,r2,0.4676
5,2026,location,mean,r2,0.5109
6,2026,location,0,r2,0.6603
6,2026,location,1,r2,0.45
6,2026,location,2,r2,0.4405
6,2026,location,mean,r2,0.5169
7,2026,location,0,r2,0.6783
7,2026,location,1,r2,0.5004
7,2026,location,2,r2,0.4901
7,2026,location,mean,r2,0.5563
8,2026,location,0,r2,0.6705
8,2026,location,1,r2,0.5213
8,2026,location,2,r2,0.5464
8,2026,location,mean,r2,0.5794
9,2026,location,0,r2,0.6694
9,2026,location,1,r2,0.5053
9,2026,location,2,r2,0.5758
9,2026,location,mean,r2,0.5835
10,2026,location,0,r2,0.6813
10,2026,location,1,r2,0.5575
10,2026,location,2,r2,0.5777
10,2026,location,mean,r2,0.6055
1,2027,location,0,r2,0.162
1,2027,location,1,r2,0.1393
1,2027,location,2,r2,0.3638
1,2027,location,mean,r2,0.2217
2,2027,location,0,r2,0.4697
2,2027,location,1,r2,0.2112
2,2027,location,2,r2,0.3595
2,2027,location,mean,r2,0.3468
3,2027,location,0,r2,0.5796
3,2027,location,1,r2,0.3656
3,2027,location,2,r2,0.4583
3,2027,location,mean,r2,0.4678
4,2027,location,0,r2,0.61
4,2027,location,1,r2,0.4346
4,2027,location,2,r2,0.4776
4,2027,location,mean,r2,0.5074
5,2027,location,0,r2,0.6637
5,2027,location,1,r2,0.4617
5,2027,location,2,r2,0.5256
5,2027,location,mean,r2,0.5503
6,2027,location,0,r2,0.6786
6,2027,location,1,r2,0.4834
6,2027,location,2,r2,0.525
6,2027,location,mean,r2,0.5623
7,2027,location,0,r2,0.6742
7,2027,location,1,r2,0.4852
7,2027,location,2,r2,0.5796
7,2027,location,mean,r2,0.5796
8,2027,location,0,r2,0.6639
8,2027,location,1,r2,0.5291
8,2027,location,2,r2,0.5967
8,2027,location,mean,r2,0.5966
9,2027,location,0,r2,0.6877
9,2027,location,1,r2,0.5282
9,2027,location,2,r2,0.6187
9,2027,location,mean,r2,0.6115
10,2027,location,0,r2,0.6721
10,2027,location,1,r2,0.5524
10,2027,location,2,r2,0.6243
10,2027,location,mean,r2,0.6162
1,2028,location,0,r2,0.254
1,2028,location,1,r2,0.1367
1,2028,location,2,r2,0.3752
1,2028,location,mean,r2,0.2553
2,2028,location,0,r2,0.5268
2,2028,location,1,r2,0.2981
2,2028,location,2,r2,0.4162
2,2028,location,mean,r2,0.4137
3,2028,location,0,r2,0.6005
3,2028,location,1,r2,0.3214
3,2028,location,2,r2,0.442
3,2028,location,mean,r2,0.4546
4,2028,location,0,r2,0.6359
4,2028,location,1,r2,0.4281
4,2028,location,2,r2,0.4849
4,2028,location,mean,r2,0.5163
5,2028,location,0,r2,0.658
5,2028,location,1,r2,0.4485
5,2028,location,2,r2,0.4678
5,2028,location,mean,r2,0.5247
6,2028,location,0,r2,0.6723
6,2028,location,1,r2,0.4805
6,2028,location,2,r2,0.5053
6,2028,location,mean,r2,0.5527
7,2028,location,0,r2,0.6819
7,2028,location,1,r2,0.518
7,2028,location,2,r2,0.5275
7,2028,location,mean,r2,0.5758
8,2028,location,0,r2,0.6743
8,2028,location,1,r2,0.5049
8,2028,location,2,r2,0.54
8,2028,location,mean,r2,0.5731
9,2028,location,0,r2,0.6997
9,2028,location,1,r2,0.5189
9,2028,location,2,r2,0.5575
9,2028,location,mean,r2,0.592
10,2028,location,0,r2,0.6974
10,2028,location,1,r2,0.5294
10,2028,location,2,r2,0.5382
10,2028,location,mean,r2,0.5884
