epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.916
1,2026,radiomics,1,r2,0.2909
1,2026,radiomics,2,r2,0.8424
1,2026,radiomics,mean,r2,0.6831
2,2026,radiomics,0,r2,0.9224
2,2026,radiomics,1,r2,0.4228
2,2026,radiomics,2,r2,0.8877
2,2026,radiomics,mean,r2,0.7443
3,2026,radiomics,0,r2,0.9262
3,2026,radiomics,1,r2,0.3594
3,2026,radiomics,2,r2,0.8877
3,2026,radiomics,mean,r2,0.7244
4,2026,radiomics,0,r2,0.9201
4,2026,radiomics,1,r2,0.5048
4,2026,radiomics,2,r2,0.9023
4,2026,radiomics,mean,r2,0.7757
5,2026,radiomics,0,r2,0.9287
5,2026,radiomics,1,r2,0.504
5,2026,radiomics,2,r2,0.9013
5,2026,radiomics,mean,r2,0.778
6,2026,radiomics,0,r2,0.9384
6,2026,radiomics,1,r2,0.5367
6,2026,radiomics,2,r2,0.9076
6,2026,radiomics,mean,r2,0.7942
7,2026,radiomics,0,r2,0.9349
7,2026,radiomics,1,r2,0.5313
7,2026,radiomics,2,r2,0.9136
7,2026,radiomics,mean,r2,0.7933
8,2026,radiomics,0,r2,0.9303
8,2026,radiomics,1,r2,0.5778
8,2026,radiomics,2,r2,0.9144
8,2026,radiomics,mean,r2,0.8075
9,2026,radiomics,0,r2,0.9376
9,2026,radiomics,1,r2,0.4518
9,2026,radiomics,2,r2,0.9134
9,2026,radiomics,mean,r2,0.7676
10,2026,radiomics,0,r2,0.9291
10,2026,radiomics,1,r2,0.5639
10,2026,radiomics,2,r2,0.8993
10,2026,radiomics,mean,r2,0.7974
1,2027,radiomics,0,r2,0.9106
1,2027,radiomics,1,r2,0.2767
1,2027,radiomics,2,r2,0.8695
1,2027,radiomics,mean,r2,0.6856
2,2027,radiomics,0,r2,0.9278
2,2027,radiomics,1,r2,0.3966
2,2027,radiomics,2,r2,0.8849
2,2027,radiomics,mean,r2,0.7364
3,2027,radiomics,0,r2,0.9255
3,2027,radiomics,1,r2,0.4697
3,2027,radiomics,2,r2,0.8889
3,2027,radiomics,mean,r2,0.7614
4,2027,radiomics,0,r2,0.9315
4,2027,radiomics,1,r2,0.4796
4,2027,radiomics,2,r2,0.9049
4,2027,radiomics,mean,r2,0.772
5,2027,radiomics,0,r2,0.924
5,2027,radiomics,1,r2,0.484
5,2027,radiomics,2,r2,0.9014
5,2027,radiomics,mean,r2,0.7698
6,2027,radiomics,0,r2,0.9304
6,2027,radiomics,1,r2,0.4308
6,2027,radiomics,2,r2,0.893
6,2027,radiomics,mean,r2,0.7514
7,2027,radiomics,0,r2,0.9316
7,2027,radiomics,1,r2,0.4914
7,2027,radiomics,2,r2,0.9113
7,2027,radiomics,mean,r2,0.7781
8,2027,radiomics,0,r2,0.9254
8,2027,radiomics,1,r2,0.5144
8,2027,radiomics,2,r2,0.9146
8,2027,radiomics,mean,r2,0.7848
9,2027,radiomics,0,r2,0.9263
9,2027,radiomics,1,r2,0.5407
9,2027,radiomics,2,r2,0.9094
9,2027,radiomics,mean,r2,0.7921
10,2027,radiomics,0,r2,0.9393
10,2027,radiomics,1,r2,0.5427
10,2027,radiomics,2,r2,0.9217
10,2027,radiomics,mean,r2,0.8012
1,2028,radiomics,0,r2,0.8858
1,2028,radiomics,1,r2,0.2638
1,2028,radiomics,2,r2,0.8332
1,2028,radiomics,mean,r2,0.6609
2,2028,radiomics,0,r2,0.9158
2,2028,radiomics,1,r2,0.3232
2,2028,radiomics,2,r2,0.8812
2,2028,radiomics,mean,r2,0.7067
3,2028,radiomics,0,r2,0.9148
3,2028,radiomics,1,r2,0.4096
3,2028,radiomics,2,r2,0.8891
3,2028,radiomics,mean,r2,0.7378
4,2028,radiomics,0,r2,0.9321
4,2028,radiomics,1,r2,0.4742
4,2028,radiomics,2,r2,0.9026
4,2028,radiomics,mean,r2,0.7696
5,2028,radiomics,0,r2,0.9333
5,2028,radiomics,1,r2,0.4215
5,2028,radiomics,2,r2,0.8984
5,2028,radiomics,mean,r2,0.7511
6,2028,radiomics,0,r2,0.9379
6,2028,radiomics,1,r2,0.4625
6,2028,radiomics,2,r2,0.8917
6,2028,radiomics,mean,r2,0.7641
7,2028,radiomics,0,r2,0.9268
7,2028,radiomics,1,r2,0.4565
7,2028,radiomics,2,r2,0.9037
7,2028,radiomics,mean,r2,0.7623
8,2028,radiomics,0,r2,0.9348
8,2028,radiomics,1,r2,0.4456
8,2028,radiomics,2,r2,0.9118
8,2028,radiomics,mean,r2,0.764
9,2028,radiomics,0,r2,0.9359
9,2028,radiomics,1,r2,0.4712
9,2028,radiomics,2,r2,0.9176
9,2028,radiomics,mean,r2,0.7749
10,2028,radiomics,0,r2,0.9311
10,2028,radiomics,1,r2,0.4027
10,2028,radiomics,2,r2,0.9115
10,2028,radiomics,mean,r2,0.7484
