epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.3684
1,2026,density_merlin,1,r2,0.6281
1,2026,density_merlin,2,r2,0.0896
1,2026,density_merlin,mean,r2,0.362
2,2026,density_merlin,0,r2,0.3596
2,2026,density_merlin,1,r2,0.698
2,2026,density_merlin,2,r2,0.1512
2,2026,density_merlin,mean,r2,0.4029
3,2026,density_merlin,0,r2,0.7479
3,2026,density_merlin,1,r2,0.7799
3,2026,density_merlin,2,r2,0.2135
3,2026,density_merlin,mean,r2,0.5804
4,2026,density_merlin,0,r2,0.7763
4,2026,density_merlin,1,r2,0.7882
4,2026,density_merlin,2,r2,0.2845
4,2026,density_merlin,mean,r2,0.6163
5,2026,density_merlin,0,r2,0.7736
5,2026,density_merlin,1,r2,0.7758
5,2026,density_merlin,2,r2,0.2637
5,2026,density_merlin,mean,r2,0.6044
6,2026,density_merlin,0,r2,0.797
6,2026,density_merlin,1,r2,0.7736
6,2026,density_merlin,2,r2,0.3581
6,2026,density_merlin,mean,r2,0.6429
7,2026,density_merlin,0,r2,0.719
7,2026,density_merlin,1,r2,0.6748
7,2026,density_merlin,2,r2,0.2793
7,2026,density_merlin,mean,r2,0.5577
8,2026,density_merlin,0,r2,0.8088
8,2026,density_merlin,1,r2,0.7877
8,2026,density_merlin,2,r2,0.4108
8,2026,density_merlin,mean,r2,0.6691
9,2026,density_merlin,0,r2,0.7342
9,2026,density_merlin,1,r2,0.813
9,2026,density_merlin,2,r2,0.4232
9,2026,density_merlin,mean,r2,0.6568
10,2026,density_merlin,0,r2,0.8255
10,2026,density_merlin,1,r2,0.819
10,2026,density_merlin,2,r2,0.4252
10,2026,density_merlin,mean,r2,0.6899
1,2027,density_merlin,0,r2,0.2091
1,2027,density_merlin,1,r2,0.6998
1,2027,density_merlin,2,r2,0.084
1,2027,density_merlin,mean,r2,0.3309
2,2027,density_merlin,0,r2,0.6841
2,2027,density_merlin,1,r2,0.7609
2,2027,density_merlin,2,r2,0.0985
2,2027,density_merlin,mean,r2,0.5145
3,2027,density_merlin,0,r2,0.725
3,2027,density_merlin,1,r2,0.7097
3,2027,density_merlin,2,r2,0.2297
3,2027,density_merlin,mean,r2,0.5548
4,2027,density_merlin,0,r2,0.768
4,2027,density_merlin,1,r2,0.7995
4,2027,density_merlin,2,r2,0.2909
4,2027,density_merlin,mean,r2,0.6195
5,2027,density_merlin,0,r2,0.805
5,2027,density_merlin,1,r2,0.8207
5,2027,density_merlin,2,r2,0.2688
5,2027,density_merlin,mean,r2,0.6315
6,2027,density_merlin,0,r2,0.8065
6,2027,density_merlin,1,r2,0.7303
6,2027,density_merlin,2,r2,0.3569
6,2027,density_merlin,mean,r2,0.6312
7,2027,density_merlin,0,r2,0.8014
7,2027,density_merlin,1,r2,0.672
7,2027,density_merlin,2,r2,0.3078
7,2027,density_merlin,mean,r2,0.5937
8,2027,density_merlin,0,r2,0.7811
8,2027,density_merlin,1,r2,0.8222
8,2027,density_merlin,2,r2,0.4815
8,2027,density_merlin,mean,r2,0.6949
9,2027,density_merlin,0,r2,0.7825
9,2027,density_merlin,1,r2,0.771
9,2027,density_merlin,2,r2,0.4939
9,2027,density_merlin,mean,r2,0.6825
10,2027,density_merlin,0,r2,0.7877
10,2027,density_merlin,1,r2,0.8174
10,2027,density_merlin,2,r2,0.4075
10,2027,density_merlin,mean,r2,0.6709
1,2028,density_merlin,0,r2,0.3975
1,2028,density_merlin,1,r2,0.4976
1,2028,density_merlin,2,r2,0.0456
1,2028,density_merlin,mean,r2,0.3136
2,2028,density_merlin,0,r2,0.6369
2,2028,density_merlin,1,r2,0.6818
2,2028,density_merlin,2,r2,0.0875
2,2028,density_merlin,mean,r2,0.4687
3,2028,density_merlin,0,r2,0.5432
3,2028,density_merlin,1,r2,0.7631
3,2028,density_merlin,2,r2,0.0753
3,2028,density_merlin,mean,r2,0.4605
4,2028,density_merlin,0,r2,0.7697
4,2028,density_merlin,1,r2,0.7962
4,2028,density_merlin,2,r2,0.2486
4,2028,density_merlin,mean,r2,0.6048
5,2028,density_merlin,0,r2,0.5965
5,2028,density_merlin,1,r2,0.7899
5,2028,density_merlin,2,r2,0.256
5,2028,density_merlin,mean,r2,0.5475
6,2028,density_merlin,0,r2,0.8023
6,2028,density_merlin,1,r2,0.8186
6,2028,density_merlin,2,r2,0.3726
6,2028,density_merlin,mean,r2,0.6645
7,2028,density_merlin,0,r2,0.8129
7,2028,density_merlin,1,r2,0.8199
7,2028,density_merlin,2,r2,0.3881
7,2028,density_merlin,mean,r2,0.6736
8,2028,density_merlin,0,r2,0.8197
8,2028,density_merlin,1,r2,0.8264
8,2028,density_merlin,2,r2,0.4045
8,2028,density_merlin,mean,r2,0.6835
9,2028,density_merlin,0,r2,0.8091
9,2028,density_merlin,1,r2,0.8037
9,2028,density_merlin,2,r2,0.4015
9,2028,density_merlin,mean,r2,0.6714
10,2028,density_merlin,0,r2,0.7808
10,2028,density_merlin,1,r2,0.8267
10,2028,density_merlin,2,r2,0.4265
10,2028,density_merlin,mean,r2,0.678
