epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.0426
1,2026,size_merlin,1,r2,0.018
1,2026,size_merlin,2,r2,0.0259
1,2026,size_merlin,3,r2,0.0206
1,2026,size_merlin,4,r2,0.3555
1,2026,size_merlin,5,r2,0.1262
1,2026,size_merlin,mean,r2,0.0982
2,2026,size_merlin,0,r2,0.1552
2,2026,size_merlin,1,r2,0.1
2,2026,size_merlin,2,r2,0.1716
2,2026,size_merlin,3,r2,0.1053
2,2026,size_merlin,4,r2,0.4187
2,2026,size_merlin,5,r2,0.1501
2,2026,size_merlin,mean,r2,0.1835
3,2026,size_merlin,0,r2,0.3478
3,2026,size_merlin,1,r2,0.2657
3,2026,size_merlin,2,r2,0.3175
3,2026,size_merlin,3,r2,0.2445
3,2026,size_merlin,4,r2,0.4437
3,2026,size_merlin,5,r2,0.1894
3,2026,size_merlin,mean,r2,0.3014
4,2026,size_merlin,0,r2,0.4823
4,2026,size_merlin,1,r2,0.3987
4,2026,size_merlin,2,r2,0.2393
4,2026,size_merlin,3,r2,0.2135
4,2026,size_merlin,4,r2,0.4167
4,2026,size_merlin,5,r2,0.1876
4,2026,size_merlin,mean,r2,0.323
5,2026,size_merlin,0,r2,0.5925
5,2026,size_merlin,1,r2,0.4914
5,2026,size_merlin,2,r2,0.2509
5,2026,size_merlin,3,r2,0.2263
5,2026,size_merlin,4,r2,0.4635
5,2026,size_merlin,5,r2,0.2098
5,2026,size_merlin,mean,r2,0.3724
6,2026,size_merlin,0,r2,0.65
6,2026,size_merlin,1,r2,0.5351
6,2026,size_merlin,2,r2,0.2033
6,2026,size_merlin,3,r2,0.2213
6,2026,size_merlin,4,r2,0.4914
6,2026,size_merlin,5,r2,0.2149
6,2026,size_merlin,mean,r2,0.386
7,2026,size_merlin,0,r2,0.7055
7,2026,size_merlin,1,r2,0.5848
7,2026,size_merlin,2,r2,0.216
7,2026,size_merlin,3,r2,0.2223
7,2026,size_merlin,4,r2,0.5127
7,2026,size_merlin,5,r2,0.2416
7,2026,size_merlin,mean,r2,0.4138
8,2026,size_merlin,0,r2,0.7427
8,2026,size_merlin,1,r2,0.6177
8,2026,size_merlin,2,r2,0.227
8,2026,size_merlin,3,r2,0.2321
8,2026,size_merlin,4,r2,0.4938
8,2026,size_merlin,5,r2,0.2223
8,2026,size_merlin,mean,r2,0.4226
9,2026,size_merlin,0,r2,0.7713
9,2026,size_merlin,1,r2,0.6326
9,2026,size_merlin,2,r2,0.2495
9,2026,size_merlin,3,r2,0.1782
9,2026,size_merlin,4,r2,0.5173
9,2026,size_merlin,5,r2,0.261
9,2026,size_merlin,mean,r2,0.435
10,2026,size_merlin,0,r2,0.7833
10,2026,size_merlin,1,r2,0.6642
10,2026,size_merlin,2,r2,0.3189
10,2026,size_merlin,3,r2,0.3399
10,2026,size_merlin,4,r2,0.5289
10,2026,size_merlin,5,r2,0.2458
10,2026,size_merlin,mean,r2,0.4802
1,2027,size_merlin,0,r2,-0.0013
1,2027,size_merlin,1,r2,-0.0014
1,2027,size_merlin,2,r2,0.0006
1,2027,size_merlin,3,r2,0.019
1,2027,size_merlin,4,r2,0.2207
1,2027,size_merlin,5,r2,0.1201
1,2027,size_merlin,mean,r2,0.0596
2,2027,size_merlin,0,r2,0.0008
2,2027,size_merlin,1,r2,0.0018
2,2027,size_merlin,2,r2,0.0006
2,2027,size_merlin,3,r2,0.0647
2,2027,size_merlin,4,r2,0.2967
2,2027,size_merlin,5,r2,0.156
