epoch,seed,family,target,metric,score
1,2026,disease_merlin,submucosal_edema,auroc,0.7552
1,2026,disease_merlin,renal_hypodensities,auroc,0.6734
1,2026,disease_merlin,aortic_valve_calcification,auroc,0.8646
1,2026,disease_merlin,coronary_calcification,auroc,0.7586
1,2026,disease_merlin,thrombosis,auroc,0.6446
1,2026,disease_merlin,metastatic_disease,auroc,0.8096
1,2026,disease_merlin,pancreatic_atrophy,auroc,0.7854
1,2026,disease_merlin,renal_cyst,auroc,0.6757
1,2026,disease_merlin,osteopenia,auroc,0.9057
1,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.708
1,2026,disease_merlin,atelectasis,auroc,0.764
1,2026,disease_merlin,abdominal_aortic_aneurysm,auroc,0.7611
1,2026,disease_merlin,anasarca,auroc,0.9599
1,2026,disease_merlin,hiatal_hernia,auroc,0.7639
1,2026,disease_merlin,lymphadenopathy,auroc,0.617
1,2026,disease_merlin,prostatomegaly,auroc,0.7288
1,2026,disease_merlin,biliary_ductal_dilation,auroc,0.774
1,2026,disease_merlin,cardiomegaly,auroc,0.7928
1,2026,disease_merlin,splenomegaly,auroc,0.7444
1,2026,disease_merlin,hepatomegaly,auroc,0.7038
1,2026,disease_merlin,atherosclerosis,auroc,0.7243
1,2026,disease_merlin,ascites,auroc,0.9205
1,2026,disease_merlin,pleural_effusion,auroc,0.8382
1,2026,disease_merlin,hepatic_steatosis,auroc,0.7692
1,2026,disease_merlin,appendicitis,auroc,0.6198
1,2026,disease_merlin,gallstones,auroc,0.6816
1,2026,disease_merlin,hydronephrosis,auroc,0.7001
1,2026,disease_merlin,bowel_obstruction,auroc,0.6847
1,2026,disease_merlin,free_air,auroc,0.7914
1,2026,disease_merlin,fracture,auroc,0.7222
1,2026,disease_merlin,macro,auroc,0.7547
1,2026,disease_merlin,micro,auroc,0.7766
2,2026,disease_merlin,submucosal_edema,auroc,0.7432
2,2026,disease_merlin,renal_hypodensities,auroc,0.7234
2,2026,disease_merlin,aortic_valve_calcification,auroc,0.8689
2,2026,disease_merlin,coronary_calcification,auroc,0.789
2,2026,disease_merlin,thrombosis,auroc,0.6701
2,2026,disease_merlin,metastatic_disease,auroc,0.7934
2,2026,disease_merlin,pancreatic_atrophy,auroc,0.7969
2,2026,disease_merlin,renal_cyst,auroc,0.6948
2,2026,disease_merlin,osteopenia,auroc,0.9458
2,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.7144
2,2026,disease_merlin,atelectasis,auroc,0.7784
2,2026,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8155
2,2026,disease_merlin,anasarca,auroc,0.9637
2,2026,disease_merlin,hiatal_hernia,auroc,0.7666
2,2026,disease_merlin,lymphadenopathy,auroc,0.6099
2,2026,disease_merlin,prostatomegaly,auroc,0.7756
2,2026,disease_merlin,biliary_ductal_dilation,auroc,0.7803
2,2026,disease_merlin,cardiomegaly,auroc,0.8013
2,2026,disease_merlin,splenomegaly,auroc,0.7635
2,2026,disease_merlin,hepatomegaly,auroc,0.7345
2,2026,disease_merlin,atherosclerosis,auroc,0.7665
2,2026,disease_merlin,ascites,auroc,0.9296
2,2026,disease_merlin,pleural_effusion,auroc,0.8389
2,2026,disease_merlin,hepatic_steatosis,auroc,0.6974
2,2026,disease_merlin,appendicitis,auroc,0.5906
2,2026,disease_merlin,gallstones,auroc,0.6913
2,2026,disease_merlin,hydronephrosis,auroc,0.6996
2,2026,disease_merlin,bowel_obstruction,auroc,0.6958
2,2026,disease_merlin,free_air,auroc,0.799
2,2026,disease_merlin,fracture,auroc,0.7503
2,2026,disease_merlin,macro,auroc,0.7663
2,2026,disease_merlin,micro,auroc,0.7902
3,2026,disease_merlin,submucosal_edema,auroc,0.7571
3,2026,disease_merlin,renal_hypodensities,auroc,0.7176
3,2026,disease_merlin,aortic_valve_calcification,auroc,0.8737
3,2026,disease_merlin,coronary_calcification,auroc,0.7859
3,2026,disease_merlin,thrombosis,auroc,0.6734
3,2026,disease_merlin,metastatic_disease,auroc,0.7785
3,2026,disease_merlin,pancreatic_atrophy,auroc,0.8026
3,2026,disease_merlin,renal_cyst,auroc,0.6971
3,2026,disease_merlin,osteopenia,auroc,0.9421
3,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.7203
3,2026,disease_merlin,atelectasis,auroc,0.783
3,2026,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8065
3,2026,disease_merlin,anasarca,auroc,0.9651
3,2026,disease_merlin,hiatal_hernia,auroc,0.7796
3,2026,disease_merlin,lymphadenopathy,auroc,0.626
3,2026,disease_merlin,prostatomegaly,auroc,0.7551
3,2026,disease_merlin,biliary_ductal_dilation,auroc,0.782
3,2026,disease_merlin,cardiomegaly,auroc,0.809
3,2026,disease_merlin,splenomegaly,auroc,0.7748
3,2026,disease_merlin,hepatomegaly,auroc,0.7727
3,2026,disease_merlin,atherosclerosis,auroc,0.7755
3,2026,disease_merlin,ascites,auroc,0.9336
3,2026,disease_merlin,pleural_effusion,auroc,0.8451
3,2026,disease_merlin,hepatic_steatosis,auroc,0.7929
3,2026,disease_merlin,appendicitis,auroc,0.6219
3,2026,disease_merlin,gallstones,auroc,0.7043
3,2026,disease_merlin,hydronephrosis,auroc,0.7076
3,2026,disease_merlin,bowel_obstruction,auroc,0.7339
3,2026,disease_merlin,free_air,auroc,0.8068
3,2026,disease_merlin,fracture,auroc,0.7533
3,2026,disease_merlin,macro,auroc,0.7759
3,2026,disease_merlin,micro,auroc,0.792
4,2026,disease_merlin,submucosal_edema,auroc,0.7566
4,2026,disease_merlin,renal_hypodensities,auroc,0.72
4,2026,disease_merlin,aortic_valve_calcification,auroc,0.8746
4,2026,disease_merlin,coronary_calcification,auroc,0.7903
4,2026,disease_merlin,thrombosis,auroc,0.6853
4,2026,disease_merlin,metastatic_disease,auroc,0.7835
4,2026,disease_merlin,pancreatic_atrophy,auroc,0.8003
4,2026,disease_merlin,renal_cyst,auroc,0.7017
4,2026,disease_merlin,osteopenia,auroc,0.941
4,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.7169
4,2026,disease_merlin,atelectasis,auroc,0.7834
4,2026,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8165
4,2026,disease_merlin,anasarca,auroc,0.9679
4,2026,disease_merlin,hiatal_hernia,auroc,0.785
4,2026,disease_merlin,lymphadenopathy,auroc,0.6132
4,2026,disease_merlin,prostatomegaly,auroc,0.7621
4,2026,disease_merlin,biliary_ductal_dilation,auroc,0.776
4,2026,disease_merlin,cardiomegaly,auroc,0.8087
4,2026,disease_merlin,splenomegaly,auroc,0.7634
4,2026,disease_merlin,hepatomegaly,auroc,0.7958
4,2026,disease_merlin,atherosclerosis,auroc,0.7694
4,2026,disease_merlin,ascites,auroc,0.9317
4,2026,disease_merlin,pleural_effusion,auroc,0.8468
4,2026,disease_merlin,hepatic_steatosis,auroc,0.877
4,2026,disease_merlin,appendicitis,auroc,0.6125
4,2026,disease_merlin,gallstones,auroc,0.7075
4,2026,disease_merlin,hydronephrosis,auroc,0.6928
4,2026,disease_merlin,bowel_obstruction,auroc,0.746
4,2026,disease_merlin,free_air,auroc,0.8088
4,2026,disease_merlin,fracture,auroc,0.7521
4,2026,disease_merlin,macro,auroc,0.7796
4,2026,disease_merlin,micro,auroc,0.78
5,2026,disease_merlin,submucosal_edema,auroc,0.751
5,2026,disease_merlin,renal_hypodensities,auroc,0.7205
5,2026,disease_merlin,aortic_valve_calcification,auroc,0.8774
5,2026,disease_merlin,coronary_calcification,auroc,0.8094
5,2026,disease_merlin,thrombosis,auroc,0.6832
5,2026,disease_merlin,metastatic_disease,auroc,0.7476
5,2026,disease_merlin,pancreatic_atrophy,auroc,0.8088
5,2026,disease_merlin,renal_cyst,auroc,0.7106
5,2026,disease_merlin,osteopenia,auroc,0.9409
5,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.7198
5,2026,disease_merlin,atelectasis,auroc,0.786
5,2026,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8196
5,2026,disease_merlin,anasarca,auroc,0.9666
5,2026,disease_merlin,hiatal_hernia,auroc,0.7889
5,2026,disease_merlin,lymphadenopathy,auroc,0.5957
5,2026,disease_merlin,prostatomegaly,auroc,0.7544
5,2026,disease_merlin,biliary_ductal_dilation,auroc,0.798
5,2026,disease_merlin,cardiomegaly,auroc,0.8093
5,2026,disease_merlin,splenomegaly,auroc,0.8038
5,2026,disease_merlin,hepatomegaly,auroc,0.816
5,2026,disease_merlin,atherosclerosis,auroc,0.7996
5,2026,disease_merlin,ascites,auroc,0.9392
5,2026,disease_merlin,pleural_effusion,auroc,0.8506
5,2026,disease_merlin,hepatic_steatosis,auroc,0.8884
5,2026,disease_merlin,appendicitis,auroc,0.5943
5,2026,disease_merlin,gallstones,auroc,0.7146
5,2026,disease_merlin,hydronephrosis,auroc,0.6852
5,2026,disease_merlin,bowel_obstruction,auroc,0.7913
5,2026,disease_merlin,free_air,auroc,0.8155
5,2026,disease_merlin,fracture,auroc,0.7572
5,2026,disease_merlin,macro,auroc,0.7848
5,2026,disease_merlin,micro,auroc,0.8147
6,2026,disease_merlin,submucosal_edema,auroc,0.7435
6,2026,disease_merlin,renal_hypodensities,auroc,0.7211
6,2026,disease_merlin,aortic_valve_calcification,auroc,0.8828
6,2026,disease_merlin,coronary_calcification,auroc,0.8063
6,2026,disease_merlin,thrombosis,auroc,0.6864
6,2026,disease_merlin,metastatic_disease,auroc,0.7629
6,2026,disease_merlin,pancreatic_atrophy,auroc,0.8016
6,2026,disease_merlin,renal_cyst,auroc,0.7086
6,2026,disease_merlin,osteopenia,auroc,0.9388
6,2026,disease_merlin,surgically_absent_gallbladder,auroc,0.7188
6,2026,disease_merlin,atelectasis,auroc,0.787
6,2026,disease_merlin,abdominal_aortic_aneurysm,auroc,0.8337
6,2026,disease_merlin,anasarca,auroc,0.9677
6,2026,disease_merlin,hiatal_hernia,auroc,0.7882
6,2026,disease_merlin,lymphadenopathy,auroc,0.5852
6,2026,disease_merlin,prostatomegaly,auroc,0.766
6,2026,disease_merlin,biliary_ductal_dilation,auroc,0.7962
6,2026,disease_merlin,cardiomegaly,auroc,0.8127
6,2026,disease_merlin,splenomegaly,auroc,0.7993
6,2026,disease_merlin,hepatomegaly,auroc,0.814
6,2026,disease_merlin,atherosclerosis,auroc,0.7961
6,2026,disease_merlin,ascites,auroc,0.9371
6,2026,disease_merlin,pleural_effusion,auroc,0.8516
6,2026,disease_merlin,hepatic_steatosis,auroc,0.9009
6,2026,disease_merlin,appendicitis,auroc,0.5714
6,2026,disease_merlin,gallstones,auroc,0.7123
6,2026,disease_merlin,hydronephrosis,auroc,0.6971
6,2026,disease_merlin,bowel_obstruction,auroc,0.7723
6,2026,disease_merlin,free_air,auroc,0.8203
6,2026,disease_merlin,fracture,auroc,0.7583
6,2026,disease_merlin,macro,auroc,0.7846
6,2026,disease_merlin,micro,auroc,0.8078
7,2026,disease_merlin,submucosal_edema,auroc,0.7406
7,2026,disease_merlin,renal_hypodensities,auroc,0.7211
7,2026,disease_merlin,aortic_valve_calcification,auroc,0.8837
7,2026,disease_merlin,coronary_calcification,auroc,0.8112
7,2026,disease_merlin,thrombosis,auroc,0.681
7,2026,disease_merlin,metastatic_disease,auroc,0.7575
7,2026,disease_merlin,pancreatic_atrophy,auroc,0.8099
7,2026,disease_merlin,renal_cyst,auroc,0.7114
