epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.2877
1,2026,size_merlin,1,r2,0.2745
1,2026,size_merlin,2,r2,0.2529
1,2026,size_merlin,3,r2,0.276
1,2026,size_merlin,4,r2,0.3304
1,2026,size_merlin,5,r2,0.1204
1,2026,size_merlin,mean,r2,0.257
2,2026,size_merlin,0,r2,0.7233
2,2026,size_merlin,1,r2,0.6526
2,2026,size_merlin,2,r2,0.3328
2,2026,size_merlin,3,r2,0.3582
2,2026,size_merlin,4,r2,0.2853
2,2026,size_merlin,5,r2,0.1019
2,2026,size_merlin,mean,r2,0.409
3,2026,size_merlin,0,r2,0.7011
3,2026,size_merlin,1,r2,0.6751
3,2026,size_merlin,2,r2,0.2666
3,2026,size_merlin,3,r2,0.2657
3,2026,size_merlin,4,r2,0.2806
3,2026,size_merlin,5,r2,0.1089
3,2026,size_merlin,mean,r2,0.383
4,2026,size_merlin,0,r2,0.7884
4,2026,size_merlin,1,r2,0.7089
4,2026,size_merlin,2,r2,0.3606
4,2026,size_merlin,3,r2,0.4101
4,2026,size_merlin,4,r2,0.3727
4,2026,size_merlin,5,r2,0.1821
4,2026,size_merlin,mean,r2,0.4705
5,2026,size_merlin,0,r2,0.8002
5,2026,size_merlin,1,r2,0.7281
5,2026,size_merlin,2,r2,0.451
5,2026,size_merlin,3,r2,0.4478
5,2026,size_merlin,4,r2,0.4098
5,2026,size_merlin,5,r2,0.204
5,2026,size_merlin,mean,r2,0.5068
6,2026,size_merlin,0,r2,0.7638
6,2026,size_merlin,1,r2,0.7115
6,2026,size_merlin,2,r2,0.4375
6,2026,size_merlin,3,r2,0.3801
6,2026,size_merlin,4,r2,0.3619
6,2026,size_merlin,5,r2,0.1971
6,2026,size_merlin,mean,r2,0.4753
7,2026,size_merlin,0,r2,0.8172
7,2026,size_merlin,1,r2,0.7418
7,2026,size_merlin,2,r2,0.4769
7,2026,size_merlin,3,r2,0.4395
7,2026,size_merlin,4,r2,0.4534
7,2026,size_merlin,5,r2,0.1902
7,2026,size_merlin,mean,r2,0.5199
8,2026,size_merlin,0,r2,0.8204
8,2026,size_merlin,1,r2,0.7221
8,2026,size_merlin,2,r2,0.4952
8,2026,size_merlin,3,r2,0.4761
8,2026,size_merlin,4,r2,0.4356
8,2026,size_merlin,5,r2,0.2131
8,2026,size_merlin,mean,r2,0.5271
9,2026,size_merlin,0,r2,0.8215
9,2026,size_merlin,1,r2,0.7285
9,2026,size_merlin,2,r2,0.4586
9,2026,size_merlin,3,r2,0.448
9,2026,size_merlin,4,r2,0.4607
9,2026,size_merlin,5,r2,0.2281
9,2026,size_merlin,mean,r2,0.5242
10,2026,size_merlin,0,r2,0.821
10,2026,size_merlin,1,r2,0.734
10,2026,size_merlin,2,r2,0.487
10,2026,size_merlin,3,r2,0.42
10,2026,size_merlin,4,r2,0.4761
10,2026,size_merlin,5,r2,0.2402
10,2026,size_merlin,mean,r2,0.5297
1,2027,size_merlin,0,r2,0.2914
1,2027,size_merlin,1,r2,0.2682
1,2027,size_merlin,2,r2,0.2417
1,2027,size_merlin,3,r2,0.2206
1,2027,size_merlin,4,r2,0.3483
1,2027,size_merlin,5,r2,0.1318
1,2027,size_merlin,mean,r2,0.2503
2,2027,size_merlin,0,r2,0.7183
2,2027,size_merlin,1,r2,0.6561
2,2027,size_merlin,2,r2,0.3409
2,2027,size_merlin,3,r2,0.3437
2,2027,size_merlin,4,r2,0.365
2,2027,size_merlin,5,r2,0.1548
2,2027,size_merlin,mean,r2,0.4298
3,2027,size_merlin,0,r2,0.7809
3,2027,size_merlin,1,r2,0.6903
3,2027,size_merlin,2,r2,0.3843
3,2027,size_merlin,3,r2,0.3748
3,2027,size_merlin,4,r2,0.4105
3,2027,size_merlin,5,r2,0.1737
3,2027,size_merlin,mean,r2,0.4691
4,2027,size_merlin,0,r2,0.7797
4,2027,size_merlin,1,r2,0.7143
4,2027,size_merlin,2,r2,0.3976
4,2027,size_merlin,3,r2,0.3916
4,2027,size_merlin,4,r2,0.4302
4,2027,size_merlin,5,r2,0.1743
4,2027,size_merlin,mean,r2,0.4813
5,2027,size_merlin,0,r2,0.7963
5,2027,size_merlin,1,r2,0.7091
5,2027,size_merlin,2,r2,0.4429
5,2027,size_merlin,3,r2,0.428
5,2027,size_merlin,4,r2,0.451
5,2027,size_merlin,5,r2,0.1831
5,2027,size_merlin,mean,r2,0.5017
6,2027,size_merlin,0,r2,0.8232
6,2027,size_merlin,1,r2,0.7297
6,2027,size_merlin,2,r2,0.4629
6,2027,size_merlin,3,r2,0.4324
6,2027,size_merlin,4,r2,0.439
6,2027,size_merlin,5,r2,0.1894
6,2027,size_merlin,mean,r2,0.5128
7,2027,size_merlin,0,r2,0.8175
7,2027,size_merlin,1,r2,0.7329
7,2027,size_merlin,2,r2,0.4674
7,2027,size_merlin,3,r2,0.4406
7,2027,size_merlin,4,r2,0.4103
7,2027,size_merlin,5,r2,0.2106
7,2027,size_merlin,mean,r2,0.5132
8,2027,size_merlin,0,r2,0.8048
8,2027,size_merlin,1,r2,0.7181
8,2027,size_merlin,2,r2,0.439
8,2027,size_merlin,3,r2,0.4369
8,2027,size_merlin,4,r2,0.4712
8,2027,size_merlin,5,r2,0.2169
8,2027,size_merlin,mean,r2,0.5145
9,2027,size_merlin,0,r2,0.8166
9,2027,size_merlin,1,r2,0.7305
9,2027,size_merlin,2,r2,0.4695
9,2027,size_merlin,3,r2,0.4295
9,2027,size_merlin,4,r2,0.4837
9,2027,size_merlin,5,r2,0.2155
9,2027,size_merlin,mean,r2,0.5242
10,2027,size_merlin,0,r2,0.8324
10,2027,size_merlin,1,r2,0.7275
10,2027,size_merlin,2,r2,0.4988
10,2027,size_merlin,3,r2,0.446
10,2027,size_merlin,4,r2,0.4868
10,2027,size_merlin,5,r2,0.1815
10,2027,size_merlin,mean,r2,0.5288
1,2028,size_merlin,0,r2,0.4149
1,2028,size_merlin,1,r2,0.3783
1,2028,size_merlin,2,r2,0.2481
1,2028,size_merlin,3,r2,0.1984
1,2028,size_merlin,4,r2,0.3101
1,2028,size_merlin,5,r2,0.136
1,2028,size_merlin,mean,r2,0.281
2,2028,size_merlin,0,r2,0.671
2,2028,size_merlin,1,r2,0.6073
2,2028,size_merlin,2,r2,0.2902
2,2028,size_merlin,3,r2,0.3545
2,2028,size_merlin,4,r2,0.3696
2,2028,size_merlin,5,r2,0.1541
2,2028,size_merlin,mean,r2,0.4078
3,2028,size_merlin,0,r2,0.7822
3,2028,size_merlin,1,r2,0.7016
3,2028,size_merlin,2,r2,0.3882
3,2028,size_merlin,3,r2,0.3991
3,2028,size_merlin,4,r2,0.323
3,2028,size_merlin,5,r2,0.1476
3,2028,size_merlin,mean,r2,0.457
4,2028,size_merlin,0,r2,0.792
4,2028,size_merlin,1,r2,0.7223
4,2028,size_merlin,2,r2,0.3619
4,2028,size_merlin,3,r2,0.4298
4,2028,size_merlin,4,r2,0.4095
4,2028,size_merlin,5,r2,0.1876
4,2028,size_merlin,mean,r2,0.4839
5,2028,size_merlin,0,r2,0.8049
5,2028,size_merlin,1,r2,0.7233
5,2028,size_merlin,2,r2,0.4464
5,2028,size_merlin,3,r2,0.4559
5,2028,size_merlin,4,r2,0.4194
5,2028,size_merlin,5,r2,0.1873
5,2028,size_merlin,mean,r2,0.5062
6,2028,size_merlin,0,r2,0.772
6,2028,size_merlin,1,r2,0.7066
6,2028,size_merlin,2,r2,0.4129
6,2028,size_merlin,3,r2,0.4559
6,2028,size_merlin,4,r2,0.4411
6,2028,size_merlin,5,r2,0.186
6,2028,size_merlin,mean,r2,0.4957
7,2028,size_merlin,0,r2,0.8032
7,2028,size_merlin,1,r2,0.7221
7,2028,size_merlin,2,r2,0.4577
7,2028,size_merlin,3,r2,0.4347
7,2028,size_merlin,4,r2,0.4444
7,2028,size_merlin,5,r2,0.2197
7,2028,size_merlin,mean,r2,0.5136
8,2028,size_merlin,0,r2,0.819
8,2028,size_merlin,1,r2,0.7343
8,2028,size_merlin,2,r2,0.4519
8,2028,size_merlin,3,r2,0.4761
8,2028,size_merlin,4,r2,0.4659
