epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.6923
1,2026,density_merlin,1,r2,0.8158
1,2026,density_merlin,2,r2,0.0869
1,2026,density_merlin,mean,r2,0.5316
2,2026,density_merlin,0,r2,0.6994
2,2026,density_merlin,1,r2,0.896
2,2026,density_merlin,2,r2,0.3321
2,2026,density_merlin,mean,r2,0.6425
3,2026,density_merlin,0,r2,0.7551
3,2026,density_merlin,1,r2,0.9117
3,2026,density_merlin,2,r2,0.5147
3,2026,density_merlin,mean,r2,0.7272
4,2026,density_merlin,0,r2,0.7654
4,2026,density_merlin,1,r2,0.9091
4,2026,density_merlin,2,r2,0.5417
4,2026,density_merlin,mean,r2,0.7387
5,2026,density_merlin,0,r2,0.7791
5,2026,density_merlin,1,r2,0.9396
5,2026,density_merlin,2,r2,0.6258
5,2026,density_merlin,mean,r2,0.7815
6,2026,density_merlin,0,r2,0.7696
6,2026,density_merlin,1,r2,0.9378
6,2026,density_merlin,2,r2,0.5821
6,2026,density_merlin,mean,r2,0.7632
7,2026,density_merlin,0,r2,0.7551
7,2026,density_merlin,1,r2,0.9398
7,2026,density_merlin,2,r2,0.6532
7,2026,density_merlin,mean,r2,0.7827
8,2026,density_merlin,0,r2,0.7786
8,2026,density_merlin,1,r2,0.9436
8,2026,density_merlin,2,r2,0.6444
8,2026,density_merlin,mean,r2,0.7888
9,2026,density_merlin,0,r2,0.7911
9,2026,density_merlin,1,r2,0.9458
9,2026,density_merlin,2,r2,0.6438
9,2026,density_merlin,mean,r2,0.7936
10,2026,density_merlin,0,r2,0.7709
10,2026,density_merlin,1,r2,0.9315
10,2026,density_merlin,2,r2,0.6705
10,2026,density_merlin,mean,r2,0.791
1,2027,density_merlin,0,r2,0.7294
1,2027,density_merlin,1,r2,0.7982
1,2027,density_merlin,2,r2,0.0448
1,2027,density_merlin,mean,r2,0.5241
2,2027,density_merlin,0,r2,0.7183
2,2027,density_merlin,1,r2,0.9003
2,2027,density_merlin,2,r2,0.1164
2,2027,density_merlin,mean,r2,0.5783
3,2027,density_merlin,0,r2,0.7448
3,2027,density_merlin,1,r2,0.8862
3,2027,density_merlin,2,r2,0.2586
3,2027,density_merlin,mean,r2,0.6299
4,2027,density_merlin,0,r2,0.7439
4,2027,density_merlin,1,r2,0.8842
4,2027,density_merlin,2,r2,0.3755
4,2027,density_merlin,mean,r2,0.6679
5,2027,density_merlin,0,r2,0.7649
5,2027,density_merlin,1,r2,0.8956
5,2027,density_merlin,2,r2,0.4267
5,2027,density_merlin,mean,r2,0.6957
6,2027,density_merlin,0,r2,0.7743
6,2027,density_merlin,1,r2,0.9097
6,2027,density_merlin,2,r2,0.5236
6,2027,density_merlin,mean,r2,0.7359
7,2027,density_merlin,0,r2,0.7886
7,2027,density_merlin,1,r2,0.91
7,2027,density_merlin,2,r2,0.5844
7,2027,density_merlin,mean,r2,0.761
8,2027,density_merlin,0,r2,0.7929
8,2027,density_merlin,1,r2,0.9245
8,2027,density_merlin,2,r2,0.6184
8,2027,density_merlin,mean,r2,0.7786
9,2027,density_merlin,0,r2,0.7916
9,2027,density_merlin,1,r2,0.9246
9,2027,density_merlin,2,r2,0.5901
9,2027,density_merlin,mean,r2,0.7688
10,2027,density_merlin,0,r2,0.7933
10,2027,density_merlin,1,r2,0.9345
10,2027,density_merlin,2,r2,0.6547
10,2027,density_merlin,mean,r2,0.7942
1,2028,density_merlin,0,r2,0.7318
1,2028,density_merlin,1,r2,0.8138
1,2028,density_merlin,2,r2,0.1464
1,2028,density_merlin,mean,r2,0.564
2,2028,density_merlin,0,r2,0.7455
2,2028,density_merlin,1,r2,0.8875
2,2028,density_merlin,2,r2,0.432
2,2028,density_merlin,mean,r2,0.6884
3,2028,density_merlin,0,r2,0.7652
3,2028,density_merlin,1,r2,0.9164
3,2028,density_merlin,2,r2,0.5526
3,2028,density_merlin,mean,r2,0.7447
4,2028,density_merlin,0,r2,0.7754
4,2028,density_merlin,1,r2,0.9271
4,2028,density_merlin,2,r2,0.6219
4,2028,density_merlin,mean,r2,0.7748
5,2028,density_merlin,0,r2,0.7849
5,2028,density_merlin,1,r2,0.9276
5,2028,density_merlin,2,r2,0.6305
5,2028,density_merlin,mean,r2,0.781
6,2028,density_merlin,0,r2,0.7872
6,2028,density_merlin,1,r2,0.924
6,2028,density_merlin,2,r2,0.6297
6,2028,density_merlin,mean,r2,0.7803
7,2028,density_merlin,0,r2,0.7829
7,2028,density_merlin,1,r2,0.9313
7,2028,density_merlin,2,r2,0.6542
7,2028,density_merlin,mean,r2,0.7895
8,2028,density_merlin,0,r2,0.7719
8,2028,density_merlin,1,r2,0.9401
8,2028,density_merlin,2,r2,0.6633
8,2028,density_merlin,mean,r2,0.7917
9,2028,density_merlin,0,r2,0.7952
9,2028,density_merlin,1,r2,0.9372
9,2028,density_merlin,2,r2,0.6683
9,2028,density_merlin,mean,r2,0.8002
10,2028,density_merlin,0,r2,0.8
10,2028,density_merlin,1,r2,0.9412
10,2028,density_merlin,2,r2,0.6567
10,2028,density_merlin,mean,r2,0.7993
