epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8697
1,2026,size,1,r2,0.5586
1,2026,size,2,r2,0.5103
1,2026,size,3,r2,0.6396
1,2026,size,4,r2,0.7344
1,2026,size,mean,r2,0.6625
2,2026,size,0,r2,0.8813
2,2026,size,1,r2,0.5824
2,2026,size,2,r2,0.5192
2,2026,size,3,r2,0.629
2,2026,size,4,r2,0.7674
2,2026,size,mean,r2,0.6759
3,2026,size,0,r2,0.8883
3,2026,size,1,r2,0.6166
3,2026,size,2,r2,0.5393
3,2026,size,3,r2,0.6601
3,2026,size,4,r2,0.7781
3,2026,size,mean,r2,0.6965
4,2026,size,0,r2,0.8973
4,2026,size,1,r2,0.6048
4,2026,size,2,r2,0.5322
4,2026,size,3,r2,0.6662
4,2026,size,4,r2,0.751
4,2026,size,mean,r2,0.6903
5,2026,size,0,r2,0.8931
5,2026,size,1,r2,0.6431
5,2026,size,2,r2,0.5441
5,2026,size,3,r2,0.6549
5,2026,size,4,r2,0.7921
5,2026,size,mean,r2,0.7055
6,2026,size,0,r2,0.9013
6,2026,size,1,r2,0.643
6,2026,size,2,r2,0.5441
6,2026,size,3,r2,0.6555
6,2026,size,4,r2,0.7983
6,2026,size,mean,r2,0.7084
7,2026,size,0,r2,0.8875
7,2026,size,1,r2,0.6248
7,2026,size,2,r2,0.5468
7,2026,size,3,r2,0.6645
7,2026,size,4,r2,0.7943
7,2026,size,mean,r2,0.7036
8,2026,size,0,r2,0.886
8,2026,size,1,r2,0.6457
8,2026,size,2,r2,0.5452
8,2026,size,3,r2,0.6573
8,2026,size,4,r2,0.7996
8,2026,size,mean,r2,0.7068
9,2026,size,0,r2,0.9036
9,2026,size,1,r2,0.6521
9,2026,size,2,r2,0.5603
9,2026,size,3,r2,0.6631
9,2026,size,4,r2,0.8027
9,2026,size,mean,r2,0.7164
10,2026,size,0,r2,0.9013
10,2026,size,1,r2,0.6562
10,2026,size,2,r2,0.5554
10,2026,size,3,r2,0.6593
10,2026,size,4,r2,0.797
10,2026,size,mean,r2,0.7138
1,2027,size,0,r2,0.866
1,2027,size,1,r2,0.5426
1,2027,size,2,r2,0.4532
1,2027,size,3,r2,0.6563
1,2027,size,4,r2,0.725
1,2027,size,mean,r2,0.6486
2,2027,size,0,r2,0.8831
2,2027,size,1,r2,0.5947
2,2027,size,2,r2,0.5119
