epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.4528
1,2026,location_merlin,1,r2,0.2895
1,2026,location_merlin,2,r2,0.0666
1,2026,location_merlin,mean,r2,0.2696
2,2026,location_merlin,0,r2,0.5491
2,2026,location_merlin,1,r2,0.5059
2,2026,location_merlin,2,r2,0.1785
2,2026,location_merlin,mean,r2,0.4112
3,2026,location_merlin,0,r2,0.6079
3,2026,location_merlin,1,r2,0.5788
3,2026,location_merlin,2,r2,0.3314
3,2026,location_merlin,mean,r2,0.506
4,2026,location_merlin,0,r2,0.6069
4,2026,location_merlin,1,r2,0.5834
4,2026,location_merlin,2,r2,0.3774
4,2026,location_merlin,mean,r2,0.5226
5,2026,location_merlin,0,r2,0.6323
5,2026,location_merlin,1,r2,0.639
5,2026,location_merlin,2,r2,0.3945
5,2026,location_merlin,mean,r2,0.5553
6,2026,location_merlin,0,r2,0.6595
6,2026,location_merlin,1,r2,0.6517
6,2026,location_merlin,2,r2,0.3864
6,2026,location_merlin,mean,r2,0.5658
7,2026,location_merlin,0,r2,0.6567
7,2026,location_merlin,1,r2,0.6203
7,2026,location_merlin,2,r2,0.4202
7,2026,location_merlin,mean,r2,0.5657
8,2026,location_merlin,0,r2,0.6749
8,2026,location_merlin,1,r2,0.659
8,2026,location_merlin,2,r2,0.4166
8,2026,location_merlin,mean,r2,0.5835
9,2026,location_merlin,0,r2,0.668
9,2026,location_merlin,1,r2,0.6806
9,2026,location_merlin,2,r2,0.4294
9,2026,location_merlin,mean,r2,0.5927
10,2026,location_merlin,0,r2,0.6535
10,2026,location_merlin,1,r2,0.6862
10,2026,location_merlin,2,r2,0.4431
10,2026,location_merlin,mean,r2,0.5943
1,2027,location_merlin,0,r2,0.4405
1,2027,location_merlin,1,r2,0.2902
1,2027,location_merlin,2,r2,0.1758
1,2027,location_merlin,mean,r2,0.3022
2,2027,location_merlin,0,r2,0.5761
2,2027,location_merlin,1,r2,0.502
2,2027,location_merlin,2,r2,0.1652
2,2027,location_merlin,mean,r2,0.4144
3,2027,location_merlin,0,r2,0.6208
3,2027,location_merlin,1,r2,0.5616
3,2027,location_merlin,2,r2,0.2261
3,2027,location_merlin,mean,r2,0.4695
4,2027,location_merlin,0,r2,0.6347
4,2027,location_merlin,1,r2,0.5743
4,2027,location_merlin,2,r2,0.2315
4,2027,location_merlin,mean,r2,0.4801
5,2027,location_merlin,0,r2,0.5553
5,2027,location_merlin,1,r2,0.5663
5,2027,location_merlin,2,r2,0.2242
5,2027,location_merlin,mean,r2,0.4486
6,2027,location_merlin,0,r2,0.6524
6,2027,location_merlin,1,r2,0.586
6,2027,location_merlin,2,r2,0.2895
6,2027,location_merlin,mean,r2,0.5093
7,2027,location_merlin,0,r2,0.6674
7,2027,location_merlin,1,r2,0.6065
7,2027,location_merlin,2,r2,0.3663
7,2027,location_merlin,mean,r2,0.5467
8,2027,location_merlin,0,r2,0.6867
8,2027,location_merlin,1,r2,0.6318
8,2027,location_merlin,2,r2,0.3547
8,2027,location_merlin,mean,r2,0.5577
9,2027,location_merlin,0,r2,0.6708
9,2027,location_merlin,1,r2,0.6125
9,2027,location_merlin,2,r2,0.4272
9,2027,location_merlin,mean,r2,0.5702
10,2027,location_merlin,0,r2,0.682
10,2027,location_merlin,1,r2,0.6046
10,2027,location_merlin,2,r2,0.4308
10,2027,location_merlin,mean,r2,0.5725
1,2028,location_merlin,0,r2,0.2853
1,2028,location_merlin,1,r2,0.1937
1,2028,location_merlin,2,r2,0.2502
1,2028,location_merlin,mean,r2,0.243
2,2028,location_merlin,0,r2,0.4746
2,2028,location_merlin,1,r2,0.4582
2,2028,location_merlin,2,r2,0.3186
2,2028,location_merlin,mean,r2,0.4171
3,2028,location_merlin,0,r2,0.5705
3,2028,location_merlin,1,r2,0.5549
3,2028,location_merlin,2,r2,0.3615
3,2028,location_merlin,mean,r2,0.4956
4,2028,location_merlin,0,r2,0.5732
4,2028,location_merlin,1,r2,0.5885
4,2028,location_merlin,2,r2,0.3758
4,2028,location_merlin,mean,r2,0.5125
5,2028,location_merlin,0,r2,0.5818
5,2028,location_merlin,1,r2,0.6009
5,2028,location_merlin,2,r2,0.3789
5,2028,location_merlin,mean,r2,0.5205
6,2028,location_merlin,0,r2,0.6206
6,2028,location_merlin,1,r2,0.6125
6,2028,location_merlin,2,r2,0.4059
6,2028,location_merlin,mean,r2,0.5463
7,2028,location_merlin,0,r2,0.6166
7,2028,location_merlin,1,r2,0.6479
7,2028,location_merlin,2,r2,0.3655
7,2028,location_merlin,mean,r2,0.5433
8,2028,location_merlin,0,r2,0.6373
8,2028,location_merlin,1,r2,0.6523
8,2028,location_merlin,2,r2,0.427
8,2028,location_merlin,mean,r2,0.5722
9,2028,location_merlin,0,r2,0.6302
9,2028,location_merlin,1,r2,0.6655
9,2028,location_merlin,2,r2,0.4416
9,2028,location_merlin,mean,r2,0.5791
10,2028,location_merlin,0,r2,0.6525
10,2028,location_merlin,1,r2,0.6567
10,2028,location_merlin,2,r2,0.4491
10,2028,location_merlin,mean,r2,0.5861
