epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.8227
1,2026,density,1,r2,0.6447
1,2026,density,2,r2,0.9298
1,2026,density,3,r2,0.8966
1,2026,density,mean,r2,0.8235
2,2026,density,0,r2,0.8373
2,2026,density,1,r2,0.7526
2,2026,density,2,r2,0.9099
2,2026,density,3,r2,0.9085
2,2026,density,mean,r2,0.8521
3,2026,density,0,r2,0.8497
3,2026,density,1,r2,0.8313
3,2026,density,2,r2,0.9339
3,2026,density,3,r2,0.9195
3,2026,density,mean,r2,0.8836
4,2026,density,0,r2,0.8379
4,2026,density,1,r2,0.8333
4,2026,density,2,r2,0.946
4,2026,density,3,r2,0.9277
4,2026,density,mean,r2,0.8862
5,2026,density,0,r2,0.8615
5,2026,density,1,r2,0.8618
5,2026,density,2,r2,0.9528
5,2026,density,3,r2,0.9356
5,2026,density,mean,r2,0.9029
6,2026,density,0,r2,0.8582
6,2026,density,1,r2,0.8655
6,2026,density,2,r2,0.9613
6,2026,density,3,r2,0.9354
6,2026,density,mean,r2,0.9051
7,2026,density,0,r2,0.8643
7,2026,density,1,r2,0.8824
7,2026,density,2,r2,0.9464
7,2026,density,3,r2,0.9342
7,2026,density,mean,r2,0.9068
8,2026,density,0,r2,0.8589
8,2026,density,1,r2,0.887
8,2026,density,2,r2,0.9638
8,2026,density,3,r2,0.9431
8,2026,density,mean,r2,0.9132
9,2026,density,0,r2,0.8643
9,2026,density,1,r2,0.8899
9,2026,density,2,r2,0.9616
9,2026,density,3,r2,0.9422
9,2026,density,mean,r2,0.9145
10,2026,density,0,r2,0.8531
10,2026,density,1,r2,0.8928
10,2026,density,2,r2,0.9652
10,2026,density,3,r2,0.9449
10,2026,density,mean,r2,0.914
1,2027,density,0,r2,0.834
1,2027,density,1,r2,0.6418
1,2027,density,2,r2,0.9333
1,2027,density,3,r2,0.9133
1,2027,density,mean,r2,0.8306
2,2027,density,0,r2,0.837
2,2027,density,1,r2,0.7646
2,2027,density,2,r2,0.9431
2,2027,density,3,r2,0.921
2,2027,density,mean,r2,0.8664
3,2027,density,0,r2,0.843
3,2027,density,1,r2,0.7992
3,2027,density,2,r2,0.954
3,2027,density,3,r2,0.9341
3,2027,density,mean,r2,0.8826
4,2027,density,0,r2,0.8465
4,2027,density,1,r2,0.828
4,2027,density,2,r2,0.9402
4,2027,density,3,r2,0.9332
4,2027,density,mean,r2,0.887
5,2027,density,0,r2,0.8556
5,2027,density,1,r2,0.8347
5,2027,density,2,r2,0.9479
5,2027,density,3,r2,0.9217
5,2027,density,mean,r2,0.89
6,2027,density,0,r2,0.8619
6,2027,density,1,r2,0.8167
6,2027,density,2,r2,0.9592
6,2027,density,3,r2,0.9372
6,2027,density,mean,r2,0.8938
7,2027,density,0,r2,0.8633
7,2027,density,1,r2,0.8558
7,2027,density,2,r2,0.9592
7,2027,density,3,r2,0.9403
7,2027,density,mean,r2,0.9046
8,2027,density,0,r2,0.8604
8,2027,density,1,r2,0.8175
8,2027,density,2,r2,0.9598
8,2027,density,3,r2,0.9393
8,2027,density,mean,r2,0.8942
9,2027,density,0,r2,0.8387
9,2027,density,1,r2,0.8565
9,2027,density,2,r2,0.9575
9,2027,density,3,r2,0.9373
9,2027,density,mean,r2,0.8975
10,2027,density,0,r2,0.8655
10,2027,density,1,r2,0.8471
10,2027,density,2,r2,0.9638
10,2027,density,3,r2,0.9425
10,2027,density,mean,r2,0.9047
1,2028,density,0,r2,0.8205
1,2028,density,1,r2,0.6284
1,2028,density,2,r2,0.9265
1,2028,density,3,r2,0.9027
1,2028,density,mean,r2,0.8195
2,2028,density,0,r2,0.8421
2,2028,density,1,r2,0.7625
2,2028,density,2,r2,0.9429
2,2028,density,3,r2,0.9165
2,2028,density,mean,r2,0.866
3,2028,density,0,r2,0.8497
3,2028,density,1,r2,0.7923
3,2028,density,2,r2,0.9496
3,2028,density,3,r2,0.9248
3,2028,density,mean,r2,0.8791
4,2028,density,0,r2,0.8421
4,2028,density,1,r2,0.8208
4,2028,density,2,r2,0.9447
4,2028,density,3,r2,0.9277
4,2028,density,mean,r2,0.8838
5,2028,density,0,r2,0.8579
5,2028,density,1,r2,0.8363
5,2028,density,2,r2,0.956
5,2028,density,3,r2,0.9357
5,2028,density,mean,r2,0.8964
6,2028,density,0,r2,0.8557
6,2028,density,1,r2,0.8481
6,2028,density,2,r2,0.9619
6,2028,density,3,r2,0.9394
6,2028,density,mean,r2,0.9013
7,2028,density,0,r2,0.8551
7,2028,density,1,r2,0.8733
7,2028,density,2,r2,0.9593
7,2028,density,3,r2,0.9414
7,2028,density,mean,r2,0.9073
8,2028,density,0,r2,0.8595
8,2028,density,1,r2,0.8154
8,2028,density,2,r2,0.9635
8,2028,density,3,r2,0.9363
8,2028,density,mean,r2,0.8937
9,2028,density,0,r2,0.8601
9,2028,density,1,r2,0.8801
9,2028,density,2,r2,0.9549
9,2028,density,3,r2,0.9349
9,2028,density,mean,r2,0.9075
10,2028,density,0,r2,0.864
10,2028,density,1,r2,0.8741
10,2028,density,2,r2,0.9594
10,2028,density,3,r2,0.9401
10,2028,density,mean,r2,0.9094
