epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.5416
1,2026,location_merlin,1,r2,0.4629
1,2026,location_merlin,2,r2,0.0807
1,2026,location_merlin,mean,r2,0.3617
2,2026,location_merlin,0,r2,0.6798
2,2026,location_merlin,1,r2,0.5806
2,2026,location_merlin,2,r2,0.0609
2,2026,location_merlin,mean,r2,0.4404
3,2026,location_merlin,0,r2,0.7151
3,2026,location_merlin,1,r2,0.7101
3,2026,location_merlin,2,r2,0.1843
3,2026,location_merlin,mean,r2,0.5365
4,2026,location_merlin,0,r2,0.6676
4,2026,location_merlin,1,r2,0.7132
4,2026,location_merlin,2,r2,0.157
4,2026,location_merlin,mean,r2,0.5126
5,2026,location_merlin,0,r2,0.7253
5,2026,location_merlin,1,r2,0.7269
5,2026,location_merlin,2,r2,0.1952
5,2026,location_merlin,mean,r2,0.5491
6,2026,location_merlin,0,r2,0.7448
6,2026,location_merlin,1,r2,0.7545
6,2026,location_merlin,2,r2,0.2127
6,2026,location_merlin,mean,r2,0.5707
7,2026,location_merlin,0,r2,0.7562
7,2026,location_merlin,1,r2,0.769
7,2026,location_merlin,2,r2,0.2202
7,2026,location_merlin,mean,r2,0.5818
8,2026,location_merlin,0,r2,0.7459
8,2026,location_merlin,1,r2,0.773
8,2026,location_merlin,2,r2,0.2537
8,2026,location_merlin,mean,r2,0.5909
9,2026,location_merlin,0,r2,0.7509
9,2026,location_merlin,1,r2,0.6916
9,2026,location_merlin,2,r2,0.3065
9,2026,location_merlin,mean,r2,0.583
10,2026,location_merlin,0,r2,0.7592
10,2026,location_merlin,1,r2,0.7616
10,2026,location_merlin,2,r2,0.3295
10,2026,location_merlin,mean,r2,0.6167
1,2027,location_merlin,0,r2,0.5656
1,2027,location_merlin,1,r2,0.3193
1,2027,location_merlin,2,r2,0.075
1,2027,location_merlin,mean,r2,0.32
2,2027,location_merlin,0,r2,0.6611
2,2027,location_merlin,1,r2,0.4152
2,2027,location_merlin,2,r2,0.1484
2,2027,location_merlin,mean,r2,0.4082
3,2027,location_merlin,0,r2,0.6859
3,2027,location_merlin,1,r2,0.6152
3,2027,location_merlin,2,r2,0.1667
3,2027,location_merlin,mean,r2,0.4893
4,2027,location_merlin,0,r2,0.7067
4,2027,location_merlin,1,r2,0.6872
4,2027,location_merlin,2,r2,0.1818
4,2027,location_merlin,mean,r2,0.5253
5,2027,location_merlin,0,r2,0.7369
5,2027,location_merlin,1,r2,0.7246
5,2027,location_merlin,2,r2,0.1773
5,2027,location_merlin,mean,r2,0.5463
6,2027,location_merlin,0,r2,0.7332
6,2027,location_merlin,1,r2,0.7395
6,2027,location_merlin,2,r2,0.2162
6,2027,location_merlin,mean,r2,0.563
7,2027,location_merlin,0,r2,0.7546
7,2027,location_merlin,1,r2,0.7535
7,2027,location_merlin,2,r2,0.1635
7,2027,location_merlin,mean,r2,0.5572
8,2027,location_merlin,0,r2,0.716
8,2027,location_merlin,1,r2,0.757
8,2027,location_merlin,2,r2,0.2444
8,2027,location_merlin,mean,r2,0.5724
9,2027,location_merlin,0,r2,0.7167
9,2027,location_merlin,1,r2,0.755
9,2027,location_merlin,2,r2,0.252
9,2027,location_merlin,mean,r2,0.5746
10,2027,location_merlin,0,r2,0.7634
10,2027,location_merlin,1,r2,0.7801
10,2027,location_merlin,2,r2,0.1923
10,2027,location_merlin,mean,r2,0.5786
1,2028,location_merlin,0,r2,0.5375
1,2028,location_merlin,1,r2,0.4631
1,2028,location_merlin,2,r2,0.0772
1,2028,location_merlin,mean,r2,0.3593
2,2028,location_merlin,0,r2,0.6493
2,2028,location_merlin,1,r2,0.6307
2,2028,location_merlin,2,r2,0.0918
2,2028,location_merlin,mean,r2,0.4573
3,2028,location_merlin,0,r2,0.6968
3,2028,location_merlin,1,r2,0.6966
3,2028,location_merlin,2,r2,0.1531
3,2028,location_merlin,mean,r2,0.5155
4,2028,location_merlin,0,r2,0.7097
4,2028,location_merlin,1,r2,0.7305
4,2028,location_merlin,2,r2,0.1861
4,2028,location_merlin,mean,r2,0.5421
5,2028,location_merlin,0,r2,0.676
5,2028,location_merlin,1,r2,0.745
5,2028,location_merlin,2,r2,0.2034
5,2028,location_merlin,mean,r2,0.5415
6,2028,location_merlin,0,r2,0.7224
6,2028,location_merlin,1,r2,0.7445
6,2028,location_merlin,2,r2,0.1843
6,2028,location_merlin,mean,r2,0.5504
7,2028,location_merlin,0,r2,0.7231
7,2028,location_merlin,1,r2,0.7535
7,2028,location_merlin,2,r2,0.2176
7,2028,location_merlin,mean,r2,0.5647
8,2028,location_merlin,0,r2,0.7425
8,2028,location_merlin,1,r2,0.7279
8,2028,location_merlin,2,r2,0.2418
8,2028,location_merlin,mean,r2,0.5707
9,2028,location_merlin,0,r2,0.7442
9,2028,location_merlin,1,r2,0.7503
9,2028,location_merlin,2,r2,0.2267
9,2028,location_merlin,mean,r2,0.5737
10,2028,location_merlin,0,r2,0.7344
10,2028,location_merlin,1,r2,0.7673
10,2028,location_merlin,2,r2,0.2538
10,2028,location_merlin,mean,r2,0.5852
